mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	1/2	1/2	0.5	1/8	1/2	6/8	2	1	1/8	1/8	1		2	62	D4	4	2
1	0	1/2	1/2	0.5	1/8	1/2	6/8	1	1	1/8	1/8	1		6	66	F#4	4	0
1	0	1/2	1/2	0.5	1/8	1/2	6/8	1	1	1/8	1/8	1		5	71	B4	4	0
1	0	1	1	0.5	1/4	5/8	6/8	2	1	1/8	1/8	1		7	61	C#4	4	3
1	0	1	1	0.5	1/4	5/8	6/8	1	1	1/8	1/8	1		11	65	E#4	4	1
2	1	3/2	3/2	1.0	0	0	6/8	2	1	1/4	1/4	1		2	62	D4	4	8
2	1	3/2	3/2	1.0	0	0	6/8	1	1	1/4	1/4	1		6	66	F#4	4	4
2	1	3/2	3/2	1.0	0	0	6/8	1	1	1/4	1/4	1		5	71	B4	4	4
2	1	2	2	0.5	1/8	1/8	6/8	2	2	1/8	1/8	1		5	47	B2	2	12
2	1	5/2	5/2	0.5	1/4	1/4	6/8	2	1	1/8	1/8	1		7	61	C#4	4	9
2	1	5/2	5/2	0.5	1/4	1/4	6/8	1	1	1/8	1/8	1		4	64	E4	4	5
2	1	5/2	5/2	0.5	1/4	1/4	6/8	1	1	1/8	1/8	1		10	70	A#4	4	5
2	1	3	3	0.5	3/8	3/8	6/8	2	2	1/8	1/8	1		5	47	B2	2	13
2	1	7/2	7/2	0.5	1/2	1/2	6/8	2	1	1/8	1/8	1		5	59	B3	3	10
2	1	7/2	7/2	0.5	1/2	1/2	6/8	1	1	1/8	1/8	1		2	62	D4	4	6
2	1	7/2	7/2	0.5	1/2	1/2	6/8	1	1	1/8	1/8	1		1	67	G4	4	6
2	1	4	4	0.5	5/8	5/8	6/8	2	1	1/8	1/8	1		10	58	A#3	3	11
2	1	4	4	0.5	5/8	5/8	6/8	1	1	1/8	1/8	1		7	61	C#4	4	7
3	2	9/2	9/2	1.0	0	0	6/8	2	1	1/4	1/4	1		5	59	B3	3	18
3	2	9/2	9/2	1.0	0	0	6/8	1	1	1/4	1/4	1		2	62	D4	4	14
3	2	9/2	9/2	1.0	0	0	6/8	1	1	1/4	1/4	1		1	67	G4	4	14
3	2	5	5	0.5	1/8	1/8	6/8	2	2	1/8	1/8	1		5	47	B2	2	22
3	2	11/2	11/2	0.5	1/4	1/4	6/8	2	1	1/8	1/8	1		10	58	A#3	3	19
3	2	11/2	11/2	0.5	1/4	1/4	6/8	1	1	1/8	1/8	1		7	61	C#4	4	15
3	2	11/2	11/2	0.5	1/4	1/4	6/8	1	1	1/8	1/8	1		6	66	F#4	4	15
3	2	6	6	0.5	3/8	3/8	6/8	2	2	1/8	1/8	1		5	47	B2	2	23
3	2	13/2	13/2	0.5	1/2	1/2	6/8	2	1	1/8	1/8	1		3	57	A3	3	20
3	2	13/2	13/2	0.5	1/2	1/2	6/8	1	1	1/8	1/8	1		0	60	C4	4	16
3	2	13/2	13/2	0.5	1/2	1/2	6/8	1	1	1/8	1/8	1		6	66	F#4	4	16
3	2	7	7	0.5	5/8	5/8	6/8	2	1	1/8	1/8	1		8	56	G#3	3	21
3	2	7	7	0.5	5/8	5/8	6/8	1	1	1/8	1/8	1		5	59	B3	3	17
4	3	15/2	15/2	1.0	0	0	6/8	2	1	1/4	1/4	1		3	57	A3	3	27
4	3	15/2	15/2	1.0	0	0	6/8	1	1	1/4	1/4	1		0	60	C4	4	24
4	3	15/2	15/2	1.0	0	0	6/8	1	1	1/4	1/4	1		6	66	F#4	4	24
4	3	8	8	0.5	1/8	1/8	6/8	2	2	1/8	1/8	1		5	47	B2	2	30
