mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	3.0	0	0	4/4	2	1	Eb.I{	Eb	I		I		I						{	M	0	0	0, 4, 1		0	0
1	1	3	1.0	3/4	3/4	4/4	2	1	I64(+6)	Eb	I		I64(+6)		I		64	+6				M	0	0	1, 0, 4	3	0	1
2	2	4	3.0	0	0	4/4	2	1	I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
2	2	7	1.0	3/4	3/4	4/4	2	1	I64(+6)	Eb	I		I64(+6)		I		64	+6				M	0	0	1, 0, 4	3	0	1
3	3	8	3.0	0	0	4/4	2	1	I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
3	3	11	1.0	3/4	3/4	4/4	2	1	I64	Eb	I		I64		I		64					M	0	0	1, 0, 4		0	1
4	4	12	3.0	0	0	4/4	2	1	I[V]	Eb	I	I	V		V							M	0	0	1, 5, 2		1	1
4	4	15	0.5	3/4	3/4	4/4	2	1	V7(9)	Eb	I		V7(9)		V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1
4	4	31/2	0.5	7/8	7/8	4/4	2	1	V7	Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
5	5	16	3.0	0	0	4/4	2	1	I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
5	5	19	0.5	3/4	3/4	4/4	2	1	V7(9)	Eb	I		V7(9)		V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1
5	5	39/2	0.5	7/8	7/8	4/4	2	1	V7	Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
6	6	20	3.0	0	0	4/4	2	1	I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
6	6	23	0.5	3/4	3/4	4/4	2	1	V7(9)	Eb	I		V7(9)		V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1
6	6	47/2	0.5	7/8	7/8	4/4	2	1	V7	Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
7	7	24	3.0	0	0	4/4	2	1	I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
7	7	27	0.5	3/4	3/4	4/4	2	1	V7(9)	Eb	I		V7(9)		V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1
7	7	55/2	0.5	7/8	7/8	4/4	2	1	V7	Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
8	8	28	3.0	0	0	4/4	2	1	I|PAC}{	Eb	I		I		I					PAC	}{	M	0	0	0, 4, 1		0	0
