mc	mn	onset	label	globalkey	localkey	pedal	chord	numeral	special	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	5/8	.Bb.V{	Bb	I		V	V						{	M	0	0	1, 5, 2		1.0	1.0
2	1	0	I	Bb	I		I	I							M	0	0	0, 4, 1		0.0	0.0
3	2	0	V65(6)	Bb	I		V65(6)	V			65	6			Mm7	0	0	5, 4, -1, 1		1.0	5.0
3	2	3/8	V65	Bb	I		V65	V			65				Mm7	0	0	5, 2, -1, 1		1.0	5.0
4	3	0	#viio2/ii	Bb	I		#viio2/ii	#vii		o	2		ii		o7	0	0	-2, 7, 4, 1		7.0	-2.0
5	4	0	ii64(4)	Bb	I		ii64(4)	ii			64	4			m	0	0	3, 2, 1		2.0	3.0
5	4	3/8	ii64	Bb	I		ii64	ii			64				m	0	0	3, 2, -1		2.0	3.0
6	5	0	iii.V2	Bb	iii		V2	V			2				Mm7	0	1	-1, 1, 5, 2		1.0	-1.0
6	5	3/8	V2(9)	Bb	iii		V2(9)	V			2	9			Mm7	0	1	-1, 1, 5, 2	-4	1.0	-1.0
6	5	5/8	V2	Bb	iii		V2	V			2				Mm7	0	1	-1, 1, 5, 2		1.0	-1.0
7	6	0	i6	Bb	iii		i6	i			6				m	0	1	-3, 1, 0		0.0	-3.0
7	6	3/8	i6(13)	Bb	iii		i6(13)	i			6	13			m	0	1	-3, 1, 0	-4	0.0	-3.0
7	6	5/8	i6	Bb	iii		i6	i			6				m	0	1	-3, 1, 0		0.0	-3.0
8	7	0	V43	Bb	iii		V43	V			43				Mm7	0	1	2, -1, 1, 5		1.0	2.0
8	7	3/8	V43(9)	Bb	iii		V43(9)	V			43	9			Mm7	0	1	2, -1, 1, 5	-4	1.0	2.0
8	7	5/8	V43	Bb	iii		V43	V			43				Mm7	0	1	2, -1, 1, 5		1.0	2.0
9	8	0	i}	Bb	iii		i	i						}	m	0	1	0, -3, 1		0.0	0.0
9	8	5/8	I.V{	Bb	I		V	V						{	M	0	0	1, 5, 2		1.0	1.0
10	9	0	V43(9)	Bb	I		V43(9)	V			43	9			Mm7	0	0	2, -1, 1, 5	3	1.0	2.0
10	9	3/8	V43	Bb	I		V43	V			43				Mm7	0	0	2, -1, 1, 5		1.0	2.0
11	10	0	I(6)	Bb	I		I(6)	I				6			M	0	0	0, 4, 3		0.0	0.0
11	10	3/8	I	Bb	I		I	I							M	0	0	0, 4, 1		0.0	0.0
12	11	0	ii.V43(9)	Bb	ii		V43(9)	V			43	9			Mm7	0	1	2, -1, 1, 5	-4	1.0	2.0
12	11	3/8	V43	Bb	ii		V43	V			43				Mm7	0	1	2, -1, 1, 5		1.0	2.0
13	12	0	i(6)	Bb	ii		i(6)	i				6			m	0	1	0, -3, -4		0.0	0.0
13	12	3/8	i	Bb	ii		i	i							m	0	1	0, -3, 1		0.0	0.0
14	13	0	I.viio65/V	Bb	I		viio65/V	vii		o	65		V		o7	0	0	3, 0, -3, 6		6.0	3.0
14	13	3/8	viio65(6)/V	Bb	I		viio65(6)/V	vii		o	65	6	V		o7	0	0	3, 2, -3, 6		6.0	3.0
14	13	5/8	viio65/V	Bb	I		viio65/V	vii		o	65		V		o7	0	0	3, 0, -3, 6		6.0	3.0
15	14	0	V(64)	Bb	I		V(64)	V				64			M	0	0	1, 0, 4		1.0	1.0
15	14	3/8	V(116)	Bb	I		V(116)	V				116			M	0	0	1, 5, 4	0	1.0	1.0
16	15	0	V7(#2)	Bb	I		V7(#2)	V			7	#2			Mm7	0	0	1, 10, 2, -1		1.0	1.0
16	15	1/4	V7	Bb	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
16	15	3/8	vi.V6	Bb	vi		V6	V			6				M	0	1	5, 2, 1		1.0	5.0
17	16	0	i(9)}	Bb	vi		i(9)	i				9		}	m	0	1	0, -3, 1	2	0.0	0.0
17	16	3/8	i	Bb	vi		i	i							m	0	1	0, -3, 1		0.0	0.0
17	16	5/8	{	Bb	vi									{		0	1				
18	17	0	I.V43(9)	Bb	I		V43(9)	V			43	9			Mm7	0	0	2, -1, 1, 5	3	1.0	2.0
18	17	3/8	V43	Bb	I		V43	V			43				Mm7	0	0	2, -1, 1, 5		1.0	2.0
19	18	0	I(6)	Bb	I		I(6)	I				6			M	0	0	0, 4, 3		0.0	0.0
19	18	3/8	I	Bb	I		I	I							M	0	0	0, 4, 1		0.0	0.0
20	19	0	ii.V43(9)	Bb	ii		V43(9)	V			43	9			Mm7	0	1	2, -1, 1, 5	-4	1.0	2.0
20	19	3/8	V43	Bb	ii		V43	V			43				Mm7	0	1	2, -1, 1, 5		1.0	2.0
21	20	0	i(6)	Bb	ii		i(6)	i				6			m	0	1	0, -3, -4		0.0	0.0
21	20	3/8	i	Bb	ii		i	i							m	0	1	0, -3, 1		0.0	0.0
22	21	0	I.viio65/V	Bb	I		viio65/V	vii		o	65		V		o7	0	0	3, 0, -3, 6		6.0	3.0
22	21	3/8	viio65(6)/V	Bb	I		viio65(6)/V	vii		o	65	6	V		o7	0	0	3, 2, -3, 6		6.0	3.0
22	21	5/8	viio65/V	Bb	I		viio65/V	vii		o	65		V		o7	0	0	3, 0, -3, 6		6.0	3.0
23	22	0	V(64)	Bb	I		V(64)	V				64			M	0	0	1, 0, 4		1.0	1.0
23	22	3/8	V(116)	Bb	I		V(116)	V				116			M	0	0	1, 5, 4	0	1.0	1.0
24	23	0	viio43(#7)	Bb	I		viio43(#7)	vii		o	43	#7			o7	0	0	-1, -4, 5, 2	3	5.0	-1.0
24	23	1/4	viio43	Bb	I		viio43	vii		o	43				o7	0	0	-1, -4, 5, 2		5.0	-1.0
24	23	3/8	V7(6)	Bb	I		V7(6)	V			7	6			Mm7	0	0	1, 5, 4, -1		1.0	1.0
24	23	5/8	V7	Bb	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
25	24	0	I[viio43	Bb	I	I	viio43	vii		o	43				o7	0	0	-1, -4, 5, 2		5.0	-1.0
25	24	3/8	I(4)}	Bb	I	I	I(4)	I				4		}	M	0	0	0, -1, 1		0.0	0.0
25	24	1/2	I(#2)	Bb	I	I	I(#2)	I				#2			M	0	0	0, 9, 1		0.0	0.0
25	24	5/8	I]	Bb	I	I	I	I							M	0	0	0, 4, 1		0.0	0.0
26	25	0	iii.iv7{	Bb	iii		iv7	iv			7			{	mm7	0	1	-1, -4, 0, -3		-1.0	-1.0
