mc	mn	onset	label
1	0	1/2	.b.i6
2	1	0	i[i
2	1	1/4	#viio6
2	1	1/2	VI6
3	2	1/4	V6
3	2	1/2	vo6
4	3	1/4	IV6
4	3	1/2	#viio2
5	4	0	V(6)
5	4	1/4	#viio64
5	4	3/8	i]\\
6	5	0	VI
6	5	3/8	.Ger6
7	6	0	#vi%2-V(94)
7	6	1/4	V7
7	6	3/8	i\\
8	7	0	VI
8	7	3/8	.Ger6
9	8	0	#vi%2-V(94)
9	8	1/4	V7
9	8	3/8	i\\
9	8	1/2	i6
10	9	0	i[i
10	9	1/4	#viio6
10	9	1/2	VI6
11	10	1/4	V6
11	10	1/2	vo6
12	11	1/4	IV6
12	11	1/2	#viio2
13	12	0	V(6)
13	12	1/4	#viio64
13	12	3/8	i]\\
14	13	0	VI
14	13	3/8	.Ger6
15	14	0	#vi%2-V(94)
15	14	1/4	V7
15	14	3/8	i\\
16	15	0	VI
16	15	3/8	V.viio65
16	15	5/8	V43
17	16	0	V7
17	16	1/4	V43
17	16	3/8	I\\
17	16	1/2	i.i6
18	17	0	V[i6
18	17	1/4	V7
18	17	1/2	VI6
19	18	1/4	V]
19	18	1/2	iv.ii%2
20	19	1/8	ii%65
20	19	1/2	ii%7
21	20	1/4	V7
21	20	3/8	i\\
21	20	1/2	i6
22	21	0	V[i6
22	21	1/4	V7
22	21	1/2	VI6
23	22	1/4	V]
23	22	1/2	vii.ii%2
24	23	1/8	ii%65
24	23	1/2	ii%7
25	24	1/4	V7
25	24	3/8	i[i\\
25	24	1/2	VI
25	24	5/8	i
26	25	0	#viio2
26	25	1/4	i
26	25	1/2	VI
26	25	5/8	i
27	26	0	#viio2
27	26	1/4	i]\\
27	26	1/2	i
28	27	0	.bII.I[vii%2
28	27	1/4	I(b6)
28	27	1/2	vi
29	28	0	vii%2
29	28	1/4	I(b6)\\
29	28	1/2	I]
30	29	0	iv.i[#viio2
30	29	1/4	i]
31	30	0	VI.I[vii%2
31	30	1/4	I(b6)
31	30	1/2	I]
32	31	0	i.i[#viio2
32	31	1/4	i]
33	32	0	III.I[vii%2
33	32	1/4	I+]
34	33	1/2	i.V43
35	34	1/2	V7\\
37	36	1/2	i6
38	37	0	i[i
38	37	1/4	#viio6
38	37	1/2	VI6
39	38	1/4	V6
39	38	1/2	vo6
40	39	1/4	IV6
40	39	1/2	#viio2
41	40	0	V(6)
41	40	1/4	#viio64
41	40	3/8	i]\\
42	41	0	VI
42	41	3/8	.Ger6
43	42	0	#vi%2-V(94)
43	42	1/4	V7
43	42	3/8	i\\
44	43	0	VI
44	43	3/8	.Ger6
45	44	0	#vi%2-V(94)
45	44	1/4	V7
45	44	3/8	i\\
46	45	0	III.V6
46	45	1/4	V65
46	45	3/8	I\\
47	46	0	V.V6
47	46	1/4	V65
47	46	3/8	I\\
47	46	1/2	i.V6
47	46	5/8	V65
48	47	0	#vi%7
48	47	1/8	V6
48	47	1/4	V65
48	47	3/8	#vi%7
48	47	1/2	V6
48	47	5/8	V65
49	48	0	#vi%7
49	48	1/8	V6
49	48	1/4	i
49	48	3/8	iv
50	49	0	ii%65
54	53	0	V(64)
55	54	1/8	iv
