mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	1.0	0	0	2/4	2	1	g.i[i{		g	i	i	i	i						{	m	1	1	0, -3, 1		0	0
1	1	1	1	1.0	1/4	1/4	2/4	2	1	iv		g	i	i	iv	iv							m	1	1	-1, -4, 0		-1	-1
2	2	2	2	1.0	0	0	2/4	2	1	i		g	i	i	i	i							m	1	1	0, -3, 1		0	0
2	2	3	3	1.0	1/4	1/4	2/4	2	1	V43		g	i	i	V43	V		43					Mm7	1	1	2, -1, 1, 5		1	2
3	3	4	4	1.0	0	0	2/4	2	1	i		g	i	i	i	i							m	1	1	0, -3, 1		0	0
3	3	5	5	1.0	1/4	1/4	2/4	2	1	#viio43		g	i	i	#viio43	#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
4	4	6	6	1.0	0	0	2/4	2	1	i		g	i	i	i	i							m	1	1	0, -3, 1		0	0
4	4	7	7	0.75	1/4	1/4	2/4	2	1	V43(4)		g	i	i	V43(4)	V		43	4				Mm7	1	1	2, -1, 1, 0		1	2
4	4	31/4	31/4	0.25	7/16	7/16	2/4	2	1	V43		g	i	i	V43	V		43					Mm7	1	1	2, -1, 1, 5		1	2
5	5	8	8	1.0	0	0	2/4	2	1	i]}		g	i	i	i	i						}	m	1	1	0, -3, 1		0	0
5	5	17/2	17/2	0.0	1/8	1/8	2/4	2	1	{		g	i									{		1	1				
5	5	9	9	1.0	1/4	1/4	2/4	2	1	V65		g	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
6	6	10	10	1.0	0	0	2/4	2	1	i		g	i		i	i							m	1	1	0, -3, 1		0	0
6	6	11	11	0.75	1/4	1/4	2/4	2	1	V65(4)		g	i		V65(4)	V		65	4				Mm7	1	1	0, 2, -1, 1		1	0
6	6	47/4	47/4	0.25	7/16	7/16	2/4	2	1	V65		g	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
7	7	12	12	1.0	0	0	2/4	2	1	V(64)	i64	g	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
7	7	13	13	1.0	1/4	1/4	2/4	2	1	V2		g	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
8	8	14	14	1.0	0	0	2/4	2	1	i6		g	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
8	8	15	15	1.0	1/4	1/4	2/4	2	1	V65/iv		g	i		V65/iv	V		65		iv			Mm7	1	1	4, 1, -2, 0		0	4
9	9	16	16	0.5	0	0	2/4	2	1	iv(4)		g	i		iv(4)	iv			4				m	1	1	-1, -2, 0		-1	-1
9	9	33/2	33/2	0.5	1/8	1/8	2/4	2	1	iv		g	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
9	9	17	17	0.5	1/4	1/4	2/4	2	1	iv64(94)	iv(94)	g	i		iv64(94)	iv		64	94				m	1	1	0, -1, -2	1	-1	0
9	9	35/2	35/2	0.25	3/8	3/8	2/4	2	1	iv64(4)	iv(4)	g	i		iv64(4)	iv		64	4				m	1	1	0, -1, -2		-1	0
9	9	71/4	71/4	0.25	7/16	7/16	2/4	2	1	iv64	iv	g	i		iv64	iv		64					m	1	1	0, -1, -4		-1	0
10	10	18	18	1.0	0	0	2/4	2	1	V7(64)		g	i		V7(64)	V		7	64				Mm7	1	1	1, 0, -3, -1		1	1
10	10	19	19	0.75	1/4	1/4	2/4	2	1	V7(6)		g	i		V7(6)	V		7	6				Mm7	1	1	1, 5, -3, -1		1	1
10	10	79/4	79/4	0.25	7/16	7/16	2/4	2	1	V7		g	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
11	11	20	20	0.5	0	0	2/4	2	1	i|PAC}		g	i		i	i					PAC	}	m	1	1	0, -3, 1		0	0
11	11	41/2	41/2	1.25	1/8	1/8	2/4	2	1	III.I[viio43(4){		g	III	I	viio43(4)	vii	o	43	4			{	o7	1	0	-1, -4, 5, 4		5	-1
11	11	87/4	87/4	0.25	7/16	7/16	2/4	2	1	viio43		g	III	I	viio43	vii	o	43					o7	1	0	-1, -4, 5, 2		5	-1
12	12	22	22	1.0	0	0	2/4	2	1	I		g	III	I	I	I							M	1	0	0, 4, 1		0	0
12	12	23	23	1.0	1/4	1/4	2/4	2	1	V43		g	III	I	V43	V		43					Mm7	1	0	2, -1, 1, 5		1	2
13	13	24	24	0.75	0	0	2/4	2	1	I(9)		g	III	I	I(9)	I			9				M	1	0	0, 4, 1	2	0	0
13	13	99/4	99/4	0.25	3/16	3/16	2/4	2	1	I		g	III	I	I	I							M	1	0	0, 4, 1		0	0
