mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2/4	1	1	.D.I{		D	I		I		I					{	M	0	0	0, 4, 1		0	0
1	1	1/4	1/4	2/4	1	1	ii%2		D	I		ii%2		ii	%	2				%7	0	0	0, 2, -1, -4		2	0
2	2	0	0	2/4	1	1	I		D	I		I		I						M	0	0	0, 4, 1		0	0
2	2	1/4	1/4	2/4	1	1	ii%2		D	I		ii%2		ii	%	2				%7	0	0	0, 2, -1, -4		2	0
3	3	0	0	2/4	1	1	V2/iv		D	I		V2/iv		V		2		iv		Mm7	0	0	-2, 0, 4, 1		0	-2
4	4	0	0	2/4	1	1	ii%43		D	I		ii%43		ii	%	43				%7	0	0	-4, 0, 2, -1		2	-4
4	4	1/8	1/8	2/4	1	1	iv		D	I		iv		iv						m	0	0	-1, -4, 0		-1	-1
4	4	1/4	1/4	2/4	1	1	V64		D	I		V64		V		64				M	0	0	2, 1, 5		1	2
4	4	3/8	3/8	2/4	1	1	V}		D	I		V		V					}	M	0	0	1, 5, 2		1	1
5	5	0	0	2/4	1	1	I{		D	I		I		I					{	M	0	0	0, 4, 1		0	0
5	5	1/4	1/4	2/4	1	1	ii%2		D	I		ii%2		ii	%	2				%7	0	0	0, 2, -1, -4		2	0
6	6	0	0	2/4	1	1	I		D	I		I		I						M	0	0	0, 4, 1		0	0
6	6	1/4	1/4	2/4	1	1	ii%2		D	I		ii%2		ii	%	2				%7	0	0	0, 2, -1, -4		2	0
7	7	0	0	2/4	1	1	V2/iv		D	I		V2/iv		V		2		iv		Mm7	0	0	-2, 0, 4, 1		0	-2
8	8	0	0	2/4	1	1	ii%43		D	I		ii%43		ii	%	43				%7	0	0	-4, 0, 2, -1		2	-4
8	8	1/4	1/4	2/4	1	1	iv}		D	I		iv		iv					}	m	0	0	-1, -4, 0		-1	-1
9	9	0	0	2/4	1	1	.bV.V65{		D	bV		V65		V		65			{	Mm7	0	0	5, 2, -1, 1		1	5
9	9	1/4	1/4	2/4	1	1	I		D	bV		I		I						M	0	0	0, 4, 1		0	0
10	10	0	0	2/4	1	1	.bIV.V65		D	bIV		V65		V		65				Mm7	0	0	5, 2, -1, 1		1	5
10	10	1/4	1/4	2/4	1	1	I		D	bIV		I		I						M	0	0	0, 4, 1		0	0
11	11	0	0	2/4	1	1	.bvii.V65		D	bvii		V65		V		65				Mm7	0	1	5, 2, -1, 1		1	5
11	11	1/4	1/4	2/4	1	1	i		D	bvii		i		i						m	0	1	0, -3, 1		0	0
12	12	0	0	2/4	1	1	V43		D	bvii		V43		V		43				Mm7	0	1	2, -1, 1, 5		1	2
12	12	1/4	1/4	2/4	1	1	i}		D	bvii		i		i					}	m	0	1	0, -3, 1		0	0
13	13	0	0	2/4	1	1	.bVII.V65{		D	bVII		V65		V		65			{	Mm7	0	0	5, 2, -1, 1		1	5
13	13	1/4	1/4	2/4	1	1	I		D	bVII		I		I						M	0	0	0, 4, 1		0	0
14	14	0	0	2/4	1	1	i.V65		D	i		V65		V		65				Mm7	0	1	5, 2, -1, 1		1	5
14	14	1/4	1/4	2/4	1	1	i		D	i		i		i						m	0	1	0, -3, 1		0	0
15	15	0	0	2/4	1	1	V65		D	i		V65		V		65				Mm7	0	1	5, 2, -1, 1		1	5
15	15	1/4	1/4	2/4	1	1	i		D	i		i		i						m	0	1	0, -3, 1		0	0
16	16	0	0	2/4	1	1	V43		D	i		V43		V		43				Mm7	0	1	2, -1, 1, 5		1	2
16	16	1/4	1/4	2/4	1	1	i		D	i		i		i						m	0	1	0, -3, 1		0	0
17	17	0	0	2/4	1	1	V65		D	i		V65		V		65				Mm7	0	1	5, 2, -1, 1		1	5
17	17	1/4	1/4	2/4	1	1	i		D	i		i		i						m	0	1	0, -3, 1		0	0
18	18	0	0	2/4	1	1	ii.V65		D	ii		V65		V		65				Mm7	0	1	5, 2, -1, 1		1	5
18	18	1/4	1/4	2/4	1	1	i		D	ii		i		i						m	0	1	0, -3, 1		0	0
19	19	0	0	2/4	1	1	V65		D	ii		V65		V		65				Mm7	0	1	5, 2, -1, 1		1	5
19	19	1/4	1/4	2/4	1	1	i		D	ii		i		i						m	0	1	0, -3, 1		0	0
20	20	0	0	2/4	1	1	iii.V65		D	iii		V65		V		65				Mm7	0	1	5, 2, -1, 1		1	5
20	20	1/4	1/4	2/4	1	1	i		D	iii		i		i						m	0	1	0, -3, 1		0	0
21	21	0	0	2/4	1	1	IV.V65		D	IV		V65		V		65				Mm7	0	0	5, 2, -1, 1		1	5
21	21	1/4	1/4	2/4	1	1	I		D	IV		I		I						M	0	0	0, 4, 1		0	0
22	22	0	0	2/4	1	1	V65		D	IV		V65		V		65				Mm7	0	0	5, 2, -1, 1		1	5
22	22	1/4	1/4	2/4	1	1	I		D	IV		I		I						M	0	0	0, 4, 1		0	0
23	23	0	0	2/4	1	1	I.ii%65		D	I		ii%65		ii	%	65				%7	0	0	-1, -4, 0, 2		2	-1
25	25	1/4	1/4	2/4	1	1	.Fr65		D	I		Fr65	Fr	V		65	b5	V		Fr	0	0	6, -4, 0, 2		2	6
26	26	0	0	2/4	1	1	V(4)		D	I		V(4)		V			4			M	0	0	1, 0, 2		1	1
26	26	1/8	1/8	2/4	1	1	V7		D	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
26	26	1/4	1/4	2/4	1	1	I}		D	I		I		I					}	M	0	0	0, 4, 1		0	0
27	27	0	0	2/4	1	1	vi.i{		D	vi		i		i					{	m	0	1	0, -3, 1		0	0
28	28	0	0	2/4	1	1	V		D	vi		V		V						M	0	1	1, 5, 2		1	1
28	28	1/4	1/4	2/4	1	1	i		D	vi		i		i						m	0	1	0, -3, 1		0	0
29	29	0	0	2/4	1	1	ii%2		D	vi		ii%2		ii	%	2				%7	0	1	0, 2, -1, -4		2	0
29	29	1/4	1/4	2/4	1	1	i		D	vi		i		i						m	0	1	0, -3, 1		0	0
30	30	0	0	2/4	1	1	iv64		D	vi		iv64		iv		64				m	0	1	0, -1, -4		-1	0
30	30	1/4	1/4	2/4	1	1	i}		D	vi		i		i					}	m	0	1	0, -3, 1		0	0
31	31	0	0	2/4	1	1	{		D	vi									{		0	1				
32	32	0	0	2/4	1	1	V		D	vi		V		V						M	0	1	1, 5, 2		1	1
32	32	1/4	1/4	2/4	1	1	i		D	vi		i		i						m	0	1	0, -3, 1		0	0
33	33	0	0	2/4	1	1	ii%2		D	vi		ii%2		ii	%	2				%7	0	1	0, 2, -1, -4		2	0
33	33	1/4	1/4	2/4	1	1	i		D	vi		i		i						m	0	1	0, -3, 1		0	0
34	34	0	0	2/4	1	1	iv64		D	vi		iv64		iv		64				m	0	1	0, -1, -4		-1	0
34	34	1/4	1/4	2/4	1	1	i}		D	vi		i		i					}	m	0	1	0, -3, 1		0	0
35	35	0	0	2/4	1	1	{		D	vi									{		0	1				
35	35	1/8	1/8	2/4	1	1	i6		D	vi		i6		i		6				m	0	1	-3, 1, 0		0	-3
35	35	1/4	1/4	2/4	1	1	#ivo7		D	vi		#ivo7		#iv	o	7				o7	0	1	6, 3, 0, -3		6	6
35	35	3/8	3/8	2/4	1	1	i64		D	vi		i64		i		64				m	0	1	1, 0, -3		0	1
36	36	0	0	2/4	1	1	i2		D	vi		i2		i		2				mm7	0	1	-2, 0, -3, 1		0	-2
