mc	mn	onset	label
1	1	0	.g.i[i
1	1	1/4	iv
2	2	0	i
2	2	1/4	V43
3	3	0	i
3	3	1/4	#viio43
4	4	0	i
4	4	1/4	V43(4)
4	4	7/16	V43
5	5	0	i]\\
5	5	1/8	i
5	5	1/4	V65
6	6	0	i
6	6	1/4	V65(4)
6	6	7/16	V65
7	7	0	V(64)
7	7	1/4	V2
8	8	0	i6
8	8	1/4	V65/iv
9	9	0	iv(4)
9	9	1/8	iv
9	9	1/4	iv64(94)
9	9	3/8	iv64(4)
9	9	7/16	iv64
10	10	0	V7(64)
10	10	1/4	V7(6)
10	10	7/16	V7
11	11	0	i\\
11	11	1/4	III.I[viio43(4)
11	11	7/16	viio43
12	12	0	I
12	12	1/4	V43
13	13	0	I(9)
13	13	3/16	I
13	13	1/4	i.V7
14	14	0	i6
14	14	1/4	#viio43
15	15	0	i6\\
15	15	1/4	III.viio43(4)
15	15	7/16	viio43
16	16	0	I
16	16	1/4	V43
17	17	0	I(9)
17	17	3/16	I
17	17	1/4	i.V7(6)
18	18	0	i6(9)
18	18	1/16	i6
18	18	1/4	V7(6)
19	19	0	i6(9)
19	19	1/16	i6\\
19	19	1/4	III.viio43(4)
19	19	7/16	viio43
20	20	0	I
20	20	1/4	V43
21	21	0	I(9)
21	21	3/16	I
21	21	1/4	i.V7
22	22	0	i6]
22	22	1/4	V.V7
23	23	0	I(4)
23	23	3/16	I[I\\
23	23	1/4	i.i
24	24	0	V7
24	24	1/4	i6
25	25	0	V7\\
25	25	1/4	i
26	26	0	V7
26	26	1/4	i6
27	27	0	V7\\
27	27	1/4	i6
28	28	0	V7
28	28	1/4	viio43/V
29	29	0	V
29	29	1/4	viio43/V
30	30	0	V]\\
31	31	0	i[i
31	31	1/4	#viio43
32	32	0	i
32	32	1/4	V43(4)
32	32	7/16	V43
33	33	0	i]\\
33	33	1/8	i
33	33	1/4	V65
34	34	0	i
34	34	1/4	V65(4)
34	34	7/16	V65
35	35	0	V(64)
35	35	1/4	V2
36	36	0	i6
36	36	1/4	V65/iv
37	37	0	iv(4)
37	37	1/8	iv
37	37	1/4	iv64(94)
37	37	3/8	iv64(4)
37	37	7/16	iv64
38	38	0	V7(64)
38	38	1/4	V7(6)
38	38	7/16	V7
39	39	0	i[i\\
39	39	1/4	#viio43
40	40	0	i
40	40	1/4	#viio43(2)
40	40	7/16	#viio43
41	41	0	i]\\
41	41	1/4	V65
42	42	0	i
42	42	1/4	V65(4)
42	42	7/16	V65
43	43	0	i
43	43	3/8	V65(4)
43	43	7/16	V65
44	44	0	i
44	44	3/8	V65(4)
44	44	7/16	V65
45	45	0	i\\
