mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	1	1	.d.i[i{	d	i	i	i	i					{	m	1	1	0, -3, 1		0	0
1	1	3/4	3/4	4/4	1	1	V7	d	i	i	V7	V		7				Mm7	1	1	1, 5, 2, -1		1	1
1	1	1/2	1/2	4/4	1	2	V7(6)	d	i	i	V7(6)	V		7	6			Mm7	1	1	1, 5, -3, -1		1	1
2	2	0	0	4/4	1	1	i(9)	d	i	i	i(9)	i			9			m	1	1	0, -3, 1	2	0	0
2	2	1/8	1/8	4/4	1	1	i]	d	i	i	i	i						m	1	1	0, -3, 1		0	0
2	2	1/2	1/2	4/4	1	1	i6	d	i		i6	i		6				m	1	1	-3, 1, 0		0	-3
2	2	3/4	3/4	4/4	1	1	V65/iv	d	i		V65/iv	V		65		iv		Mm7	1	1	4, 1, -2, 0		0	4
3	3	0	0	4/4	1	1	iv	d	i		iv	iv						m	1	1	-1, -4, 0		-1	-1
3	3	3/4	3/4	4/4	1	1	V43/iv	d	i		V43/iv	V		43		iv		Mm7	1	1	1, -2, 0, 4		0	1
3	3	1/2	1/2	4/4	1	2	V43(+6)/iv	d	i		V43(+6)/iv	V		43	+6	iv		Mm7	1	1	1, -2, 0, 4	-4	0	1
4	4	0	0	4/4	1	1	iv6(#7)	d	i		iv6(#7)	iv		6	#7			m	1	1	-4, 0, 4		-1	-4
4	4	1/8	1/8	4/4	1	1	iv6	d	i		iv6	iv		6				m	1	1	-4, 0, -1		-1	-4
4	4	1/4	1/4	4/4	1	1	ii%43	d	i		ii%43	ii	%	43				%7	1	1	-4, 0, 2, -1		2	-4
4	4	1/2	1/2	4/4	1	1	V7(4)}	d	i		V7(4)	V		7	4		}	Mm7	1	1	1, 0, 2, -1		1	1
4	4	3/4	3/4	4/4	1	1	V7	d	i		V7	V		7				Mm7	1	1	1, 5, 2, -1		1	1
5	5	0	0	4/4	1	1	V2{	d	i		V2	V		2			{	Mm7	1	1	-1, 1, 5, 2		1	-1
5	5	1/2	1/2	4/4	1	1	i6	d	i		i6	i		6				m	1	1	-3, 1, 0		0	-3
6	6	0	0	4/4	1	1	V43	d	i		V43	V		43				Mm7	1	1	2, -1, 1, 5		1	2
6	6	1/2	1/2	4/4	1	1	i	d	i		i	i						m	1	1	0, -3, 1		0	0
6	6	3/4	3/4	4/4	1	1	V7/iv	d	i		V7/iv	V		7		iv		Mm7	1	1	0, 4, 1, -2		0	0
7	7	0	0	4/4	1	1	iv	d	i		iv	iv						m	1	1	-1, -4, 0		-1	-1
