mc	mn	onset	label
1	1	0	.Ab.I
2	2	0	I64(9)
2	2	1/2	I64
3	3	0	V43
4	4	0	V7(6)
4	4	1/2	V7
5	5	0	I
6	6	0	V43(+4)/IV
6	6	1/2	V43/IV
7	7	0	#viio2/iii
7	7	1/4	#viio2(+6)/iii
7	7	1/2	#viio2/iii
8	8	0	I\\
9	9	0	V65(b9)/ii
10	10	0	ii
11	11	0	V65(b9)
12	12	0	I
13	13	0	V2/IV
14	14	0	vi(9)
14	14	1/2	vi
15	15	0	.Fr6
16	16	0	V7\\
17	17	0	I
18	18	0	I64(9)
18	18	1/2	I64
19	19	0	V43
20	20	0	V7(6)
20	20	1/2	V7
21	21	0	I
22	22	0	V43(+4)/IV
22	22	1/2	V43/IV
23	23	0	#viio2/iii
23	23	1/4	#viio2(+6)/iii
23	23	1/2	#viio2/iii
24	24	0	I\\
25	25	0	V65(b9)/ii
26	26	0	ii
27	27	0	III.V65(b9)
28	28	0	I[I\\
29	29	1/4	.Fr6
30	30	0	I
31	31	1/4	viio43
32	32	0	I\\
33	33	1/4	.Fr6
34	34	0	I
35	35	0	viio43
36	36	0	I]\\
40	40	0	.bvii
41	41	0	.bvii2
42	42	0	V7
43	43	0	I(#2)
43	43	3/8	I\\
44	44	0	ii.V7
45	45	0	i(9)
45	45	3/8	i\\
46	46	0	I.ii6(#7)
46	46	3/8	ii65
47	47	0	V7\\
48	48	0	III.bvii
49	49	0	.bvii2
50	50	0	V7
51	51	0	I(#2)
51	51	3/8	I\\
52	52	0	ii.V7
53	53	0	i(9)
53	53	3/8	i\\
54	54	0	I.ii6(#7)
54	54	3/8	ii6
55	55	0	V7(#2)
55	55	3/8	V7\\
56	56	0	I
57	57	0	I64(9)
57	57	1/2	I64
58	58	0	V43
59	59	0	V7(6)
59	59	1/2	V7
60	60	0	I
61	61	0	V43(+4)/IV
61	61	1/2	V43/IV
62	62	0	#viio2/iii
62	62	1/4	#viio2(+6)/iii
62	62	1/2	#viio2/iii
63	63	0	I\\
64	64	0	V65(b9)/ii
65	65	0	ii
66	66	0	V65(b9)
67	67	0	I
68	68	0	V2/IV
69	69	0	vi(9)
69	69	1/2	vi
70	70	0	.Fr6
71	71	0	V7\\
72	72	0	I
73	73	0	I64(9)
73	73	1/2	I64
74	74	0	V43
75	75	0	V7(6)
75	75	1/2	V7
76	76	0	I
77	77	0	V43(+4)/IV
77	77	1/2	V43/IV
78	78	0	#viio2/iii
78	78	1/4	#viio2(+6)/iii
78	78	1/2	#viio2/iii
79	79	0	I\\
80	80	0	V65(b9)/ii
81	81	0	ii
82	82	0	III.V65(b9)
83	83	0	I\\
84	84	0	I.ii6
85	85	0	#viio65/iii
86	86	0	V7(9)
86	86	3/8	V7
87	87	0	I(9)
87	87	3/8	I\\
88	88	0	#V.I
88	88	1/2	I(6#4)
89	89	0	I
89	89	1/4	V6(6)
89	89	1/2	V6
90	90	1/4	vi7(4)
90	90	1/2	vi7
91	91	1/4	V(4)
91	91	3/8	V\\
92	92	0	I
92	92	1/2	I(6#4)
93	93	0	I
93	93	1/4	V6(6)
93	93	1/2	V6
94	94	1/4	vi7(4)
94	94	1/2	V43(4)/V
95	95	1/4	V(4)
95	95	3/8	V\\
96	96	0	I
96	96	1/2	I(6#4)
97	97	0	I
97	97	1/4	V6(6)
97	97	1/2	V6
98	98	1/4	vi7(4)
98	98	1/2	vi7
99	99	1/4	V(4)
99	99	3/8	V\\
100	100	0	I
100	100	1/2	I(6#4)
101	101	0	I
101	101	1/4	V6(6)
101	101	1/2	V6
102	102	0	vii
102	102	1/2	#vii.V
103	103	0	i(#7)
103	103	1/4	i\\
104	104	0	#V.ii
105	105	0	ii2(2)
105	105	1/2	ii2
106	106	0	V65
107	107	0	ii64
107	107	1/4	viio2
107	107	1/2	I64\\
108	108	0	V65/V
109	109	0	V2
110	110	0	I6
111	111	1/4	I64
111	111	1/2	I\\
112	112	0	ii
113	113	0	ii2(2)
113	113	1/2	ii2
114	114	0	V65
115	115	0	ii64
115	115	1/4	viio2
115	115	1/2	I64\\
116	116	0	V65/V
117	117	0	V2
118	118	0	I6
119	119	1/4	V43/V
119	119	1/2	V\\
120	120	0	I
120	120	1/2	I(6#4)
121	121	0	I
121	121	1/4	V6(6)
121	121	1/2	V6
122	122	1/4	vi7(4)
122	122	1/2	vi7
123	123	1/4	V(4)
123	123	3/8	V\\
124	124	0	I
124	124	1/2	I(6#4)
125	125	0	I
125	125	1/4	V6(6)
125	125	1/2	V6
126	126	1/4	vi7(4)
126	126	1/2	V43(4)/V
127	127	1/4	V(4)
127	127	3/8	V\\
128	128	0	I
128	128	1/2	I(6#4)
129	129	0	I
129	129	1/4	V6(6)
129	129	1/2	V6
130	130	1/4	vi7(4)
130	130	1/2	vi7
131	131	1/4	V(4)
131	131	3/8	V\\
132	132	0	I
132	132	1/2	I(6#4)
133	133	0	I
133	133	1/4	vii[V6(6)
133	133	1/2	V6
134	134	0	#vii.v7
134	134	1/2	V7
135	135	0	i6(#7)
135	135	1/2	i6\\
136	136	0	V7
137	137	0	i(+4)
137	137	1/2	i
138	138	0	i6
138	138	3/8	i6(6#4)
139	139	0	V7(9)
139	139	1/2	V7\\
140	140	0	V7
141	141	0	i(+4)
141	141	1/2	i
142	142	0	i6
142	142	3/8	i6(6#4)
143	143	0	V7(9)
143	143	3/8	V7
144	144	0	V7(9)
144	144	3/8	V7]\\
145	145	0	@none
148	148	1/4	I.V
149	149	0	#viio2/iii
150	150	0	#viio2(+6)/iii
150	150	1/2	#viio2/iii
151	151	0	V(64)
151	151	1/4	vi7
152	152	0	iii64-I(7)
152	152	1/2	I\\
153	153	0	viio7(b3)/V
154	154	0	viio7(+6b3)/V
154	154	1/2	viio7(b3)/V
155	155	0	V(64)
155	155	1/4	vi7
156	156	0	iii64-I(7)
156	156	1/2	I\\
157	157	0	#viio2/iii
158	158	0	#viio2(+6)/iii
158	158	1/2	#viio2/iii
159	159	0	V(64)
159	159	1/4	vi7
160	160	0	iii64-I(7)
160	160	1/2	I\\
161	161	0	viio7(b3)/V
162	162	0	viio7(+6b3)/V
