mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	8.0	0	0	4/4	2	1	G.V{		G	I		V	V						{	M	0	0	1, 5, 2		1	1
3	3	8	5.5	0	0	4/4	2	1	I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
4	4	27/2	0.5	3/8	3/8	4/4	2	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
4	4	14	0.5	1/2	1/2	4/4	2	1	V43		G	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
4	4	29/2	0.5	5/8	5/8	4/4	2	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
4	4	15	0.5	3/4	3/4	4/4	2	1	V43		G	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
4	4	31/2	0.5	7/8	7/8	4/4	2	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
5	5	16	4.0	0	0	4/4	2	1	I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
6	6	20	0.5	0	0	4/4	2	1	IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
6	6	41/2	0.5	1/8	1/8	4/4	2	1	I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
6	6	21	0.5	1/4	1/4	4/4	2	1	viio6(2)		G	I		viio6(2)	vii	o	6	2				o	0	0	2, -1, 0		5	2
6	6	43/2	0.5	3/8	3/8	4/4	2	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
6	6	22	0.5	1/2	1/2	4/4	2	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
6	6	45/2	0.5	5/8	5/8	4/4	2	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
6	6	23	1.0	3/4	3/4	4/4	2	1	V|HC}		G	I		V	V					HC	}	M	0	0	1, 5, 2		1	1
7	7	24	1.0	0	0	4/4	2	1	I6{		G	I		I6	I		6				{	M	0	0	4, 1, 0		0	4
7	7	25	2.0	1/4	1/4	4/4	2	1	bVI+	V(64b2)	G	I		bVI+	bVI	+						+	0	0	-4, 0, 4		-4	-4
7	7	27	1.0	3/4	3/4	4/4	2	1	V(64)	I64	G	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
8	8	28	1.0	0	0	4/4	2	1	I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
8	8	29	2.0	1/4	1/4	4/4	2	1	bVI+	V(64b2)	G	I		bVI+	bVI	+						+	0	0	-4, 0, 4		-4	-4
8	8	31	1.0	3/4	3/4	4/4	2	1	V7		G	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
9	9	32	1.0	0	0	4/4	2	1	I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
9	9	33	1.0	1/4	1/4	4/4	2	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
9	9	34	1.0	1/2	1/2	4/4	2	1	iii64	I(0)	G	I		iii64	iii		64					m	0	0	5, 4, 1		4	5
9	9	35	1.0	3/4	3/4	4/4	2	1	viio64/IV		G	I		viio64/IV	vii	o	64		IV			o	0	0	-2, 4, 1		4	-2
10	10	36	0.5	0	0	4/4	2	1	IV6		G	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
10	10	73/2	0.5	1/8	1/8	4/4	2	1	ii.V7		G	ii		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
10	10	37	0.5	1/4	1/4	4/4	2	1	V(64)		G	ii		V(64)	V			64				M	0	1	1, 0, -3		1	1
10	10	75/2	0.5	3/8	3/8	4/4	2	1	V2		G	ii		V2	V		2					Mm7	0	1	-1, 1, 5, 2		1	-1
10	10	38	0.5	1/2	1/2	4/4	2	1	i6		G	ii		i6	i		6					m	0	1	-3, 1, 0		0	-3
10	10	77/2	0.5	5/8	5/8	4/4	2	1	V64		G	ii		V64	V		64					M	0	1	2, 1, 5		1	2
10	10	39	1.0	3/4	3/4	4/4	2	1	i|IAC}		G	ii		i	i					IAC	}	m	0	1	0, -3, 1		0	0
11	11	40	0.5	0	0	4/4	2	1	iii.i64{	V(64){	G	iii		i64	i		64				{	m	0	1	1, 0, -3		0	1
11	11	81/2	0.5	1/8	1/8	4/4	2	1	V7		G	iii		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
