mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	8.0	0	0	4/4	2	1	G.V{		G	I		V	V						{	M	0	0	1, 5, 2		1	1
3	3	8	8	5.5	0	0	4/4	2	1	I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
4	4	27/2	27/2	0.5	3/8	3/8	4/4	2	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
4	4	14	14	0.5	1/2	1/2	4/4	2	1	V43		G	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
4	4	29/2	29/2	0.5	5/8	5/8	4/4	2	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
4	4	15	15	0.5	3/4	3/4	4/4	2	1	V43		G	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
4	4	31/2	31/2	0.5	7/8	7/8	4/4	2	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
5	5	16	16	4.0	0	0	4/4	2	1	I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
6	6	20	20	0.5	0	0	4/4	2	1	IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
6	6	41/2	41/2	0.5	1/8	1/8	4/4	2	1	I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
6	6	21	21	0.5	1/4	1/4	4/4	2	1	viio6(2)		G	I		viio6(2)	vii	o	6	2				o	0	0	2, -1, 0		5	2
6	6	43/2	43/2	0.5	3/8	3/8	4/4	2	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
6	6	22	22	0.5	1/2	1/2	4/4	2	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
6	6	45/2	45/2	0.5	5/8	5/8	4/4	2	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
6	6	23	23	1.0	3/4	3/4	4/4	2	1	V|HC}		G	I		V	V					HC	}	M	0	0	1, 5, 2		1	1
