mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	2	1	g.i{					g	i		i	i						{	m	1	1	1, -2, 2		1.0	1.0	4	20	0.16666666666666666	0.5	5.875	0.0784313725490196
3	3	3/4	3/4	4/4	2	1	#viio6					g	i		#viio6	#vii	o	6					o	1	1	3, 0, 6		6.0	3.0	1	2	0.3333333333333333	0.125	0.375	0.25
4	4	0	0	4/4	2	1	i6					g	i		i6	i		6					m	1	1	-2, 2, 1		1.0	-2.0	0	6	0.0	0.0	1.625	0.0
4	4	3/4	3/4	4/4	2	1	ii%65					g	i		ii%65	ii	%	65					%7	1	1	0, -3, 1, 3		3.0	0.0	0	5	0.0	0.0	1.0	0.0
5	5	0	0	4/4	2	1	V(64)					g	i		V(64)	V			64				M	1	1	2, 1, -2		2.0	2.0	1	5	0.16666666666666666	0.125	0.625	0.16666666666666666
5	5	1/4	1/4	4/4	2	1	V(9#764)					g	i		V(9#764)	V			9#764				M	1	1	2, 1, -2	-3, 7	2.0	2.0	0	4	0.0	0.0	0.5	0.0
5	5	1/2	1/2	4/4	2	1	V(64)					g	i		V(64)	V			64				M	1	1	2, 1, -2		2.0	2.0	0	4	0.0	0.0	0.5	0.0
5	5	3/4	3/4	4/4	2	1	V7					g	i		V7	V		7					Mm7	1	1	2, 6, 3, 0		2.0	2.0	0	4	0.0	0.0	0.75	0.0
6	6	0	0	4/4	2	1	i|PAC}					g	i		i	i					PAC	}	m	1	1	1, -2, 2		1.0	1.0	1	3	0.25	0.125	2.0	0.058823529411764705
6	6	1/4	1/4	4/4	2	1	i(6#4)					g	i		i(6#4)	i			6#4				m	1	1	1, -2, 7, -3		1.0	1.0	0	2	0.0	0.0	0.25	0.0
6	6	1/2	1/2	4/4	2	1	i					g	i		i	i							m	1	1	1, -2, 2		1.0	1.0	0	2	0.0	0.0	0.625	0.0
6	6	3/4	3/4	4/4	2	1	V7					g	i		V7	V		7					Mm7	1	1	2, 6, 3, 0		2.0	2.0	1	2	0.3333333333333333	0.125	0.375	0.25
7	7	0	0	4/4	2	1	i					g	i		i	i							m	1	1	1, -2, 2		1.0	1.0	2	10	0.16666666666666666	0.25	1.875	0.11764705882352941
7	7	3/4	3/4	4/4	2	1	V65/III					g	i		V65/III	V		65		III			Mm7	1	1	3, 0, -3, -1		-1.0	3.0	1	5	0.16666666666666666	0.125	1.125	0.1
8	8	0	0	4/4	2	1	I/III					g	i		I/III	I				III			M	1	1	-2, 2, -1		-2.0	-2.0	0	9	0.0	0.0	2.875	0.0
8	8	3/4	3/4	4/4	2	1	VIM65	0	5.91343	/	IVM65/III	g	i		VIM65	VI	M	65					MM7	1	1	1, -2, 2, -3		-3.0	1.0	1	5	0.16666666666666666	0.125	1.125	0.1
9	9	0	0	4/4	2	1	iio				viio/III	g	i		iio	ii	o						o	1	1	3, 0, -3		3.0	3.0	0	5	0.0	0.0	2.0	0.0
9	9	1/2	1/2	4/4	2	1	ii%7				vii%7/III	g	i		ii%7	ii	%	7					%7	1	1	3, 0, -3, 1		3.0	3.0	0	4	0.0	0.0	0.875	0.0
9	9	3/4	3/4	4/4	2	1	V65					g	i		V65	V		65					Mm7	1	1	6, 3, 0, 2		2.0	6.0	1	5	0.16666666666666666	0.125	1.125	0.1
10	10	0	0	4/4	2	1	i					g	i		i	i							m	1	1	1, -2, 2		1.0	1.0	0	9	0.0	0.0	2.125	0.0
10	10	3/4	3/4	4/4	2	1	iio6					g	i		iio6	ii	o	6					o	1	1	0, -3, 3		3.0	0.0	1	4	0.2	0.125	0.875	0.125
11	11	0	0	4/4	2	1	V[V(64)					g	i	V	V(64)	V			64				M	1	1	2, 1, -2		2.0	2.0	2	7	0.2222222222222222	0.25	2.25	0.1
11	11	1/2	1/2	4/4	2	1	viio7/V					g	i	V	viio7/V	vii	o	7		V			o7	1	1	7, 4, 1, -2		7.0	7.0	0	3	0.0	0.0	0.875	0.0
11	11	3/4	3/4	4/4	2	1	#viio43(4)					g	i	V	#viio43(4)	#vii	o	43	4				o7	1	1	0, -3, 6, -2		6.0	0.0	0	3	0.0	0.0	0.75	0.0
11	11	7/8	7/8	4/4	2	1	#viio43]					g	i	V	#viio43	#vii	o	43					o7	1	1	0, -3, 6, 3		6.0	0.0	0	1	0.0	0.0	0.125	0.0
12	12	0	0	4/4	2	1	i(4)}					g	i		i(4)	i			4			}	m	1	1	1, 0, 2		1.0	1.0	0	4	0.0	0.0	0.875	0.0
12	12	1/8	1/8	4/4	2	1	i|PAC					g	i		i	i					PAC		m	1	1	1, -2, 2		1.0	1.0	1	6	0.14285714285714285	0.125	0.875	0.125
13	13	0	0	4/4	2	1	III.V2					g	III		V2	V		2					Mm7	1	0	-3, -1, 3, 0		-1.0	-3.0	3	10	0.23076923076923078	0.375	2.625	0.125
14	14	0	0	4/4	2	1	I6					g	III		I6	I		6					M	1	0	2, -1, -2		-2.0	2.0	1	8	0.1111111111111111	0.125	2.75	0.043478260869565216
15	15	0	0	4/4	2	1	V43					g	III		V43	V		43					Mm7	1	0	0, -3, -1, 3		-1.0	0.0	0	9	0.0	0.0	2.875	0.0
16	16	0	0	4/4	2	1	I}					g	III		I	I						}	M	1	0	-2, 2, -1		-2.0	-2.0	2	7	0.2222222222222222	0.25	2.625	0.08695652173913043
17	17	0	0	4/4	2	1	V2					g	III		V2	V		2					Mm7	1	0	-3, -1, 3, 0		-1.0	-3.0	3	10	0.23076923076923078	0.375	2.625	0.125
18	18	0	0	4/4	2	1	i.V					g	i		V	V							M	1	1	2, 6, 3		2.0	2.0	1	8	0.1111111111111111	0.125	2.75	0.043478260869565216
19	19	0	0	4/4	2	1	V(64)					g	i		V(64)	V			64				M	1	1	2, 1, -2		2.0	2.0	1	7	0.125	0.125	2.25	0.05263157894736842
20	20	0	0	4/4	2	1	V					g	i		V	V							M	1	1	2, 6, 3		2.0	2.0	0	3	0.0	0.0	1.0	0.0
20	20	1/2	1/2	4/4	2	1	V7					g	i		V7	V		7					Mm7	1	1	2, 6, 3, 0		2.0	2.0	1	4	0.2	0.125	1.25	0.09090909090909091
21	21	0	0	4/4	2	1	V(64)					g	i		V(64)	V			64				M	1	1	2, 1, -2		2.0	2.0	3	11	0.21428571428571427	0.25	2.25	0.1
22	22	0	0	4/4	2	1	V(4)}					g	i		V(4)	V			4			}	M	1	1	2, 1, 3		2.0	2.0	0	5	0.0	0.0	0.625	0.0
22	22	1/4	1/4	4/4	2	1	V|HC					g	i		V	V					HC		M	1	1	2, 6, 3		2.0	2.0	1	4	0.2	0.125	0.625	0.16666666666666666
22	22	5/8	5/8	4/4	2	1	V43{					g	i		V43	V		43				{	Mm7	1	1	3, 0, 2, 6		2.0	3.0	2	4	0.3333333333333333	0.25	0.5	0.3333333333333333
23	23	0	0	4/4	2	1	i					g	i		i	i							m	1	1	1, -2, 2		1.0	1.0	2	10	0.16666666666666666	0.25	2.0	0.1111111111111111
23	23	3/4	3/4	4/4	2	1	#viio6					g	i		#viio6	#vii	o	6					o	1	1	3, 0, 6		6.0	3.0	1	2	0.3333333333333333	0.125	0.375	0.25
24	24	0	0	4/4	2	1	i6					g	i		i6	i		6					m	1	1	-2, 2, 1		1.0	-2.0	0	6	0.0	0.0	1.625	0.0
24	24	3/4	3/4	4/4	2	1	ii%65					g	i		ii%65	ii	%	65					%7	1	1	0, -3, 1, 3		3.0	0.0	0	5	0.0	0.0	1.0	0.0
25	25	0	0	4/4	2	1	V(64)					g	i		V(64)	V			64				M	1	1	2, 1, -2		2.0	2.0	1	5	0.16666666666666666	0.125	0.625	0.16666666666666666
25	25	1/4	1/4	4/4	2	1	V(9#764)					g	i		V(9#764)	V			9#764				M	1	1	2, 1, -2	-3, 7	2.0	2.0	0	4	0.0	0.0	0.5	0.0
25	25	1/2	1/2	4/4	2	1	V(64)					g	i		V(64)	V			64				M	1	1	2, 1, -2		2.0	2.0	0	4	0.0	0.0	0.5	0.0
25	25	3/4	3/4	4/4	2	1	V7					g	i		V7	V		7					Mm7	1	1	2, 6, 3, 0		2.0	2.0	0	4	0.0	0.0	0.75	0.0
26	26	0	0	4/4	2	1	i|PAC}					g	i		i	i					PAC	}	m	1	1	1, -2, 2		1.0	1.0	1	3	0.25	0.125	2.0	0.058823529411764705
26	26	1/4	1/4	4/4	2	1	i(6#4)					g	i		i(6#4)	i			6#4				m	1	1	1, -2, 7, -3		1.0	1.0	0	2	0.0	0.0	0.25	0.0
26	26	1/2	1/2	4/4	2	1	i					g	i		i	i							m	1	1	1, -2, 2		1.0	1.0	0	2	0.0	0.0	0.625	0.0
26	26	3/4	3/4	4/4	2	1	V7					g	i		V7	V		7					Mm7	1	1	2, 6, 3, 0		2.0	2.0	1	2	0.3333333333333333	0.125	0.375	0.25
27	27	0	0	4/4	2	1	i					g	i		i	i							m	1	1	1, -2, 2		1.0	1.0	2	10	0.16666666666666666	0.25	1.875	0.11764705882352941
27	27	3/4	3/4	4/4	2	1	V65/III					g	i		V65/III	V		65		III			Mm7	1	1	3, 0, -3, -1		-1.0	3.0	1	5	0.16666666666666666	0.125	1.125	0.1
28	28	0	0	4/4	2	1	I/III					g	i		I/III	I				III			M	1	1	-2, 2, -1		-2.0	-2.0	0	9	0.0	0.0	2.875	0.0
28	28	3/4	3/4	4/4	2	1	VIM65				IVM65/III	g	i		VIM65	VI	M	65					MM7	1	1	1, -2, 2, -3		-3.0	1.0	1	5	0.16666666666666666	0.125	1.125	0.1
29	29	0	0	4/4	2	1	iio				viio/III	g	i		iio	ii	o						o	1	1	3, 0, -3		3.0	3.0	0	5	0.0	0.0	2.0	0.0
29	29	1/2	1/2	4/4	2	1	ii%7				vii%7/III	g	i		ii%7	ii	%	7					%7	1	1	3, 0, -3, 1		3.0	3.0	0	4	0.0	0.0	0.875	0.0
29	29	3/4	3/4	4/4	2	1	V65					g	i		V65	V		65					Mm7	1	1	6, 3, 0, 2		2.0	6.0	1	5	0.16666666666666666	0.125	1.125	0.1
30	30	0	0	4/4	2	1	i					g	i		i	i							m	1	1	1, -2, 2		1.0	1.0	0	9	0.0	0.0	2.125	0.0
30	30	3/4	3/4	4/4	2	1	iio6					g	i		iio6	ii	o	6					o	1	1	0, -3, 3		3.0	0.0	1	4	0.2	0.125	0.875	0.125
31	31	0	0	4/4	2	1	V[V(64)					g	i	V	V(64)	V			64				M	1	1	2, 1, -2		2.0	2.0	2	7	0.2222222222222222	0.25	2.25	0.1
31	31	1/2	1/2	4/4	2	1	viio7/V					g	i	V	viio7/V	vii	o	7		V			o7	1	1	7, 4, 1, -2		7.0	7.0	0	3	0.0	0.0	0.875	0.0
31	31	3/4	3/4	4/4	2	1	#viio43(4)					g	i	V	#viio43(4)	#vii	o	43	4				o7	1	1	0, -3, 6, -2		6.0	0.0	0	3	0.0	0.0	0.75	0.0
31	31	7/8	7/8	4/4	2	1	#viio43					g	i	V	#viio43	#vii	o	43					o7	1	1	0, -3, 6, 3		6.0	0.0	0	1	0.0	0.0	0.125	0.0
32	32	0	0	4/4	2	1	I.I64]}					g	I	V	I64	I		64				}	M	1	0	2, 1, 5		1.0	2.0	0	4	0.0	0.0	0.5	0.0
32	32	1/8	1/8	4/4	2	1	I[I{	0	-2.51834	/		g	I	I	I	I						{	M	1	0	1, 5, 2		1.0	1.0	1	16	0.058823529411764705	0.125	3.75	0.03225806451612903
33	33	0	0	4/4	2	1	V7(9)					g	I	I	V7(9)	V		7	9				Mm7	1	0	2, 6, 3, 0	4	2.0	2.0	1	6	0.14285714285714285	0.25	1.125	0.18181818181818182
33	33	1/4	1/4	4/4	2	1	V					g	I	I	V	V							M	1	0	2, 6, 3		2.0	2.0	2	5	0.2857142857142857	0.25	1.0	0.2
33	33	1/2	1/2	4/4	2	1	V7					g	I	I	V7	V		7					Mm7	1	0	2, 6, 3, 0		2.0	2.0	1	3	0.25	0.25	0.75	0.25
33	33	3/4	3/4	4/4	2	1	V7(9)					g	I	I	V7(9)	V		7	9				Mm7	1	0	2, 6, 3, 0	4	2.0	2.0	1	4	0.2	0.125	0.75	0.14285714285714285
34	34	0	0	4/4	2	1	I					g	I	I	I	I							M	1	0	1, 5, 2		1.0	1.0	2	14	0.125	0.5	3.125	0.13793103448275862
34	34	3/4	3/4	4/4	2	1	V7(9)					g	I	I	V7(9)	V		7	9				Mm7	1	0	2, 6, 3, 0	4	2.0	2.0	0	5	0.0	0.0	0.875	0.0
35	35	0	0	4/4	2	1	I(7)					g	I	I	I(7)	I			7				M	1	0	1, 5, 2	6	1.0	1.0	0	5	0.0	0.0	0.875	0.0
35	35	1/8	1/8	4/4	2	1	I					g	I	I	I	I							M	1	0	1, 5, 2		1.0	1.0	0	2	0.0	0.0	0.5	0.0
35	35	1/4	1/4	4/4	2	1	V					g	I	I	V	V							M	1	0	2, 6, 3		2.0	2.0	2	5	0.2857142857142857	0.25	1.0	0.2
35	35	1/2	1/2	4/4	2	1	V7					g	I	I	V7	V		7					Mm7	1	0	2, 6, 3, 0		2.0	2.0	1	3	0.25	0.25	0.75	0.25
35	35	3/4	3/4	4/4	2	1	V+(#7)					g	I	I	V+(#7)	V	+		#7				+	1	0	2, 6, 10	7	2.0	2.0	1	4	0.2	0.125	0.75	0.14285714285714285
36	36	0	0	4/4	2	1	I|IAC}					g	I	I	I	I					IAC	}	M	1	0	1, 5, 2		1.0	1.0	1	10	0.09090909090909091	0.125	1.625	0.07142857142857142
36	36	1/2	1/2	4/4	2	1	I(6)					g	I	I	I(6)	I			6				M	1	0	1, 5, 4		1.0	1.0	1	5	0.16666666666666666	0.125	1.0	0.1111111111111111
36	36	3/4	3/4	4/4	2	1	I					g	I	I	I	I							M	1	0	1, 5, 2		1.0	1.0	0	4	0.0	0.0	0.875	0.0
37	37	0	0	4/4	2	1	V7(9)					g	I	I	V7(9)	V		7	9				Mm7	1	0	2, 6, 3, 0	4	2.0	2.0	5	7	0.4166666666666667	0.625	1.25	0.3333333333333333
37	37	1/2	1/2	4/4	2	1	iio64				V7(b9)	g	I	I	iio64	ii	o	64					o	1	0	-3, 3, 0		3.0	-3.0	0	3	0.0	0.0	0.625	0.0
37	37	5/8	5/8	4/4	2	1	V43]					g	I	I	V43	V		43					Mm7	1	0	3, 0, 2, 6		2.0	3.0	1	2	0.3333333333333333	0.125	0.25	0.3333333333333333
37	37	3/4	3/4	4/4	2	1	vii%2					g	I		vii%2	vii	%	2					%7	1	0	4, 6, 3, 0		6.0	4.0	0	4	0.0	0.0	0.875	0.0
38	38	0	0	4/4	2	1	V(64)				I64	g	I		V(64)	V			64				M	1	0	2, 1, 5		2.0	2.0	1	4	0.2	0.125	0.875	0.125
38	38	1/4	1/4	4/4	2	1	#viio7/iii					g	I		#viio7/iii	#vii	o	7		iii			o7	1	0	10, 7, 4, 1		10.0	10.0	0	4	0.0	0.0	0.875	0.0
38	38	1/2	1/2	4/4	2	1	iii					g	I		iii	iii							m	1	0	5, 2, 6		5.0	5.0	1	4	0.2	0.125	0.875	0.125
38	38	3/4	3/4	4/4	2	1	IV+64				V6(6)/ii	g	I		IV+64	IV	+	64					+	1	0	8, 0, 4		0.0	8.0	0	4	0.0	0.0	0.875	0.0
39	39	0	0	4/4	2	1	iii2				ii(94)	g	I		iii2	iii		2					mm7	1	0	3, 5, 2, 6		5.0	3.0	1	4	0.2	0.125	0.875	0.125
39	39	1/4	1/4	4/4	2	1	viio2					g	I		viio2	vii	o	2					o7	1	0	-3, 6, 3, 0		6.0	-3.0	3	4	0.42857142857142855	0.375	0.5	0.42857142857142855
39	39	1/2	1/2	4/4	2	1	V7					g	I		V7	V		7					Mm7	1	0	2, 6, 3, 0		2.0	2.0	1	4	0.2	0.125	0.875	0.125
39	39	3/4	3/4	4/4	2	1	vii%7					g	I		vii%7	vii	%	7					%7	1	0	6, 3, 0, 4		6.0	6.0	0	4	0.0	0.0	0.875	0.0
40	40	0	0	3/4	2	1	I|PAC}					g	I		I	I					PAC	}	M	1	0	1, 5, 2		1.0	1.0	1	7	0.125	0.125	0.875	0.125
40	40	1/4	1/4	3/4	2	1	vi					g	I		vi	vi							m	1	0	4, 1, 5		4.0	4.0	0	6	0.0	0.0	2.625	0.0
40	40	1/2	1/2	3/4	2	1	vi6					g	I		vi6	vi		6					m	1	0	1, 5, 4		4.0	1.0	0	2	0.0	0.0	0.375	0.0
41	41	0	0	3/4	2	1	iii					g	I		iii	iii							m	1	0	5, 2, 6		5.0	5.0	0	5	0.0	0.0	0.625	0.0
41	41	1/8	1/8	3/4	2	1	iii6					g	I		iii6	iii		6					m	1	0	2, 6, 5		5.0	2.0	0	5	0.0	0.0	0.625	0.0
41	41	1/4	1/4	3/4	2	1	IV					g	I		IV	IV							M	1	0	0, 4, 1		0.0	0.0	0	6	0.0	0.0	2.625	0.0
41	41	1/2	1/2	3/4	2	1	IV6					g	I		IV6	IV		6					M	1	0	4, 1, 0		0.0	4.0	0	2	0.0	0.0	0.375	0.0
42	42	0	0	3/4	2	1	I					g	I		I	I							M	1	0	1, 5, 2		1.0	1.0	0	6	0.0	0.0	0.75	0.0
42	42	1/4	1/4	3/4	2	1	I6					g	I		I6	I		6					M	1	0	5, 2, 1		1.0	5.0	0	6	0.0	0.0	2.25	0.0
42	42	1/2	1/2	3/4	2	1	i6					g	I		i6	i		6					m	1	0	-2, 2, 1		1.0	-2.0	2	2	0.5	0.25	0.5	0.3333333333333333
43	43	0	0	3/4	2	1	viio65					g	I		viio65	vii	o	65					o7	1	0	3, 0, -3, 6		6.0	3.0	0	6	0.0	0.0	1.5	0.0
43	43	1/4	1/4	3/4	2	1	#viio7/ii					g	I		#viio7/ii	#vii	o	7		ii			o7	1	0	8, 5, 2, -1		8.0	8.0	0	6	0.0	0.0	0.75	0.0
43	43	3/8	3/8	3/4	2	1	#viio43/ii					g	I		#viio43/ii	#vii	o	43		ii			o7	1	0	2, -1, 8, 5		8.0	2.0	0	7	0.0	0.0	0.875	0.0
43	43	1/2	1/2	3/4	2	1	ii6					g	I		ii6	ii		6					m	1	0	0, 4, 3		3.0	0.0	0	7	0.0	0.0	1.25	0.0
44	44	0	0	3/4	2	1	V(64)					g	I		V(64)	V			64				M	1	0	2, 1, 5		2.0	2.0	0	9	0.0	0.0	1.5	0.0
44	44	1/2	1/2	3/4	2	1	V7					g	I		V7	V		7					Mm7	1	0	2, 6, 3, 0		2.0	2.0	1	4	0.2	0.125	0.875	0.125
45	45	0	0	3/4	2	1	I|PAC}					g	I		I	I					PAC	}	M	1	0	1, 5, 2		1.0	1.0	0	10	0.0	0.0	1.25	0.0
45	45	1/4	1/4	3/4	2	1	vi					g	I		vi	vi							m	1	0	4, 1, 5		4.0	4.0	0	6	0.0	0.0	2.625	0.0
45	45	1/2	1/2	3/4	2	1	vi6					g	I		vi6	vi		6					m	1	0	1, 5, 4		4.0	1.0	0	2	0.0	0.0	0.375	0.0
46	46	0	0	3/4	2	1	iii					g	I		iii	iii							m	1	0	5, 2, 6		5.0	5.0	0	5	0.0	0.0	0.625	0.0
46	46	1/8	1/8	3/4	2	1	iii6					g	I		iii6	iii		6					m	1	0	2, 6, 5		5.0	2.0	0	5	0.0	0.0	0.625	0.0
46	46	1/4	1/4	3/4	2	1	IV					g	I		IV	IV							M	1	0	0, 4, 1		0.0	0.0	0	6	0.0	0.0	2.625	0.0
46	46	1/2	1/2	3/4	2	1	IV6					g	I		IV6	IV		6					M	1	0	4, 1, 0		0.0	4.0	0	2	0.0	0.0	0.375	0.0
