mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	2	1	Eb.I{				Eb	I		I		I						{	M	0	0	-3, 1, -2		-3.0	-3.0	0	9	0.0	0.0	3.625	0.0
1	1	3/4	3/4	4/4	2	1	I64(+6)	-0.925383	-4.55118	/	Eb	I		I64(+6)		I		64	+6				M	0	0	-2, -3, 1	0	-3.0	-2.0	0	7	0.0	0.0	1.5	0.0
2	2	0	0	4/4	2	1	I				Eb	I		I		I							M	0	0	-3, 1, -2		-3.0	-3.0	1	8	0.1111111111111111	0.125	3.625	0.03333333333333333
2	2	3/4	3/4	4/4	2	1	I64(+6)	-1.5423	-4.55118	/	Eb	I		I64(+6)		I		64	+6				M	0	0	-2, -3, 1	0	-3.0	-2.0	0	6	0.0	0.0	1.25	0.0
3	3	0	0	4/4	2	1	I				Eb	I		I		I							M	0	0	-3, 1, -2		-3.0	-3.0	0	8	0.0	0.0	4.5	0.0
3	3	3/4	3/4	4/4	2	1	I64				Eb	I		I64		I		64					M	0	0	-2, -3, 1		-3.0	-2.0	0	3	0.0	0.0	0.75	0.0
4	4	0	0	4/4	2	1	I[V]				Eb	I	I	V		V							M	0	0	-2, 2, -1		-2.0	-2.0	3	7	0.3	1.0	3.5	0.2222222222222222
4	4	3/4	3/4	4/4	2	1	V7(9)				Eb	I		V7(9)		V		7	9				Mm7	0	0	-2, 2, -1, -4	0	-2.0	-2.0	0	5	0.0	0.0	1.0	0.0
4	4	7/8	7/8	4/4	2	1	V7				Eb	I		V7		V		7					Mm7	0	0	-2, 2, -1, -4		-2.0	-2.0	0	2	0.0	0.0	0.25	0.0
5	5	0	0	4/4	2	1	I				Eb	I		I		I							M	0	0	-3, 1, -2		-3.0	-3.0	2	8	0.2	0.25	3.5	0.06666666666666667
5	5	3/4	3/4	4/4	2	1	V7(9)				Eb	I		V7(9)		V		7	9				Mm7	0	0	-2, 2, -1, -4	0	-2.0	-2.0	0	5	0.0	0.0	1.0	0.0
5	5	7/8	7/8	4/4	2	1	V7				Eb	I		V7		V		7					Mm7	0	0	-2, 2, -1, -4		-2.0	-2.0	0	2	0.0	0.0	0.25	0.0
6	6	0	0	4/4	2	1	I				Eb	I		I		I							M	0	0	-3, 1, -2		-3.0	-3.0	1	7	0.125	0.125	3.875	0.03125
6	6	3/4	3/4	4/4	2	1	V7(9)				Eb	I		V7(9)		V		7	9				Mm7	0	0	-2, 2, -1, -4	0	-2.0	-2.0	0	5	0.0	0.0	1.125	0.0
6	6	7/8	7/8	4/4	2	1	V7				Eb	I		V7		V		7					Mm7	0	0	-2, 2, -1, -4		-2.0	-2.0	0	1	0.0	0.0	0.125	0.0
7	7	0	0	4/4	2	1	I				Eb	I		I		I							M	0	0	-3, 1, -2		-3.0	-3.0	1	7	0.125	0.125	3.875	0.03125
7	7	3/4	3/4	4/4	2	1	V7(9)				Eb	I		V7(9)		V		7	9				Mm7	0	0	-2, 2, -1, -4	0	-2.0	-2.0	0	5	0.0	0.0	1.125	0.0
7	7	7/8	7/8	4/4	2	1	V7				Eb	I		V7		V		7					Mm7	0	0	-2, 2, -1, -4		-2.0	-2.0	0	1	0.0	0.0	0.125	0.0
8	8	0	0	4/4	2	1	I|PAC}{				Eb	I		I		I					PAC	}{	M	0	0	-3, 1, -2		-3.0	-3.0	0	9	0.0	0.0	3.625	0.0
8	8	3/4	3/4	4/4	2	1	I64(+6)	-1.07961	-4.55118	/	Eb	I		I64(+6)		I		64	+6				M	0	0	-2, -3, 1	0	-3.0	-2.0	0	7	0.0	0.0	1.5	0.0
9	9	0	0	4/4	2	1	I				Eb	I		I		I							M	0	0	-3, 1, -2		-3.0	-3.0	1	8	0.1111111111111111	0.125	3.625	0.03333333333333333
9	9	3/4	3/4	4/4	2	1	I64(+6)	-1.07961	-4.55118	/	Eb	I		I64(+6)		I		64	+6				M	0	0	-2, -3, 1	0	-3.0	-2.0	0	6	0.0	0.0	1.25	0.0
10	10	0	0	4/4	2	1	I				Eb	I		I		I							M	0	0	-3, 1, -2		-3.0	-3.0	0	8	0.0	0.0	4.5	0.0
10	10	3/4	3/4	4/4	2	1	I64				Eb	I		I64		I		64					M	0	0	-2, -3, 1		-3.0	-2.0	0	3	0.0	0.0	0.75	0.0
11	11	0	0	4/4	2	1	I[V]				Eb	I	I	V		V							M	0	0	-2, 2, -1		-2.0	-2.0	3	7	0.3	1.0	3.5	0.2222222222222222
11	11	3/4	3/4	4/4	2	1	V7(9)				Eb	I		V7(9)		V		7	9				Mm7	0	0	-2, 2, -1, -4	0	-2.0	-2.0	0	5	0.0	0.0	1.0	0.0
11	11	7/8	7/8	4/4	2	1	V7				Eb	I		V7		V		7					Mm7	0	0	-2, 2, -1, -4		-2.0	-2.0	0	2	0.0	0.0	0.25	0.0
12	12	0	0	4/4	2	1	I				Eb	I		I		I							M	0	0	-3, 1, -2		-3.0	-3.0	2	8	0.2	0.25	3.5	0.06666666666666667
12	12	3/4	3/4	4/4	2	1	V7(9)				Eb	I		V7(9)		V		7	9				Mm7	0	0	-2, 2, -1, -4	0	-2.0	-2.0	0	5	0.0	0.0	1.0	0.0
12	12	7/8	7/8	4/4	2	1	V7				Eb	I		V7		V		7					Mm7	0	0	-2, 2, -1, -4		-2.0	-2.0	0	2	0.0	0.0	0.25	0.0
13	13	0	0	4/4	2	1	I				Eb	I		I		I							M	0	0	-3, 1, -2		-3.0	-3.0	1	6	0.14285714285714285	0.125	3.625	0.03333333333333333
13	13	3/4	3/4	4/4	2	1	vi.Fr6	-3.39307	-4.54618	/	Eb	vi		Fr6	Fr	V		43	b5	V			Fr	0	1	-4, 0, 2, 6		2.0	-4.0	0	6	0.0	0.0	1.25	0.0
14	14	0	0	4/4	2	1	V(4)}				Eb	vi		V(4)		V			4			}	M	0	1	1, 0, 2		1.0	1.0	0	5	0.0	0.0	2.5	0.0
14	14	1/2	1/2	4/4	2	1	V|HC				Eb	vi		V		V					HC		M	0	1	1, 5, 2		1.0	1.0	1	5	0.16666666666666666	0.125	0.625	0.16666666666666666
14	14	3/4	3/4	4/4	2	1	V43{				Eb	vi		V43		V		43				{	Mm7	0	1	2, -1, 1, 5		1.0	2.0	1	2	0.3333333333333333	0.125	0.375	0.25
15	15	0	0	4/4	2	1	i[i				Eb	vi	i	i		i							m	0	1	0, -3, 1		0.0	0.0	0	8	0.0	0.0	1.375	0.0
15	15	1/2	1/2	4/4	2	1	V7				Eb	vi	i	V7		V		7					Mm7	0	1	1, 5, 2, -1		1.0	1.0	2	6	0.25	0.25	1.125	0.18181818181818182
16	16	0	0	4/4	2	1	i				Eb	vi	i	i		i							m	0	1	0, -3, 1		0.0	0.0	0	3	0.0	0.0	0.375	0.0
16	16	1/4	1/4	4/4	2	1	V7				Eb	vi	i	V7		V		7					Mm7	0	1	1, 5, 2, -1		1.0	1.0	4	10	0.2857142857142857	0.5	1.875	0.21052631578947367
17	17	0	0	4/4	2	1	i				Eb	vi	i	i		i							m	0	1	0, -3, 1		0.0	0.0	0	8	0.0	0.0	1.375	0.0
17	17	1/2	1/2	4/4	2	1	V7(#9)				Eb	vi	i	V7(#9)		V		7	#9				Mm7	0	1	1, 5, 2, -1	3	1.0	1.0	2	5	0.2857142857142857	0.25	0.875	0.2222222222222222
17	17	7/8	7/8	4/4	2	1	V7				Eb	vi	i	V7		V		7					Mm7	0	1	1, 5, 2, -1		1.0	1.0	0	2	0.0	0.0	0.25	0.0
18	18	0	0	4/4	2	1	i}				Eb	vi	i	i		i						}	m	0	1	0, -3, 1		0.0	0.0	0	28	0.0	0.0	4.375	0.0
19	19	1/2	1/2	4/4	2	1	V				Eb	vi	i	V		V							M	0	1	1, 5, 2		1.0	1.0	2	8	0.2	0.25	1.25	0.16666666666666666
20	20	0	0	4/4	2	1	i				Eb	vi	i	i		i							m	0	1	0, -3, 1		0.0	0.0	2	10	0.16666666666666666	0.25	1.25	0.16666666666666666
20	20	1/2	1/2	4/4	2	1	V				Eb	vi	i	V		V							M	0	1	1, 5, 2		1.0	1.0	2	8	0.2	0.25	1.25	0.16666666666666666
21	21	0	0	4/4	2	1	i				Eb	vi	i	i		i							m	0	1	0, -3, 1		0.0	0.0	0	14	0.0	0.0	2.25	0.0
21	21	3/4	3/4	4/4	2	1	V				Eb	vi	i	V		V							M	0	1	1, 5, 2		1.0	1.0	3	5	0.375	0.375	0.625	0.375
22	22	0	0	4/4	2	1	i]}				Eb	vi	i	i		i						}	m	0	1	0, -3, 1		0.0	0.0	0	11	0.0	0.0	1.375	0.0
22	22	1/4	1/4	4/4	2	1	iv				Eb	vi		iv		iv							m	0	1	-1, -4, 0		-1.0	-1.0	0	8	0.0	0.0	4.0	0.0
22	22	3/4	3/4	4/4	2	1	I.V				Eb	I		V		V							M	0	0	-2, 2, -1		-2.0	-2.0	0	8	0.0	0.0	2.0	0.0
23	23	0	0	4/4	2	1	I				Eb	I		I		I							M	0	0	-3, 1, -2		-3.0	-3.0	0	8	0.0	0.0	1.0	0.0
23	23	1/8	1/8	4/4	2	1	vi				Eb	I		vi		vi							m	0	0	0, -3, 1		0.0	0.0	0	6	0.0	0.0	0.75	0.0
23	23	1/4	1/4	4/4	2	1	ii				Eb	I		ii		ii							m	0	0	-1, -4, 0		-1.0	-1.0	0	8	0.0	0.0	4.0	0.0
23	23	3/4	3/4	4/4	2	1	V				Eb	I		V		V							M	0	0	-2, 2, -1		-2.0	-2.0	0	8	0.0	0.0	2.0	0.0
24	24	0	0	4/4	2	1	I|IAC}				Eb	I		I		I					IAC	}	M	0	0	-3, 1, -2		-3.0	-3.0	0	8	0.0	0.0	1.0	0.0
