mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	2/4	2	1	D.I{					D	I		I		I						{	M	0	0	2, 6, 3		2.0	2.0	0	8	0.0	0.0	1.375	0.0
1	1	1/4	1/4	2/4	2	1	ii%2					D	I		ii%2		ii	%	2					%7	0	0	2, 4, 1, -2		4.0	2.0	0	8	0.0	0.0	1.375	0.0
2	2	0	0	2/4	2	1	I					D	I		I		I							M	0	0	2, 6, 3		2.0	2.0	0	8	0.0	0.0	1.375	0.0
2	2	1/4	1/4	2/4	2	1	ii%2					D	I		ii%2		ii	%	2					%7	0	0	2, 4, 1, -2		4.0	2.0	0	8	0.0	0.0	1.375	0.0
3	3	0	0	2/4	2	1	V2/iv					D	I		V2/iv		V		2		iv			Mm7	0	0	0, 2, 6, 3		2.0	0.0	2	8	0.2	0.125	2.375	0.05
4	4	0	0	2/4	2	1	ii%43					D	I		ii%43		ii	%	43					%7	0	0	-2, 2, 4, 1		4.0	-2.0	1	4	0.2	0.0625	0.6875	0.08333333333333333
4	4	1/8	1/8	2/4	2	1	iv				ii%65	D	I		iv		iv							m	0	0	1, -2, 2		1.0	1.0	1	2	0.3333333333333333	0.0625	0.1875	0.25
4	4	1/4	1/4	2/4	2	1	V64					D	I		V64		V		64					M	0	0	4, 3, 7		3.0	4.0	0	3	0.0	0.0	0.5	0.0
4	4	3/8	3/8	2/4	2	1	V|HC}					D	I		V		V					HC	}	M	0	0	3, 7, 4		3.0	3.0	0	2	0.0	0.0	0.25	0.0
5	5	0	0	2/4	2	1	I{					D	I		I		I						{	M	0	0	2, 6, 3		2.0	2.0	0	8	0.0	0.0	1.375	0.0
5	5	1/4	1/4	2/4	2	1	ii%2					D	I		ii%2		ii	%	2					%7	0	0	2, 4, 1, -2		4.0	2.0	0	8	0.0	0.0	1.375	0.0
6	6	0	0	2/4	2	1	I					D	I		I		I							M	0	0	2, 6, 3		2.0	2.0	0	8	0.0	0.0	1.375	0.0
6	6	1/4	1/4	2/4	2	1	ii%2					D	I		ii%2		ii	%	2					%7	0	0	2, 4, 1, -2		4.0	2.0	0	8	0.0	0.0	1.375	0.0
7	7	0	0	2/4	2	1	V2/iv					D	I		V2/iv		V		2		iv			Mm7	0	0	0, 2, 6, 3		2.0	0.0	2	8	0.2	0.125	2.375	0.05
8	8	0	0	2/4	2	1	ii%43					D	I		ii%43		ii	%	43					%7	0	0	-2, 2, 4, 1		4.0	-2.0	3	6	0.3333333333333333	0.1875	0.375	0.3333333333333333
8	8	1/4	1/4	2/4	2	1	iv}				ii%65}	D	I		iv		iv						}	m	0	0	1, -2, 2		1.0	1.0	0	2	0.0	0.0	0.25	0.0
9	9	0	0	2/4	2	1	bV.V65{					D	bV		V65		V		65				{	Mm7	0	0	1, -2, -5, -3		-3.0	1.0	0	8	0.0	0.0	1.0	0.0
9	9	1/4	1/4	2/4	2	1	I					D	bV		I		I							M	0	0	-4, 0, -3		-4.0	-4.0	0	8	0.0	0.0	1.25	0.0
10	10	0	0	2/4	2	1	bVI.V65					D	bVI		V65		V		65					Mm7	0	0	3, 0, -3, -1		-1.0	3.0	0	8	0.0	0.0	1.0	0.0
10	10	1/4	1/4	2/4	2	1	I					D	bVI		I		I							M	0	0	-2, 2, -1		-2.0	-2.0	0	8	0.0	0.0	1.25	0.0
11	11	0	0	2/4	2	1	bvii.V65					D	bvii		V65		V		65					Mm7	0	1	5, 2, -1, 1		1.0	5.0	0	9	0.0	0.0	1.375	0.0
11	11	1/4	1/4	2/4	2	1	i					D	bvii		i		i							m	0	1	0, -3, 1		0.0	0.0	0	8	0.0	0.0	1.25	0.0
12	12	0	0	2/4	2	1	V43					D	bvii		V43		V		43					Mm7	0	1	2, -1, 1, 5		1.0	2.0	0	8	0.0	0.0	1.25	0.0
12	12	1/4	1/4	2/4	2	1	i|IAC}					D	bvii		i		i					IAC	}	m	0	1	0, -3, 1		0.0	0.0	0	8	0.0	0.0	1.25	0.0
13	13	0	0	2/4	2	1	bVII.V65{					D	bVII		V65		V		65				{	Mm7	0	0	5, 2, -1, 1		1.0	5.0	0	8	0.0	0.0	1.0	0.0
13	13	1/4	1/4	2/4	2	1	I					D	bVII		I		I							M	0	0	0, 4, 1		0.0	0.0	0	8	0.0	0.0	1.25	0.0
14	14	0	0	2/4	2	1	i.V65					D	i		V65		V		65					Mm7	0	1	7, 4, 1, 3		3.0	7.0	0	8	0.0	0.0	1.0	0.0
14	14	1/4	1/4	2/4	2	1	i					D	i		i		i							m	0	1	2, -1, 3		2.0	2.0	0	8	0.0	0.0	1.25	0.0
15	15	0	0	2/4	2	1	V65					D	i		V65		V		65					Mm7	0	1	7, 4, 1, 3		3.0	7.0	0	9	0.0	0.0	1.375	0.0
15	15	1/4	1/4	2/4	2	1	i					D	i		i		i							m	0	1	2, -1, 3		2.0	2.0	0	8	0.0	0.0	1.25	0.0
16	16	0	0	2/4	2	1	V43					D	i		V43		V		43					Mm7	0	1	4, 1, 3, 7		3.0	4.0	0	8	0.0	0.0	1.25	0.0
16	16	1/4	1/4	2/4	2	1	i					D	i		i		i							m	0	1	2, -1, 3		2.0	2.0	0	8	0.0	0.0	1.25	0.0
17	17	0	0	2/4	2	1	V65					D	i		V65		V		65					Mm7	0	1	7, 4, 1, 3		3.0	7.0	0	9	0.0	0.0	1.375	0.0
17	17	1/4	1/4	2/4	2	1	i					D	i		i		i							m	0	1	2, -1, 3		2.0	2.0	0	8	0.0	0.0	1.25	0.0
18	18	0	0	2/4	2	1	ii.V65					D	ii		V65		V		65					Mm7	0	1	9, 6, 3, 5		5.0	9.0	0	8	0.0	0.0	1.25	0.0
18	18	1/4	1/4	2/4	2	1	i					D	ii		i		i							m	0	1	4, 1, 5		4.0	4.0	0	8	0.0	0.0	1.25	0.0
19	19	0	0	2/4	2	1	V65					D	ii		V65		V		65					Mm7	0	1	9, 6, 3, 5		5.0	9.0	0	9	0.0	0.0	1.375	0.0
19	19	1/4	1/4	2/4	2	1	i					D	ii		i		i							m	0	1	4, 1, 5		4.0	4.0	0	8	0.0	0.0	1.25	0.0
20	20	0	0	2/4	2	1	iii.V65					D	iii		V65		V		65					Mm7	0	1	11, 8, 5, 7		7.0	11.0	0	8	0.0	0.0	1.25	0.0
20	20	1/4	1/4	2/4	2	1	i					D	iii		i		i							m	0	1	6, 3, 7		6.0	6.0	0	8	0.0	0.0	1.25	0.0
21	21	0	0	2/4	2	1	IV.V65					D	IV		V65		V		65					Mm7	0	0	6, 3, 0, 2		2.0	6.0	0	8	0.0	0.0	1.25	0.0
21	21	1/4	1/4	2/4	2	1	I					D	IV		I		I							M	0	0	1, 5, 2		1.0	1.0	0	8	0.0	0.0	1.25	0.0
22	22	0	0	2/4	2	1	V65					D	IV		V65		V		65					Mm7	0	0	6, 3, 0, 2		2.0	6.0	0	8	0.0	0.0	1.25	0.0
22	22	1/4	1/4	2/4	2	1	I					D	IV		I		I							M	0	0	1, 5, 2		1.0	1.0	0	8	0.0	0.0	1.25	0.0
23	23	0	0	2/4	2	1	I.ii%65					D	I		ii%65		ii	%	65					%7	0	0	1, -2, 2, 4		4.0	1.0	4	20	0.16666666666666666	0.25	1.75	0.125
25	25	1/4	1/4	2/4	2	1	Fr65					D	I		Fr65	Fr	V		65	b5	V			Fr	0	0	8, -2, 2, 4		4.0	8.0	1	5	0.16666666666666666	0.0625	0.6875	0.08333333333333333
26	26	0	0	2/4	2	1	V(4)					D	I		V(4)		V			4				M	0	0	3, 2, 4		3.0	3.0	0	3	0.0	0.0	0.375	0.0
26	26	1/8	1/8	2/4	2	1	V7					D	I		V7		V		7					Mm7	0	0	3, 7, 4, 1		3.0	3.0	0	5	0.0	0.0	0.625	0.0
26	26	1/4	1/4	2/4	2	1	I|PAC}					D	I		I		I					PAC	}	M	0	0	2, 6, 3		2.0	2.0	0	5	0.0	0.0	0.625	0.0
27	27	0	0	2/4	2	1	vi.i{					D	vi		i		i						{	m	0	1	5, 2, 6		5.0	5.0	3	6	0.3333333333333333	0.25	0.625	0.2857142857142857
28	28	0	0	2/4	2	1	V					D	vi		V		V							M	0	1	6, 10, 7		6.0	6.0	2	6	0.25	0.125	0.75	0.14285714285714285
28	28	1/4	1/4	2/4	2	1	i					D	vi		i		i							m	0	1	5, 2, 6		5.0	5.0	0	5	0.0	0.0	0.75	0.0
29	29	0	0	2/4	2	1	ii%2					D	vi		ii%2		ii	%	2					%7	0	1	5, 7, 4, 1		7.0	5.0	0	8	0.0	0.0	1.0	0.0
29	29	1/4	1/4	2/4	2	1	i					D	vi		i		i							m	0	1	5, 2, 6		5.0	5.0	0	8	0.0	0.0	1.0	0.0
30	30	0	0	2/4	2	1	iv64					D	vi		iv64		iv		64					m	0	1	5, 4, 1		4.0	5.0	0	9	0.0	0.0	1.125	0.0
30	30	1/4	1/4	2/4	2	1	i|PC}					D	vi		i		i					PC	}	m	0	1	5, 2, 6		5.0	5.0	3	15	0.16666666666666666	0.25	1.75	0.125
32	32	0	0	2/4	2	1	V					D	vi		V		V							M	0	1	6, 10, 7		6.0	6.0	2	6	0.25	0.125	0.75	0.14285714285714285
32	32	1/4	1/4	2/4	2	1	i					D	vi		i		i							m	0	1	5, 2, 6		5.0	5.0	0	5	0.0	0.0	0.75	0.0
33	33	0	0	2/4	2	1	ii%2					D	vi		ii%2		ii	%	2					%7	0	1	5, 7, 4, 1		7.0	5.0	0	8	0.0	0.0	1.0	0.0
33	33	1/4	1/4	2/4	2	1	i					D	vi		i		i							m	0	1	5, 2, 6		5.0	5.0	0	8	0.0	0.0	1.0	0.0
34	34	0	0	2/4	2	1	iv64					D	vi		iv64		iv		64					m	0	1	5, 4, 1		4.0	5.0	0	9	0.0	0.0	1.125	0.0
34	34	1/4	1/4	2/4	2	1	i|PC}					D	vi		i		i					PC	}	m	0	1	5, 2, 6		5.0	5.0	6	23	0.20689655172413793	0.625	3.25	0.16129032258064516
37	37	0	0	2/4	2	1	V.viio2				iio64	D	V		viio2		vii	o	2					o7	0	0	-1, 8, 5, 2		8.0	-1.0	2	5	0.2857142857142857	0.125	0.875	0.125
37	37	1/4	1/4	2/4	2	1	V7(#2)					D	V		V7(#2)		V		7	#2				Mm7	0	0	4, 13, 5, 2		4.0	4.0	0	2	0.0	0.0	0.375	0.0
37	37	3/8	3/8	2/4	2	1	V7					D	V		V7		V		7					Mm7	0	0	4, 8, 5, 2		4.0	4.0	0	3	0.0	0.0	0.375	0.0
38	38	0	0	2/4	2	1	V2(6)					D	V		V2(6)		V		2	6				Mm7	0	0	2, 4, 8, 7		4.0	2.0	0	2	0.0	0.0	0.375	0.0
38	38	1/8	1/8	2/4	2	1	V2					D	V		V2		V		2					Mm7	0	0	2, 4, 8, 5		4.0	2.0	0	4	0.0	0.0	0.5	0.0
38	38	1/4	1/4	2/4	2	1	I6(#4)}					D	V		I6(#4)		I		6	#4			}	M	0	0	7, 9, 3		3.0	7.0	0	2	0.0	0.0	0.375	0.0
38	38	3/8	3/8	2/4	2	1	I6					D	V		I6		I		6					M	0	0	7, 4, 3		3.0	7.0	7	17	0.2916666666666667	0.75	2.5	0.23076923076923078
41	41	0	0	2/4	2	1	vi.#viio2				iio64	D	vi		#viio2		#vii	o	2					o7	0	1	1, 10, 7, 4		10.0	1.0	2	5	0.2857142857142857	0.125	0.875	0.125
41	41	1/4	1/4	2/4	2	1	V7(#2)					D	vi		V7(#2)		V		7	#2				Mm7	0	1	6, 8, 7, 4		6.0	6.0	1	1	0.5	0.125	0.25	0.3333333333333333
41	41	3/8	3/8	2/4	2	1	V7					D	vi		V7		V		7					Mm7	0	1	6, 10, 7, 4		6.0	6.0	0	3	0.0	0.0	0.375	0.0
42	42	0	0	2/4	2	1	V2(6)					D	vi		V2(6)		V		2	6				Mm7	0	1	4, 6, 10, 2		6.0	4.0	0	2	0.0	0.0	0.375	0.0
42	42	1/8	1/8	2/4	2	1	V2					D	vi		V2		V		2					Mm7	0	1	4, 6, 10, 7		6.0	4.0	0	4	0.0	0.0	0.5	0.0
42	42	1/4	1/4	2/4	2	1	i6(#4)}					D	vi		i6(#4)		i		6	#4			}	m	0	1	2, 11, 5		5.0	2.0	0	2	0.0	0.0	0.375	0.0
42	42	3/8	3/8	2/4	2	1	i6					D	vi		i6		i		6					m	0	1	2, 6, 5		5.0	2.0	0	4	0.0	0.0	0.5	0.0
43	43	0	0	2/4	2	1	i{					D	vi		i		i						{	m	0	1	5, 2, 6		5.0	5.0	4	6	0.4	0.25	0.5	0.3333333333333333
43	43	3/8	3/8	2/4	2	1	VI					D	vi		VI		VI							M	0	1	1, 5, 2		1.0	1.0	0	8	0.0	0.0	1.0	0.0
44	44	0	0	2/4	2	1	viio/V				V6/V	D	vi		viio/V		vii	o			V			o	0	1	11, 8, 5		11.0	11.0	0	6	0.0	0.0	1.0	0.0
44	44	1/4	1/4	2/4	2	1	V					D	vi		V		V							M	0	1	6, 10, 7		6.0	6.0	0	6	0.0	0.0	1.0	0.0
45	45	0	0	2/4	2	1	i					D	vi		i		i							m	0	1	5, 2, 6		5.0	5.0	4	6	0.4	0.25	0.5	0.3333333333333333
45	45	3/8	3/8	2/4	2	1	VI					D	vi		VI		VI							M	0	1	1, 5, 2		1.0	1.0	0	8	0.0	0.0	1.0	0.0
46	46	0	0	2/4	2	1	viio/V				V6/V	D	vi		viio/V		vii	o			V			o	0	1	11, 8, 5		11.0	11.0	0	6	0.0	0.0	1.0	0.0
46	46	1/4	1/4	2/4	2	1	V}					D	vi		V		V						}	M	0	1	6, 10, 7		6.0	6.0	0	6	0.0	0.0	1.0	0.0
47	47	0	0	2/4	2	1	I.I{					D	I		I		I						{	M	0	0	2, 6, 3		2.0	2.0	4	6	0.4	0.25	0.5	0.3333333333333333
47	47	3/8	3/8	2/4	2	1	bVI					D	I		bVI		bVI							M	0	0	-2, 2, -1		-2.0	-2.0	0	8	0.0	0.0	1.0	0.0
48	48	0	0	2/4	2	1	viio/V				V6/V	D	I		viio/V		vii	o			V			o	0	0	8, 5, 2		8.0	8.0	0	6	0.0	0.0	1.0	0.0
48	48	1/4	1/4	2/4	2	1	V					D	I		V		V							M	0	0	3, 7, 4		3.0	3.0	0	6	0.0	0.0	1.0	0.0
49	49	0	0	2/4	2	1	I					D	I		I		I							M	0	0	2, 6, 3		2.0	2.0	4	6	0.4	0.25	0.5	0.3333333333333333
49	49	3/8	3/8	2/4	2	1	bVI					D	I		bVI		bVI							M	0	0	-2, 2, -1		-2.0	-2.0	0	8	0.0	0.0	1.0	0.0
50	50	0	0	2/4	2	1	viio/V				V6/V	D	I		viio/V		vii	o			V			o	0	0	8, 5, 2		8.0	8.0	0	6	0.0	0.0	1.0	0.0
50	50	1/4	1/4	2/4	2	1	V					D	I		V		V							M	0	0	3, 7, 4		3.0	3.0	0	6	0.0	0.0	1.0	0.0
51	51	0	0	2/4	2	1	viio/V				V6/V	D	I		viio/V		vii	o			V			o	0	0	8, 5, 2		8.0	8.0	0	6	0.0	0.0	1.0	0.0
51	51	1/4	1/4	2/4	2	1	V					D	I		V		V							M	0	0	3, 7, 4		3.0	3.0	0	6	0.0	0.0	1.0	0.0
52	52	0	0	2/4	2	1	ii%43					D	I		ii%43		ii	%	43					%7	0	0	-2, 2, 4, 1		4.0	-2.0	0	30	0.0	0.0	5.0	0.0
54	54	1/4	1/4	2/4	2	1	V|HC}					D	I		V		V					HC	}	M	0	0	3, 7, 4		3.0	3.0	16	22	0.42105263157894735	1.0	2.0	0.3333333333333333
59	59	0	0	2/4	2	1	I{					D	I		I		I						{	M	0	0	2, 6, 3		2.0	2.0	0	8	0.0	0.0	1.375	0.0
59	59	1/4	1/4	2/4	2	1	ii%2					D	I		ii%2		ii	%	2					%7	0	0	2, 4, 1, -2		4.0	2.0	0	8	0.0	0.0	1.375	0.0
60	60	0	0	2/4	2	1	I					D	I		I		I							M	0	0	2, 6, 3		2.0	2.0	0	8	0.0	0.0	1.375	0.0
60	60	1/4	1/4	2/4	2	1	ii%2					D	I		ii%2		ii	%	2					%7	0	0	2, 4, 1, -2		4.0	2.0	0	8	0.0	0.0	1.375	0.0
61	61	0	0	2/4	2	1	V2/iv					D	I		V2/iv		V		2		iv			Mm7	0	0	0, 2, 6, 3		2.0	0.0	2	8	0.2	0.125	2.375	0.05
62	62	0	0	2/4	2	1	ii%43					D	I		ii%43		ii	%	43					%7	0	0	-2, 2, 4, 1		4.0	-2.0	1	4	0.2	0.0625	0.6875	0.08333333333333333
62	62	1/8	1/8	2/4	2	1	iv				ii%65	D	I		iv		iv							m	0	0	1, -2, 2		1.0	1.0	1	2	0.3333333333333333	0.0625	0.1875	0.25
62	62	1/4	1/4	2/4	2	1	V64					D	I		V64		V		64					M	0	0	4, 3, 7		3.0	4.0	0	3	0.0	0.0	0.5	0.0
62	62	3/8	3/8	2/4	2	1	V|HC}					D	I		V		V					HC	}	M	0	0	3, 7, 4		3.0	3.0	0	2	0.0	0.0	0.25	0.0
63	63	0	0	2/4	2	1	I{					D	I		I		I						{	M	0	0	2, 6, 3		2.0	2.0	0	8	0.0	0.0	1.375	0.0
63	63	1/4	1/4	2/4	2	1	ii%2					D	I		ii%2		ii	%	2					%7	0	0	2, 4, 1, -2		4.0	2.0	0	8	0.0	0.0	1.375	0.0
64	64	0	0	2/4	2	1	I					D	I		I		I							M	0	0	2, 6, 3		2.0	2.0	0	8	0.0	0.0	1.375	0.0
64	64	1/4	1/4	2/4	2	1	ii%2					D	I		ii%2		ii	%	2					%7	0	0	2, 4, 1, -2		4.0	2.0	0	8	0.0	0.0	1.375	0.0
65	65	0	0	2/4	2	1	V2/iv					D	I		V2/iv		V		2		iv			Mm7	0	0	0, 2, 6, 3		2.0	0.0	2	8	0.2	0.125	2.375	0.05
66	66	0	0	2/4	2	1	ii%43					D	I		ii%43		ii	%	43					%7	0	0	-2, 2, 4, 1		4.0	-2.0	3	6	0.3333333333333333	0.1875	0.375	0.3333333333333333
66	66	1/4	1/4	2/4	2	1	iv}				ii%65}	D	I		iv		iv						}	m	0	0	1, -2, 2		1.0	1.0	0	2	0.0	0.0	0.25	0.0
67	67	0	0	2/4	2	1	bV.V65{					D	bV		V65		V		65				{	Mm7	0	0	1, -2, -5, -3		-3.0	1.0	0	8	0.0	0.0	1.0	0.0
67	67	1/4	1/4	2/4	2	1	I					D	bV		I		I							M	0	0	-4, 0, -3		-4.0	-4.0	0	8	0.0	0.0	1.25	0.0
68	68	0	0	2/4	2	1	bVI.V65					D	bVI		V65		V		65					Mm7	0	0	3, 0, -3, -1		-1.0	3.0	0	8	0.0	0.0	1.0	0.0
68	68	1/4	1/4	2/4	2	1	I					D	bVI		I		I							M	0	0	-2, 2, -1		-2.0	-2.0	0	8	0.0	0.0	1.25	0.0
69	69	0	0	2/4	2	1	bvii.V65					D	bvii		V65		V		65					Mm7	0	1	5, 2, -1, 1		1.0	5.0	0	9	0.0	0.0	1.5	0.0
69	69	1/4	1/4	2/4	2	1	i					D	bvii		i		i							m	0	1	0, -3, 1		0.0	0.0	0	8	0.0	0.0	1.375	0.0
70	70	0	0	2/4	2	1	V43					D	bvii		V43		V		43					Mm7	0	1	2, -1, 1, 5		1.0	2.0	0	8	0.0	0.0	1.375	0.0
70	70	1/4	1/4	2/4	2	1	i|IAC}					D	bvii		i		i					IAC	}	m	0	1	0, -3, 1		0.0	0.0	1	7	0.125	0.125	1.25	0.09090909090909091
71	71	0	0	2/4	2	1	bVII.V65{					D	bVII		V65		V		65				{	Mm7	0	0	5, 2, -1, 1		1.0	5.0	0	8	0.0	0.0	1.0	0.0
71	71	1/4	1/4	2/4	2	1	I					D	bVII		I		I							M	0	0	0, 4, 1		0.0	0.0	0	8	0.0	0.0	1.25	0.0
72	72	0	0	2/4	2	1	i.V65					D	i		V65		V		65					Mm7	0	1	7, 4, 1, 3		3.0	7.0	0	8	0.0	0.0	1.0	0.0
72	72	1/4	1/4	2/4	2	1	i					D	i		i		i							m	0	1	2, -1, 3		2.0	2.0	0	8	0.0	0.0	1.25	0.0
