mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	5/8	6/8	2	1	Bb.I{					Bb	I		I		I						{	M	0	0	-2, 2, -1		-2	-2	2	17	0.10526315789473684	0.625	2.125	0.22727272727272727
3	2	0	0	6/8	2	1	V65(6)					Bb	I		V65(6)		V		65	6				Mm7	0	0	3, 2, -3, -1		-1	3	0	7	0.0	0.0	1.125	0.0
3	2	3/8	3/8	6/8	2	1	V65					Bb	I		V65		V		65					Mm7	0	0	3, 0, -3, -1		-1	3	0	8	0.0	0.0	1.125	0.0
4	3	0	0	6/8	2	1	#viio2/ii					Bb	I		#viio2/ii		#vii	o	2		ii			o7	0	0	-4, 5, 2, -1		5	-4	1	14	0.06666666666666667	0.25	2.0	0.1111111111111111
5	4	0	0	6/8	2	1	ii64(4)					Bb	I		ii64(4)		ii		64	4				m	0	0	1, 0, -1		0	1	2	5	0.2857142857142857	0.25	0.875	0.2222222222222222
5	4	3/8	3/8	6/8	2	1	ii64					Bb	I		ii64		ii		64					m	0	0	1, 0, -3		0	1	0	8	0.0	0.0	1.125	0.0
6	5	0	0	6/8	2	1	iii.V2					Bb	iii		V2		V		2					Mm7	0	1	1, 3, 7, 4		3	1	0	9	0.0	0.0	1.375	0.0
6	5	3/8	3/8	6/8	2	1	V2(9)					Bb	iii		V2(9)		V		2	9				Mm7	0	1	1, 3, 7, 4	-2	3	1	0	9	0.0	0.0	1.25	0.0
6	5	5/8	5/8	6/8	2	1	V2					Bb	iii		V2		V		2					Mm7	0	1	1, 3, 7, 4		3	1	0	1	0.0	0.0	0.125	0.0
7	6	0	0	6/8	2	1	i6					Bb	iii		i6		i		6					m	0	1	-1, 3, 2		2	-1	0	7	0.0	0.0	1.125	0.0
7	6	3/8	3/8	6/8	2	1	i6(13)					Bb	iii		i6(13)		i		6	13				m	0	1	-1, 3, 2	-2	2	-1	0	7	0.0	0.0	1.0	0.0
7	6	5/8	5/8	6/8	2	1	i6					Bb	iii		i6		i		6					m	0	1	-1, 3, 2		2	-1	0	1	0.0	0.0	0.125	0.0
8	7	0	0	6/8	2	1	V43					Bb	iii		V43		V		43					Mm7	0	1	4, 1, 3, 7		3	4	0	9	0.0	0.0	1.375	0.0
8	7	3/8	3/8	6/8	2	1	V43(9)					Bb	iii		V43(9)		V		43	9				Mm7	0	1	4, 1, 3, 7	-2	3	4	0	9	0.0	0.0	1.25	0.0
