mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	1	0a	0	0	3.5	0	5/8	6/8	2	1	Bb.I{	Bb	I		I		I						{	M	0	0	0, 4, 1		0	0
3	2	3	2a	7/2	7/2	1.5	0	0	6/8	2	1	V65(6)	Bb	I		V65(6)		V		65	6				Mm7	0	0	5, 4, -1, 1		1	5
3	2	3	2a	5	5	1.5	3/8	3/8	6/8	2	1	V65	Bb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
4	3	4	3a	13/2	13/2	3.0	0	0	6/8	2	1	#viio2/ii	Bb	I		#viio2/ii		#vii	o	2		ii			o7	0	0	-2, 7, 4, 1		7	-2
5	4	5	4a	19/2	19/2	1.5	0	0	6/8	2	1	ii64(4)	Bb	I		ii64(4)		ii		64	4				m	0	0	3, 2, 1		2	3
5	4	5	4a	11	11	1.5	3/8	3/8	6/8	2	1	ii64	Bb	I		ii64		ii		64					m	0	0	3, 2, -1		2	3
6	5	6	5a	25/2	25/2	1.5	0	0	6/8	2	1	iii.V2	Bb	iii		V2		V		2					Mm7	0	1	-1, 1, 5, 2		1	-1
6	5	6	5a	14	14	1.0	3/8	3/8	6/8	2	1	V2(9)	Bb	iii		V2(9)		V		2	9				Mm7	0	1	-1, 1, 5, 2	-4	1	-1
6	5	6	5a	15	15	0.5	5/8	5/8	6/8	2	1	V2	Bb	iii		V2		V		2					Mm7	0	1	-1, 1, 5, 2		1	-1
7	6	7	6a	31/2	31/2	1.5	0	0	6/8	2	1	i6	Bb	iii		i6		i		6					m	0	1	-3, 1, 0		0	-3
7	6	7	6a	17	17	1.0	3/8	3/8	6/8	2	1	i6(13)	Bb	iii		i6(13)		i		6	13				m	0	1	-3, 1, 0	-4	0	-3
7	6	7	6a	18	18	0.5	5/8	5/8	6/8	2	1	i6	Bb	iii		i6		i		6					m	0	1	-3, 1, 0		0	-3
8	7	8	7a	37/2	37/2	1.5	0	0	6/8	2	1	V43	Bb	iii		V43		V		43					Mm7	0	1	2, -1, 1, 5		1	2
8	7	8	7a	20	20	1.0	3/8	3/8	6/8	2	1	V43(9)	Bb	iii		V43(9)		V		43	9				Mm7	0	1	2, -1, 1, 5	-4	1	2
8	7	8	7a	21	21	0.5	5/8	5/8	6/8	2	1	V43	Bb	iii		V43		V		43					Mm7	0	1	2, -1, 1, 5		1	2
9	8	9	8a	43/2	43/2	3.0	0	0	6/8	2	1	i|IAC}	Bb	iii		i		i					IAC	}	m	0	1	0, -3, 1		0	0
9	8	9	8a	24	24	0.0	5/8	5/8	6/8	2	1	{	Bb	iii										{		0	1				
10	9	10	9a	49/2	49/2	1.5	0	0	6/8	2	1	I.V43(9)	Bb	I		V43(9)		V		43	9				Mm7	0	0	2, -1, 1, 5	3	1	2
10	9	10	9a	26	26	1.5	3/8	3/8	6/8	2	1	V43	Bb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
11	10	11	10a	55/2	55/2	1.5	0	0	6/8	2	1	I(6)	Bb	I		I(6)		I			6				M	0	0	0, 4, 3		0	0
11	10	11	10a	29	29	1.5	3/8	3/8	6/8	2	1	I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
12	11	12	11a	61/2	61/2	1.5	0	0	6/8	2	1	V43(9)/ii	Bb	I		V43(9)/ii		V		43	9	ii			Mm7	0	0	4, 1, 3, 7	-2	3	4
12	11	12	11a	32	32	1.5	3/8	3/8	6/8	2	1	V43/ii	Bb	I		V43/ii		V		43		ii			Mm7	0	0	4, 1, 3, 7		3	4
13	12	13	12a	67/2	67/2	1.5	0	0	6/8	2	1	ii(b6)	Bb	I		ii(b6)		ii			b6				m	0	0	2, -1, -2		2	2
13	12	13	12a	35	35	1.5	3/8	3/8	6/8	2	1	ii	Bb	I		ii		ii							m	0	0	2, -1, 3		2	2
14	13	14	13a	73/2	73/2	1.5	0	0	6/8	2	1	viio65/V	Bb	I		viio65/V		vii	o	65		V			o7	0	0	3, 0, -3, 6		6	3
14	13	14	13a	38	38	1.0	3/8	3/8	6/8	2	1	viio65(6)/V	Bb	I		viio65(6)/V		vii	o	65	6	V			o7	0	0	3, 2, -3, 6		6	3
14	13	14	13a	39	39	0.5	5/8	5/8	6/8	2	1	viio65/V	Bb	I		viio65/V		vii	o	65		V			o7	0	0	3, 0, -3, 6		6	3
15	14	15	14a	79/2	79/2	1.5	0	0	6/8	2	1	V(64)	Bb	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
15	14	15	14a	41	41	1.0	3/8	3/8	6/8	2	1	V(116)	Bb	I		V(116)		V			116				M	0	0	1, 5, 4	0	1	1
15	14	15	14a	42	42	0.5	5/8	5/8	6/8	2	1	V(964)	Bb	I		V(964)		V			964				M	0	0	1, 0, 4	3	1	1
16	15	16	15a	85/2	85/2	1.0	0	0	6/8	2	1	V7(#2)	Bb	I		V7(#2)		V		7	#2				Mm7	0	0	1, 10, 2, -1		1	1
16	15	16	15a	87/2	87/2	0.5	1/4	1/4	6/8	2	1	V7	Bb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
16	15	16	15a	44	44	1.5	3/8	3/8	6/8	2	1	vi.V6	Bb	vi		V6		V		6					M	0	1	5, 2, 1		1	5
17	16	17	16a	91/2	91/2	1.5	0	0	6/8	2	1	i(9)}	Bb	vi		i(9)		i			9			}	m	0	1	0, -3, 1	2	0	0
17	16	17	16a	47	47	1.5	3/8	3/8	6/8	2	1	i|IAC	Bb	vi		i		i					IAC		m	0	1	0, -3, 1		0	0
17	16	17	16a	48	48	0.0	5/8	5/8	6/8	2	1	{	Bb	vi										{		0	1				
18	17	18	17a	97/2	97/2	1.5	0	0	6/8	2	1	I.V43(9)	Bb	I		V43(9)		V		43	9				Mm7	0	0	2, -1, 1, 5	3	1	2
18	17	18	17a	50	50	1.5	3/8	3/8	6/8	2	1	V43	Bb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
19	18	19	18a	103/2	103/2	1.5	0	0	6/8	2	1	I(6)	Bb	I		I(6)		I			6				M	0	0	0, 4, 3		0	0
19	18	19	18a	53	53	1.5	3/8	3/8	6/8	2	1	I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
20	19	20	19a	109/2	109/2	1.5	0	0	6/8	2	1	V43(9)/ii	Bb	I		V43(9)/ii		V		43	9	ii			Mm7	0	0	4, 1, 3, 7	-2	3	4
20	19	20	19a	56	56	1.5	3/8	3/8	6/8	2	1	V43/ii	Bb	I		V43/ii		V		43		ii			Mm7	0	0	4, 1, 3, 7		3	4
21	20	21	20a	115/2	115/2	1.5	0	0	6/8	2	1	ii(b6)	Bb	I		ii(b6)		ii			b6				m	0	0	2, -1, -2		2	2
21	20	21	20a	59	59	1.5	3/8	3/8	6/8	2	1	ii	Bb	I		ii		ii							m	0	0	2, -1, 3		2	2
22	21	22	21a	121/2	121/2	1.5	0	0	6/8	2	1	viio65/V	Bb	I		viio65/V		vii	o	65		V			o7	0	0	3, 0, -3, 6		6	3
22	21	22	21a	62	62	1.0	3/8	3/8	6/8	2	1	viio65(6)/V	Bb	I		viio65(6)/V		vii	o	65	6	V			o7	0	0	3, 2, -3, 6		6	3
22	21	22	21a	63	63	0.5	5/8	5/8	6/8	2	1	viio65/V	Bb	I		viio65/V		vii	o	65		V			o7	0	0	3, 0, -3, 6		6	3
23	22	23	22a	127/2	127/2	1.5	0	0	6/8	2	1	V(64)	Bb	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
23	22	23	22a	65	65	1.0	3/8	3/8	6/8	2	1	V(116)	Bb	I		V(116)		V			116				M	0	0	1, 5, 4	0	1	1
23	22	23	22a	66	66	0.5	5/8	5/8	6/8	2	1	V(964)	Bb	I		V(964)		V			964				M	0	0	1, 0, 4	3	1	1
24	23	24	23a	133/2	133/2	1.0	0	0	6/8	2	1	viio43(#7)	Bb	I		viio43(#7)		vii	o	43	#7				o7	0	0	-1, -4, 3, 2		5	-1
24	23	24	23a	135/2	135/2	0.5	1/4	1/4	6/8	2	1	viio43	Bb	I		viio43		vii	o	43					o7	0	0	-1, -4, 5, 2		5	-1
24	23	24	23a	68	68	1.0	3/8	3/8	6/8	2	1	V7(6)	Bb	I		V7(6)		V		7	6				Mm7	0	0	1, 5, 4, -1		1	1
24	23	24	23a	69	69	0.5	5/8	5/8	6/8	2	1	V7	Bb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
25	24	25	24a	139/2	139/2	1.5	0	0	6/8	2	1	I(97b64)}	Bb	I		I(97b64)		I			97b64			}	M	0	0	0, -1, -4	2, 5	0	0
25	24	25	24a	71	71	0.5	3/8	3/8	6/8	2	1	I(4)	Bb	I		I(4)		I			4				M	0	0	0, -1, 1		0	0
25	24	25	24a	143/2	143/2	0.5	1/2	1/2	6/8	2	1	I(#2)	Bb	I		I(#2)		I			#2				M	0	0	0, 9, 1		0	0
25	24	25	24a	72	72	0.5	5/8	5/8	6/8	2	1	I|PAC	Bb	I		I		I					PAC		M	0	0	0, 4, 1		0	0
26	25	26	25a	145/2	145/2	1.5	0	0	6/8	2	1	iii.iv7{	Bb	iii		iv7		iv		7				{	mm7	0	1	-1, -4, 0, -3		-1	-1
26	25	26	25a	74	74	1.0	3/8	3/8	6/8	2	1	V7(6)	Bb	iii		V7(6)		V		7	6				Mm7	0	1	1, 5, -3, -1		1	1
26	25	26	25a	75	75	0.5	5/8	5/8	6/8	2	1	V7	Bb	iii		V7		V		7					Mm7	0	1	1, 5, 2, -1		1	1
27	26	27	26a	151/2	151/2	3.0	0	0	6/8	2	1	i}	Bb	iii		i		i						}	m	0	1	0, -3, 1		0	0
28	27	28	27a	157/2	157/2	1.5	0	0	6/8	2	1	iv7{	Bb	iii		iv7		iv		7				{	mm7	0	1	-1, -4, 0, -3		-1	-1
28	27	28	27a	80	80	1.0	3/8	3/8	6/8	2	1	V7(6)	Bb	iii		V7(6)		V		7	6				Mm7	0	1	1, 5, -3, -1		1	1
