mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1	1a	0	0	3.0	0	0	3/4	2	1	Ab.I{		Ab	I		I		I						{	M	0	0	0, 4, 1		0	0
2	2	2	2a	3	3	2.0	0	0	3/4	2	1	I64(9)		Ab	I		I64(9)		I		64	9				M	0	0	1, 0, 4	2	0	1
2	2	2	2a	5	5	1.0	1/2	1/2	3/4	2	1	I64		Ab	I		I64		I		64					M	0	0	1, 0, 4		0	1
3	3	3	3a	6	6	3.0	0	0	3/4	2	1	V43		Ab	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
4	4	4	4a	9	9	2.0	0	0	3/4	2	1	V7(6)		Ab	I		V7(6)		V		7	6				Mm7	0	0	1, 5, 4, -1		1	1
4	4	4	4a	11	11	1.0	1/2	1/2	3/4	2	1	V7		Ab	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
5	5	5	5a	12	12	3.0	0	0	3/4	2	1	I		Ab	I		I		I							M	0	0	0, 4, 1		0	0
6	6	6	6a	15	15	2.0	0	0	3/4	2	1	V43(+4)/IV		Ab	I		V43(+4)/IV		V		43	+4	IV			Mm7	0	0	1, -2, 0, 4	-1	0	1
6	6	6	6a	17	17	1.0	1/2	1/2	3/4	2	1	V43/IV		Ab	I		V43/IV		V		43		IV			Mm7	0	0	1, -2, 0, 4		0	1
7	7	7	7a	18	18	1.0	0	0	3/4	2	1	I(6#4#2)	IV64	Ab	I		I(6#4#2)		I			6#4#2				M	0	0	0, 9, 6, 3		0	0
7	7	7	7a	19	19	1.0	1/4	1/4	3/4	2	1	I(+76#4#2)		Ab	I		I(+76#4#2)		I			+76#4#2				M	0	0	0, 9, 6, 3	5	0	0
7	7	7	7a	20	20	1.0	1/2	1/2	3/4	2	1	I(6#4#2)		Ab	I		I(6#4#2)		I			6#4#2				M	0	0	0, 9, 6, 3		0	0
8	8	8	8a	21	21	3.0	0	0	3/4	2	1	I}		Ab	I		I		I						}	M	0	0	0, 4, 1		0	0
9	9	9	9a	24	24	3.0	0	0	3/4	2	1	V65(b9)/ii{		Ab	I		V65(b9)/ii		V		65	b9	ii		{	Mm7	0	0	7, 4, 1, 3	-9	3	7
10	10	10	10a	27	27	3.0	0	0	3/4	2	1	ii		Ab	I		ii		ii							m	0	0	2, -1, 3		2	2
11	11	11	11a	30	30	3.0	0	0	3/4	2	1	V65(b9)		Ab	I		V65(b9)		V		65	b9				Mm7	0	0	5, 2, -1, 1	-4	1	5
12	12	12	12a	33	33	3.0	0	0	3/4	2	1	I		Ab	I		I		I							M	0	0	0, 4, 1		0	0
13	13	13	13a	36	36	3.0	0	0	3/4	2	1	V2/IV		Ab	I		V2/IV		V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
14	14	14	14a	39	39	2.0	0	0	3/4	2	1	vi(9)		Ab	I		vi(9)		vi			9				m	0	0	3, 0, 4	5	3	3
14	14	14	14a	41	41	1.0	1/2	1/2	3/4	2	1	vi		Ab	I		vi		vi							m	0	0	3, 0, 4		3	3
15	15	15	15a	42	42	3.0	0	0	3/4	2	1	Fr6		Ab	I		Fr6	Fr	V		43	b5	V			Fr	0	0	-4, 0, 2, 6		2	-4
16	16	16	16a	45	45	3.0	0	0	3/4	2	1	V7|HC}		Ab	I		V7		V		7			HC	}	Mm7	0	0	1, 5, 2, -1		1	1
17	17	17	17a	48	48	3.0	0	0	3/4	2	1	I{		Ab	I		I		I						{	M	0	0	0, 4, 1		0	0
18	18	18	18a	51	51	2.0	0	0	3/4	2	1	I64(9)		Ab	I		I64(9)		I		64	9				M	0	0	1, 0, 4	2	0	1
18	18	18	18a	53	53	1.0	1/2	1/2	3/4	2	1	I64		Ab	I		I64		I		64					M	0	0	1, 0, 4		0	1
19	19	19	19a	54	54	3.0	0	0	3/4	2	1	V43		Ab	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
20	20	20	20a	57	57	2.0	0	0	3/4	2	1	V7(6)		Ab	I		V7(6)		V		7	6				Mm7	0	0	1, 5, 4, -1		1	1
20	20	20	20a	59	59	1.0	1/2	1/2	3/4	2	1	V7		Ab	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
21	21	21	21a	60	60	3.0	0	0	3/4	2	1	I		Ab	I		I		I							M	0	0	0, 4, 1		0	0
22	22	22	22a	63	63	2.0	0	0	3/4	2	1	V43(+4)/IV		Ab	I		V43(+4)/IV		V		43	+4	IV			Mm7	0	0	1, -2, 0, 4	-1	0	1
22	22	22	22a	65	65	1.0	1/2	1/2	3/4	2	1	V43/IV		Ab	I		V43/IV		V		43		IV			Mm7	0	0	1, -2, 0, 4		0	1
23	23	23	23a	66	66	1.0	0	0	3/4	2	1	I(6#4#2)	IV64	Ab	I		I(6#4#2)		I			6#4#2				M	0	0	0, 9, 6, 3		0	0
23	23	23	23a	67	67	1.0	1/4	1/4	3/4	2	1	I(+76#4#2)		Ab	I		I(+76#4#2)		I			+76#4#2				M	0	0	0, 9, 6, 3	5	0	0
23	23	23	23a	68	68	1.0	1/2	1/2	3/4	2	1	I(6#4#2)		Ab	I		I(6#4#2)		I			6#4#2				M	0	0	0, 9, 6, 3		0	0
24	24	24	24a	69	69	3.0	0	0	3/4	2	1	I}		Ab	I		I		I						}	M	0	0	0, 4, 1		0	0
25	25	25	25a	72	72	3.0	0	0	3/4	2	1	V65(b9)/ii{		Ab	I		V65(b9)/ii		V		65	b9	ii		{	Mm7	0	0	7, 4, 1, 3	-9	3	7
26	26	26	26a	75	75	3.0	0	0	3/4	2	1	ii		Ab	I		ii		ii							m	0	0	2, -1, 3		2	2
27	27	27	27a	78	78	3.0	0	0	3/4	2	1	III.V65(b9)		Ab	III		V65(b9)		V		65	b9				Mm7	0	0	5, 2, -1, 1	-4	1	5
28	28	28	28a	81	81	4.0	0	0	3/4	2	1	I[I		Ab	III	I	I		I							M	0	0	0, 4, 1		0	0
29	29	29	29a	85	85	2.0	1/4	1/4	3/4	2	1	Fr6	I(b6#42)	Ab	III	I	Fr6	Fr	V		43	b5	V			Fr	0	0	-4, 0, 2, 6		2	-4
30	30	30	30a	87	87	4.0	0	0	3/4	2	1	I		Ab	III	I	I		I							M	0	0	0, 4, 1		0	0
31	31	31	31a	91	91	2.0	1/4	1/4	3/4	2	1	viio43		Ab	III	I	viio43		vii	o	43					o7	0	0	-1, -4, 5, 2		5	-1
32	32	32	32a	93	93	4.0	0	0	3/4	2	1	I		Ab	III	I	I		I							M	0	0	0, 4, 1		0	0
33	33	33	33a	97	97	2.0	1/4	1/4	3/4	2	1	Fr6	I(b6#42)	Ab	III	I	Fr6	Fr	V		43	b5	V			Fr	0	0	-4, 0, 2, 6		2	-4
34	34	34	34a	99	99	3.0	0	0	3/4	2	1	I		Ab	III	I	I		I							M	0	0	0, 4, 1		0	0
35	35	35	35a	102	102	3.0	0	0	3/4	2	1	viio43		Ab	III	I	viio43		vii	o	43					o7	0	0	-1, -4, 5, 2		5	-1
36	36	36	36a	105	105	12.0	0	0	3/4	2	1	I]|IAC}		Ab	III	I	I		I					IAC	}	M	0	0	0, 4, 1		0	0
40	40	40	40a	117	117	3.0	0	0	3/4	2	1	I.ii{		Ab	I		ii		ii						{	m	0	0	2, -1, 3		2	2
41	41	41	41a	120	120	3.0	0	0	3/4	2	1	ii2		Ab	I		ii2		ii		2					mm7	0	0	0, 2, -1, 3		2	0
42	42	42	42a	123	123	3.0	0	0	3/4	2	1	V7/III		Ab	I		V7/III		V		7		III			Mm7	0	0	5, 9, 6, 3		5	5
43	43	43	43a	126	126	1.5	0	0	3/4	2	1	III(#2)}		Ab	I		III(#2)		III			#2			}	M	0	0	4, 6, 5		4	4
43	43	43	43a	255/2	255/2	1.5	3/8	3/8	3/4	2	1	III		Ab	I		III		III							M	0	0	4, 8, 5		4	4
44	44	44	44a	129	129	3.0	0	0	3/4	2	1	V7/ii{		Ab	I		V7/ii		V		7		ii		{	Mm7	0	0	3, 7, 4, 1		3	3
45	45	45	45a	132	132	1.5	0	0	3/4	2	1	ii(9)}		Ab	I		ii(9)		ii			9			}	m	0	0	2, -1, 3	4	2	2
45	45	45	45a	267/2	267/2	1.5	3/8	3/8	3/4	2	1	ii		Ab	I		ii		ii							m	0	0	2, -1, 3		2	2
46	46	46	46a	135	135	1.5	0	0	3/4	2	1	ii6(#7){		Ab	I		ii6(#7)		ii		6	#7			{	m	0	0	-1, 3, 7		2	-1
46	46	46	46a	273/2	273/2	1.5	3/8	3/8	3/4	2	1	ii65		Ab	I		ii65		ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
47	47	47	47a	138	138	3.0	0	0	3/4	2	1	V7|HC}		Ab	I		V7		V		7			HC	}	Mm7	0	0	1, 5, 2, -1		1	1
48	48	48	48a	141	141	3.0	0	0	3/4	2	1	ii{		Ab	I		ii		ii						{	m	0	0	2, -1, 3		2	2
49	49	49	49a	144	144	3.0	0	0	3/4	2	1	ii2		Ab	I		ii2		ii		2					mm7	0	0	0, 2, -1, 3		2	0
50	50	50	50a	147	147	3.0	0	0	3/4	2	1	V7/III		Ab	I		V7/III		V		7		III			Mm7	0	0	5, 9, 6, 3		5	5
51	51	51	51a	150	150	1.5	0	0	3/4	2	1	III(#2)}		Ab	I		III(#2)		III			#2			}	M	0	0	4, 6, 5		4	4
51	51	51	51a	303/2	303/2	1.5	3/8	3/8	3/4	2	1	III		Ab	I		III		III							M	0	0	4, 8, 5		4	4
52	52	52	52a	153	153	3.0	0	0	3/4	2	1	V7/ii{		Ab	I		V7/ii		V		7		ii		{	Mm7	0	0	3, 7, 4, 1		3	3
53	53	53	53a	156	156	1.5	0	0	3/4	2	1	ii(9)}		Ab	I		ii(9)		ii			9			}	m	0	0	2, -1, 3	4	2	2
53	53	53	53a	315/2	315/2	1.5	3/8	3/8	3/4	2	1	ii		Ab	I		ii		ii							m	0	0	2, -1, 3		2	2
54	54	54	54a	159	159	1.5	0	0	3/4	2	1	ii6(#7){		Ab	I		ii6(#7)		ii		6	#7			{	m	0	0	-1, 3, 7		2	-1
54	54	54	54a	321/2	321/2	1.5	3/8	3/8	3/4	2	1	ii6		Ab	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
55	55	55	55a	162	162	1.5	0	0	3/4	2	1	V7(#2)}		Ab	I		V7(#2)		V		7	#2			}	Mm7	0	0	1, 10, 2, -1		1	1
55	55	55	55a	327/2	327/2	1.5	3/8	3/8	3/4	2	1	V7|HC		Ab	I		V7		V		7			HC		Mm7	0	0	1, 5, 2, -1		1	1
56	56	56	56a	165	165	3.0	0	0	3/4	2	1	I{		Ab	I		I		I						{	M	0	0	0, 4, 1		0	0
57	57	57	57a	168	168	2.0	0	0	3/4	2	1	I64(9)		Ab	I		I64(9)		I		64	9				M	0	0	1, 0, 4	2	0	1
57	57	57	57a	170	170	1.0	1/2	1/2	3/4	2	1	I64		Ab	I		I64		I		64					M	0	0	1, 0, 4		0	1
58	58	58	58a	171	171	3.0	0	0	3/4	2	1	V43		Ab	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
