mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1	1a	0	0	3.0	0	0	4/4	2	1	Eb.I{	Eb	I		I		I						{	M	0	0	0, 4, 1		0	0
1	1	1	1a	3	3	1.0	3/4	3/4	4/4	2	1	I64(+6)	Eb	I		I64(+6)		I		64	+6				M	0	0	1, 0, 4	3	0	1
2	2	2	2a	4	4	3.0	0	0	4/4	2	1	I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
2	2	2	2a	7	7	1.0	3/4	3/4	4/4	2	1	I64(+6)	Eb	I		I64(+6)		I		64	+6				M	0	0	1, 0, 4	3	0	1
3	3	3	3a	8	8	3.0	0	0	4/4	2	1	I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
3	3	3	3a	11	11	1.0	3/4	3/4	4/4	2	1	I64	Eb	I		I64		I		64					M	0	0	1, 0, 4		0	1
4	4	4	4a	12	12	3.0	0	0	4/4	2	1	I[V]	Eb	I	I	V		V							M	0	0	1, 5, 2		1	1
4	4	4	4a	15	15	0.5	3/4	3/4	4/4	2	1	V7(9)	Eb	I		V7(9)		V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1
4	4	4	4a	31/2	31/2	0.5	7/8	7/8	4/4	2	1	V7	Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
5	5	5	5a	16	16	3.0	0	0	4/4	2	1	I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
5	5	5	5a	19	19	0.5	3/4	3/4	4/4	2	1	V7(9)	Eb	I		V7(9)		V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1
5	5	5	5a	39/2	39/2	0.5	7/8	7/8	4/4	2	1	V7	Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
6	6	6	6a	20	20	3.0	0	0	4/4	2	1	I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
6	6	6	6a	23	23	0.5	3/4	3/4	4/4	2	1	V7(9)	Eb	I		V7(9)		V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1
6	6	6	6a	47/2	47/2	0.5	7/8	7/8	4/4	2	1	V7	Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
7	7	7	7a	24	24	3.0	0	0	4/4	2	1	I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
7	7	7	7a	27	27	0.5	3/4	3/4	4/4	2	1	V7(9)	Eb	I		V7(9)		V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1
