mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1	1a	0	0	11.0	0	0	4/4	2	1	g.i{		g	i		i	i						{	m	1	1	0, -3, 1		0	0
3	3	3	3a	11	11	1.0	3/4	3/4	4/4	2	1	#viio6		g	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
4	4	4	4a	12	12	3.0	0	0	4/4	2	1	i6		g	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
4	4	4	4a	15	15	1.0	3/4	3/4	4/4	2	1	ii%65		g	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
5	5	5	5a	16	16	1.0	0	0	4/4	2	1	V(64)		g	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
5	5	5	5a	17	17	1.0	1/4	1/4	4/4	2	1	V(9#764)		g	i		V(9#764)	V			9#764				M	1	1	1, 0, -3	-4, 6	1	1
5	5	5	5a	18	18	1.0	1/2	1/2	4/4	2	1	V(64)		g	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
5	5	5	5a	19	19	1.0	3/4	3/4	4/4	2	1	V7		g	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
6	6	6	6a	20	20	1.0	0	0	4/4	2	1	i|PAC}		g	i		i	i					PAC	}	m	1	1	0, -3, 1		0	0
6	6	6	6a	21	21	1.0	1/4	1/4	4/4	2	1	i(6#4)		g	i		i(6#4)	i			6#4				m	1	1	0, -3, 6, -4		0	0
6	6	6	6a	22	22	1.0	1/2	1/2	4/4	2	1	i		g	i		i	i							m	1	1	0, -3, 1		0	0
6	6	6	6a	45/2	45/2	0.0	5/8	5/8	4/4	2	1	{		g	i									{		1	1				
6	6	6	6a	23	23	1.0	3/4	3/4	4/4	2	1	V7		g	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
7	7	7	7a	24	24	3.0	0	0	4/4	2	1	i		g	i		i	i							m	1	1	0, -3, 1		0	0
7	7	7	7a	27	27	1.0	3/4	3/4	4/4	2	1	V65/III		g	i		V65/III	V		65		III			Mm7	1	1	2, -1, -4, -2		-2	2
8	8	8	8a	28	28	3.0	0	0	4/4	2	1	I/III		g	i		I/III	I				III			M	1	1	-3, 1, -2		-3	-3
8	8	8	8a	31	31	1.0	3/4	3/4	4/4	2	1	VIM65	IVM65/III	g	i		VIM65	VI	M	65					MM7	1	1	0, -3, 1, -4		-4	0
9	9	9	9a	32	32	2.0	0	0	4/4	2	1	iio	viio/III	g	i		iio	ii	o						o	1	1	2, -1, -4		2	2
9	9	9	9a	34	34	1.0	1/2	1/2	4/4	2	1	ii%7	vii%7/III	g	i		ii%7	ii	%	7					%7	1	1	2, -1, -4, 0		2	2
9	9	9	9a	35	35	1.0	3/4	3/4	4/4	2	1	V65		g	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
10	10	10	10a	36	36	3.0	0	0	4/4	2	1	i		g	i		i	i							m	1	1	0, -3, 1		0	0
10	10	10	10a	39	39	1.0	3/4	3/4	4/4	2	1	iio6		g	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
11	11	11	11a	40	40	2.0	0	0	4/4	2	1	V[V(64)		g	i	V	V(64)	V			64				M	1	1	1, 0, -3		1	1
11	11	11	11a	42	42	1.0	1/2	1/2	4/4	2	1	viio7/V		g	i	V	viio7/V	vii	o	7		V			o7	1	1	6, 3, 0, -3		6	6
11	11	11	11a	43	43	0.5	3/4	3/4	4/4	2	1	#viio43(4)		g	i	V	#viio43(4)	#vii	o	43	4				o7	1	1	-1, -4, 5, -3		5	-1
11	11	11	11a	87/2	87/2	0.5	7/8	7/8	4/4	2	1	#viio43]		g	i	V	#viio43	#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
12	12	12	12a	44	44	0.5	0	0	4/4	2	1	i(4)}		g	i		i(4)	i			4			}	m	1	1	0, -1, 1		0	0
12	12	12	12a	89/2	89/2	3.5	1/8	1/8	4/4	2	1	i|PAC		g	i		i	i					PAC		m	1	1	0, -3, 1		0	0
12	12	12	12a	93/2	93/2	0.0	5/8	5/8	4/4	2	1	{		g	i									{		1	1				
13	13	13	13a	48	48	4.0	0	0	4/4	2	1	III.V2		g	III		V2	V		2					Mm7	1	0	-1, 1, 5, 2		1	-1
14	14	14	14a	52	52	4.0	0	0	4/4	2	1	I6		g	III		I6	I		6					M	1	0	4, 1, 0		0	4
15	15	15	15a	56	56	4.0	0	0	4/4	2	1	V43		g	III		V43	V		43					Mm7	1	0	2, -1, 1, 5		1	2
16	16	16	16a	60	60	4.0	0	0	4/4	2	1	I}		g	III		I	I						}	M	1	0	0, 4, 1		0	0
16	16	16	16a	125/2	125/2	0.0	5/8	5/8	4/4	2	1	{		g	III									{		1	0				
17	17	17	17a	64	64	4.0	0	0	4/4	2	1	V2		g	III		V2	V		2					Mm7	1	0	-1, 1, 5, 2		1	-1
18	18	18	18a	68	68	4.0	0	0	4/4	2	1	i.V		g	i		V	V							M	1	1	1, 5, 2		1	1
19	19	19	19a	72	72	4.0	0	0	4/4	2	1	V(64)		g	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
20	20	20	20a	76	76	2.0	0	0	4/4	2	1	V		g	i		V	V							M	1	1	1, 5, 2		1	1
