mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1	1a	0	0	1.5	0	0	9/8	2	1	G.V{		G	I		V		V						{	M	0	0	1, 5, 2		1	1
1	1	1	1a	3/2	3/2	1.5	3/8	3/8	9/8	2	1	vi7		G	I		vi7		vi		7					mm7	0	0	3, 0, 4, 1		3	3
1	1	1	1a	3	3	1.5	3/4	3/4	9/8	2	1	V6		G	I		V6		V		6					M	0	0	5, 2, 1		1	5
2	2	2	2a	9/2	9/2	1.5	0	0	9/8	2	1	I		G	I		I		I							M	0	0	0, 4, 1		0	0
2	2	2	2a	6	6	1.0	3/8	3/8	9/8	2	1	vii%65		G	I		vii%65		vii	%	65					%7	0	0	2, -1, 3, 5		5	2
2	2	2	2a	7	7	0.5	5/8	5/8	9/8	2	1	V43		G	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
2	2	2	2a	15/2	15/2	1.5	3/4	3/4	9/8	2	1	I6		G	I		I6		I		6					M	0	0	4, 1, 0		0	4
3	3	3	3a	9	9	1.5	0	0	9/8	2	1	viio7/V		G	I		viio7/V		vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
3	3	3	3a	21/2	21/2	0.5	3/8	3/8	9/8	2	1	V(4)		G	I		V(4)		V			4				M	0	0	1, 0, 2		1	1
3	3	3	3a	11	11	2.0	1/2	1/2	9/8	2	1	V		G	I		V		V							M	0	0	1, 5, 2		1	1
3	3	3	3a	13	13	0.5	1	1	9/8	2	1	V7		G	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
4	4	4	4a	27/2	27/2	1.0	0	0	9/8	2	1	#viio7/vi		G	I		#viio7/vi		#vii	o	7		vi			o7	0	0	8, 5, 2, -1		8	8
4	4	4	4a	29/2	29/2	0.5	1/4	1/4	9/8	2	1	vi		G	I		vi		vi							m	0	0	3, 0, 4		3	3
4	4	4	4a	15	15	1.0	3/8	3/8	9/8	2	1	V6/V		G	I		V6/V		V		6		V			M	0	0	6, 3, 2		2	6
4	4	4	4a	16	16	0.5	5/8	5/8	9/8	2	1	V65/V		G	I		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
4	4	4	4a	33/2	33/2	1.0	3/4	3/4	9/8	2	1	V(94)}		G	I		V(94)		V			94			}	M	0	0	1, 0, 2	3	1	1
4	4	4	4a	35/2	35/2	2.0	1	1	9/8	2	1	V|HC		G	I		V		V					HC		M	0	0	1, 5, 2		1	1
5	5	5	5a	18	18	0.0	0	0	9/8	2	1	{		G	I										{		0	0				
5	5	5	5a	39/2	39/2	1.5	3/8	3/8	9/8	2	1	vi7		G	I		vi7		vi		7					mm7	0	0	3, 0, 4, 1		3	3
5	5	5	5a	21	21	1.5	3/4	3/4	9/8	2	1	V6		G	I		V6		V		6					M	0	0	5, 2, 1		1	5
6	6	6	6a	45/2	45/2	1.5	0	0	9/8	2	1	I		G	I		I		I							M	0	0	0, 4, 1		0	0
6	6	6	6a	24	24	1.0	3/8	3/8	9/8	2	1	vii%65		G	I		vii%65		vii	%	65					%7	0	0	2, -1, 3, 5		5	2
6	6	6	6a	25	25	0.5	5/8	5/8	9/8	2	1	V43		G	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
6	6	6	6a	51/2	51/2	1.5	3/4	3/4	9/8	2	1	I6		G	I		I6		I		6					M	0	0	4, 1, 0		0	4
7	7	7	7a	27	27	1.5	0	0	9/8	2	1	#viio65/iii		G	I		#viio65/iii		#vii	o	65		iii			o7	0	0	6, 3, 0, 9		9	6
7	7	7	7a	57/2	57/2	1.5	3/8	3/8	9/8	2	1	iii6		G	I		iii6		iii		6					m	0	0	1, 5, 4		4	1
7	7	7	7a	30	30	1.5	3/4	3/4	9/8	2	1	vii%65/V		G	I		vii%65/V		vii	%	65		V			%7	0	0	3, 0, 4, 6		6	3
8	8	8	8a	63/2	63/2	9.0	0	0	9/8	2	1	V6|HC}		G	I		V6		V		6			HC	}	M	0	0	5, 2, 1		1	5
10	10	10	10a	81/2	81/2	18.0	0	0	9/8	2	1	bIII64{		G	I		bIII64		bIII		64				{	M	0	0	-2, -3, 1		-3	-2
14	14	14	14a	117/2	117/2	1.5	0	0	9/8	2	1	V6		G	I		V6		V		6					M	0	0	5, 2, 1		1	5
14	14	14	14a	60	60	1.5	3/8	3/8	9/8	2	1	vi7		G	I		vi7		vi		7					mm7	0	0	3, 0, 4, 1		3	3
14	14	14	14a	123/2	123/2	1.5	3/4	3/4	9/8	2	1	V6		G	I		V6		V		6					M	0	0	5, 2, 1		1	5
15	15	15	15a	63	63	1.5	0	0	9/8	2	1	I		G	I		I		I							M	0	0	0, 4, 1		0	0
15	15	15	15a	129/2	129/2	1.0	3/8	3/8	9/8	2	1	vii%65		G	I		vii%65		vii	%	65					%7	0	0	2, -1, 3, 5		5	2
15	15	15	15a	131/2	131/2	0.5	5/8	5/8	9/8	2	1	V43		G	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
15	15	15	15a	66	66	1.5	3/4	3/4	9/8	2	1	I6		G	I		I6		I		6					M	0	0	4, 1, 0		0	4
16	16	16	16a	135/2	135/2	1.5	0	0	9/8	2	1	viio7/V		G	I		viio7/V		vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
16	16	16	16a	69	69	0.5	3/8	3/8	9/8	2	1	V(4)		G	I		V(4)		V			4				M	0	0	1, 0, 2		1	1
16	16	16	16a	139/2	139/2	1.0	1/2	1/2	9/8	2	1	V		G	I		V		V							M	0	0	1, 5, 2		1	1
16	16	16	16a	141/2	141/2	3.0	3/4	3/4	9/8	2	1	V7		G	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
17	17	17	17a	147/2	147/2	1.5	3/8	3/8	9/8	2	1	V65/vi		G	I		V65/vi		V		65		vi			Mm7	0	0	8, 5, 2, 4		4	8
17	17	17	17a	75	75	3.0	3/4	3/4	9/8	2	1	vi		G	I		vi		vi							m	0	0	3, 0, 4		3	3
18	18	18	18a	78	78	1.5	3/8	3/8	9/8	2	1	V65/V		G	I		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
18	18	18	18a	159/2	159/2	3.0	3/4	3/4	9/8	2	1	V		G	I		V		V							M	0	0	1, 5, 2		1	1
19	19	19	19a	165/2	165/2	1.5	3/8	3/8	9/8	2	1	I(7b64)}		G	I		I(7b64)		I			7b64			}	M	0	0	0, -1, -4	5	0	0
19	19	19	19a	84	84	1.5	3/4	3/4	9/8	2	1	I|IAC		G	I		I		I					IAC		M	0	0	0, 4, 1		0	0
20	20	20	20a	171/2	171/2	1.0	0	0	2/4	2	1	iii.ii%65{		G	iii		ii%65		ii	%	65				{	%7	0	1	-1, -4, 0, 2		2	-1
20	20	20	20a	173/2	173/2	1.0	1/4	1/4	2/4	2	1	V		G	iii		V		V							M	0	1	1, 5, 2		1	1
21	21	21	21a	175/2	175/2	0.5	0	0	2/4	2	1	i		G	iii		i		i							m	0	1	0, -3, 1		0	0
21	21	21	21a	88	88	0.5	1/8	1/8	2/4	2	1	V65		G	iii		V65		V		65					Mm7	0	1	5, 2, -1, 1		1	5
21	21	21	21a	177/2	177/2	1.0	1/4	1/4	2/4	2	1	i}		G	iii		i		i						}	m	0	1	0, -3, 1		0	0
22	22	22	22a	179/2	179/2	1.0	0	0	2/4	2	1	ii%65{		G	iii		ii%65		ii	%	65				{	%7	0	1	-1, -4, 0, 2		2	-1
22	22	22	22a	181/2	181/2	1.0	1/4	1/4	2/4	2	1	V		G	iii		V		V							M	0	1	1, 5, 2		1	1
23	23	23	23a	183/2	183/2	1.0	0	0	2/4	2	1	ii%43/iv		G	iii		ii%43/iv		ii	%	43		iv			%7	0	1	-5, -1, 1, -2		1	-5
23	23	23	23a	185/2	185/2	0.5	1/4	1/4	2/4	2	1	V(4)/iv}		G	iii		V(4)/iv		V			4	iv		}	M	0	1	0, -1, 1		0	0
23	23	23	23a	93	93	0.5	3/8	3/8	2/4	2	1	V/iv|HC		G	iii		V/iv		V				iv	HC		M	0	1	0, 4, 1		0	0
24	24	24	24a	187/2	187/2	1.0	0	0	2/4	2	1	ii%65{		G	iii		ii%65		ii	%	65				{	%7	0	1	-1, -4, 0, 2		2	-1
24	24	24	24a	189/2	189/2	1.0	1/4	1/4	2/4	2	1	V		G	iii		V		V							M	0	1	1, 5, 2		1	1
25	25	25	25a	191/2	191/2	0.5	0	0	2/4	2	1	i		G	iii		i		i							m	0	1	0, -3, 1		0	0
25	25	25	25a	96	96	0.5	1/8	1/8	2/4	2	1	V65		G	iii		V65		V		65					Mm7	0	1	5, 2, -1, 1		1	5
25	25	25	25a	193/2	193/2	1.0	1/4	1/4	2/4	2	1	i}		G	iii		i		i						}	m	0	1	0, -3, 1		0	0
26	26	26	26a	195/2	195/2	1.0	0	0	2/4	2	1	ii%65{		G	iii		ii%65		ii	%	65				{	%7	0	1	-1, -4, 0, 2		2	-1
26	26	26	26a	197/2	197/2	1.0	1/4	1/4	2/4	2	1	V		G	iii		V		V							M	0	1	1, 5, 2		1	1
27	27	27	27a	199/2	199/2	1.0	0	0	2/4	2	1	ii%43/iv		G	iii		ii%43/iv		ii	%	43		iv			%7	0	1	-5, -1, 1, -2		1	-5
27	27	27	27a	201/2	201/2	0.5	1/4	1/4	2/4	2	1	V(4)/iv}		G	iii		V(4)/iv		V			4	iv		}	M	0	1	0, -1, 1		0	0
27	27	27	27a	101	101	0.5	3/8	3/8	2/4	2	1	V/iv|HC		G	iii		V/iv		V				iv	HC		M	0	1	0, 4, 1		0	0
28	28	28	28a	203/2	203/2	1.0	0	0	2/4	2	1	i/iv{		G	iii		i/iv		i				iv		{	m	0	1	-1, -4, 0		-1	-1
28	28	28	28a	205/2	205/2	1.0	1/4	1/4	2/4	2	1	iv6/v		G	iii		iv6/v		iv		6		v			m	0	1	-3, 1, 0		0	-3
29	29	29	29a	207/2	207/2	0.5	0	0	2/4	2	1	V/v		G	iii		V/v		V				v			M	0	1	2, 6, 3		2	2
29	29	29	29a	104	104	0.5	1/8	1/8	2/4	2	1	V7/v		G	iii		V7/v		V		7		v			Mm7	0	1	2, 6, 3, 0		2	2
29	29	29	29a	209/2	209/2	0.5	1/4	1/4	2/4	2	1	i(4)/v}		G	iii		i(4)/v		i			4	v		}	m	0	1	1, 0, 2		1	1
29	29	29	29a	105	105	0.5	3/8	3/8	2/4	2	1	i/v		G	iii		i/v		i				v			m	0	1	1, -2, 2		1	1
