mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
9	9	9	9a	33/2	33/2	0.5	1/8	1/8	2/4	2	1	iv		g	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
9	9	9	9a	17	17	0.5	1/4	1/4	2/4	2	1	iv64(94)	iv(94)	g	i		iv64(94)	iv		64	94				m	1	1	0, -1, -2	1	-1	0
9	9	9	9a	35/2	35/2	0.25	3/8	3/8	2/4	2	1	iv64(4)	iv(4)	g	i		iv64(4)	iv		64	4				m	1	1	0, -1, -2		-1	0
9	9	9	9a	71/4	71/4	0.25	7/16	7/16	2/4	2	1	iv64	iv	g	i		iv64	iv		64					m	1	1	0, -1, -4		-1	0
10	10	10	10a	18	18	1.0	0	0	2/4	2	1	V7(64)		g	i		V7(64)	V		7	64				Mm7	1	1	1, 0, -3, -1		1	1
10	10	10	10a	19	19	0.75	1/4	1/4	2/4	2	1	V7(6)		g	i		V7(6)	V		7	6				Mm7	1	1	1, 5, -3, -1		1	1
10	10	10	10a	79/4	79/4	0.25	7/16	7/16	2/4	2	1	V7		g	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
11	11	11	11a	20	20	0.5	0	0	2/4	2	1	i|PAC}		g	i		i	i					PAC	}	m	1	1	0, -3, 1		0	0
11	11	11	11a	41/2	41/2	1.25	1/8	1/8	2/4	2	1	III.I[viio43(4){		g	III	I	viio43(4)	vii	o	43	4			{	o7	1	0	-1, -4, 5, 4		5	-1
11	11	11	11a	87/4	87/4	0.25	7/16	7/16	2/4	2	1	viio43		g	III	I	viio43	vii	o	43					o7	1	0	-1, -4, 5, 2		5	-1
12	12	12	12a	22	22	1.0	0	0	2/4	2	1	I		g	III	I	I	I							M	1	0	0, 4, 1		0	0
12	12	12	12a	23	23	1.0	1/4	1/4	2/4	2	1	V43		g	III	I	V43	V		43					Mm7	1	0	2, -1, 1, 5		1	2
13	13	13	13a	24	24	0.75	0	0	2/4	2	1	I(9)		g	III	I	I(9)	I			9				M	1	0	0, 4, 1	2	0	0
13	13	13	13a	99/4	99/4	0.25	3/16	3/16	2/4	2	1	I		g	III	I	I	I							M	1	0	0, 4, 1		0	0
13	13	13	13a	25	25	1.0	1/4	1/4	2/4	2	1	i.V7		g	i	III	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
14	14	14	14a	26	26	1.0	0	0	2/4	2	1	i6		g	i	III	i6	i		6					m	1	1	-3, 1, 0		0	-3
14	14	14	14a	27	27	0.75	1/4	1/4	2/4	2	1	#viio43(4)		g	i	III	#viio43(4)	#vii	o	43	4				o7	1	1	-1, -4, 5, -3		5	-1
14	14	14	14a	111/4	111/4	0.25	7/16	7/16	2/4	2	1	#viio43		g	i	III	#viio43	#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
15	15	15	15a	28	28	0.75	0	0	2/4	2	1	i6(2)}		g	i	III	i6(2)	i		6	2			}	m	1	1	-3, 1, 2		0	-3
15	15	15	15a	115/4	115/4	0.25	3/16	3/16	2/4	2	1	i6		g	i	III	i6	i		6					m	1	1	-3, 1, 0		0	-3
15	15	15	15a	29	29	0.75	1/4	1/4	2/4	2	1	III.viio43(4){		g	III	I	viio43(4)	vii	o	43	4			{	o7	1	0	-1, -4, 5, 4		5	-1
15	15	15	15a	119/4	119/4	0.25	7/16	7/16	2/4	2	1	viio43		g	III	I	viio43	vii	o	43					o7	1	0	-1, -4, 5, 2		5	-1
16	16	16	16a	30	30	1.0	0	0	2/4	2	1	I		g	III	I	I	I							M	1	0	0, 4, 1		0	0
16	16	16	16a	31	31	1.0	1/4	1/4	2/4	2	1	V43		g	III	I	V43	V		43					Mm7	1	0	2, -1, 1, 5		1	2
17	17	17	17a	32	32	0.75	0	0	2/4	2	1	I(9)		g	III	I	I(9)	I			9				M	1	0	0, 4, 1	2	0	0
17	17	17	17a	131/4	131/4	0.25	3/16	3/16	2/4	2	1	I		g	III	I	I	I							M	1	0	0, 4, 1		0	0
17	17	17	17a	33	33	1.0	1/4	1/4	2/4	2	1	i.V7(6)		g	i	III	V7(6)	V		7	6				Mm7	1	1	1, 5, -3, -1		1	1
18	18	18	18a	34	34	0.25	0	0	2/4	2	1	i6(9)		g	i	III	i6(9)	i		6	9				m	1	1	-3, 1, 0	2	0	-3
18	18	18	18a	137/4	137/4	0.75	1/16	1/16	2/4	2	1	i6		g	i	III	i6	i		6					m	1	1	-3, 1, 0		0	-3
18	18	18	18a	35	35	1.0	1/4	1/4	2/4	2	1	V7(6)		g	i	III	V7(6)	V		7	6				Mm7	1	1	1, 5, -3, -1		1	1
19	19	19	19a	36	36	0.25	0	0	2/4	2	1	i6(9)}		g	i	III	i6(9)	i		6	9			}	m	1	1	-3, 1, 0	2	0	-3
19	19	19	19a	145/4	145/4	0.75	1/16	1/16	2/4	2	1	i6		g	i	III	i6	i		6					m	1	1	-3, 1, 0		0	-3
19	19	19	19a	37	37	0.75	1/4	1/4	2/4	2	1	III.viio43(4){		g	III	I	viio43(4)	vii	o	43	4			{	o7	1	0	-1, -4, 5, 4		5	-1
19	19	19	19a	151/4	151/4	0.25	7/16	7/16	2/4	2	1	viio43		g	III	I	viio43	vii	o	43					o7	1	0	-1, -4, 5, 2		5	-1
20	20	20	20a	38	38	1.0	0	0	2/4	2	1	I		g	III	I	I	I							M	1	0	0, 4, 1		0	0
20	20	20	20a	39	39	1.0	1/4	1/4	2/4	2	1	V43		g	III	I	V43	V		43					Mm7	1	0	2, -1, 1, 5		1	2
21	21	21	21a	40	40	0.75	0	0	2/4	2	1	I(9)		g	III	I	I(9)	I			9				M	1	0	0, 4, 1	2	0	0
21	21	21	21a	163/4	163/4	0.25	3/16	3/16	2/4	2	1	I		g	III	I	I	I							M	1	0	0, 4, 1		0	0
21	21	21	21a	41	41	1.0	1/4	1/4	2/4	2	1	i.V7		g	i	III	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
22	22	22	22a	42	42	1.0	0	0	2/4	2	1	i6]		g	i	III	i6	i		6					m	1	1	-3, 1, 0		0	-3
22	22	22	22a	43	43	1.0	1/4	1/4	2/4	2	1	V7/V		g	i		V7/V	V		7		V			Mm7	1	1	2, 6, 3, 0		2	2
23	23	23	23a	44	44	0.75	0	0	2/4	2	1	V[V(4)}		g	i	V	V(4)	V			4			}	M	1	1	1, 0, 2		1	1
23	23	23	23a	179/4	179/4	0.25	3/16	3/16	2/4	2	1	V|HC		g	i	V	V	V					HC		M	1	1	1, 5, 2		1	1
23	23	23	23a	45	45	1.0	1/4	1/4	2/4	2	1	i{		g	i	V	i	i						{	m	1	1	0, -3, 1		0	0
24	24	24	24a	46	46	1.0	0	0	2/4	2	1	V7		g	i	V	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
24	24	24	24a	47	47	1.0	1/4	1/4	2/4	2	1	i6		g	i	V	i6	i		6					m	1	1	-3, 1, 0		0	-3
25	25	25	25a	48	48	1.0	0	0	2/4	2	1	V7		g	i	V	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
25	25	25	25a	49	49	1.0	1/4	1/4	2/4	2	1	i		g	i	V	i	i							m	1	1	0, -3, 1		0	0
26	26	26	26a	50	50	1.0	0	0	2/4	2	1	V7		g	i	V	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
26	26	26	26a	51	51	1.0	1/4	1/4	2/4	2	1	i6		g	i	V	i6	i		6					m	1	1	-3, 1, 0		0	-3
27	27	27	27a	52	52	1.0	0	0	2/4	2	1	V7		g	i	V	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
27	27	27	27a	53	53	1.0	1/4	1/4	2/4	2	1	i6		g	i	V	i6	i		6					m	1	1	-3, 1, 0		0	-3
28	28	28	28a	54	54	1.0	0	0	2/4	2	1	V7		g	i	V	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
28	28	28	28a	55	55	1.0	1/4	1/4	2/4	2	1	viio43/V		g	i	V	viio43/V	vii	o	43		V			o7	1	1	0, -3, 6, 3		6	0
29	29	29	29a	56	56	1.0	0	0	2/4	2	1	V		g	i	V	V	V							M	1	1	1, 5, 2		1	1
29	29	29	29a	57	57	1.0	1/4	1/4	2/4	2	1	viio43/V		g	i	V	viio43/V	vii	o	43		V			o7	1	1	0, -3, 6, 3		6	0
30	30	30	30a	58	58	2.0	0	0	2/4	2	1	V]|HC}		g	i	V	V	V					HC	}	M	1	1	1, 5, 2		1	1
31	31	31	31a	60	60	1.0	0	0	2/4	2	1	i[i{		g	i	i	i	i						{	m	1	1	0, -3, 1		0	0
31	31	31	31a	61	61	1.0	1/4	1/4	2/4	2	1	#viio43		g	i	i	#viio43	#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
32	32	32	32a	62	62	1.0	0	0	2/4	2	1	i		g	i	i	i	i							m	1	1	0, -3, 1		0	0
32	32	32	32a	63	63	0.75	1/4	1/4	2/4	2	1	V43(4)		g	i	i	V43(4)	V		43	4				Mm7	1	1	2, -1, 1, 0		1	2
32	32	32	32a	255/4	255/4	0.25	7/16	7/16	2/4	2	1	V43		g	i	i	V43	V		43					Mm7	1	1	2, -1, 1, 5		1	2
33	33	33	33a	64	64	1.0	0	0	2/4	2	1	i]}		g	i	i	i	i						}	m	1	1	0, -3, 1		0	0
33	33	33	33a	129/2	129/2	0.0	1/8	1/8	2/4	2	1	{		g	i									{		1	1				
33	33	33	33a	65	65	1.0	1/4	1/4	2/4	2	1	V65		g	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
34	34	34	34a	66	66	1.0	0	0	2/4	2	1	i		g	i		i	i							m	1	1	0, -3, 1		0	0
34	34	34	34a	67	67	0.75	1/4	1/4	2/4	2	1	V65(4)		g	i		V65(4)	V		65	4				Mm7	1	1	0, 2, -1, 1		1	0
34	34	34	34a	271/4	271/4	0.25	7/16	7/16	2/4	2	1	V65		g	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
35	35	35	35a	68	68	1.0	0	0	2/4	2	1	V(64)	i64	g	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
35	35	35	35a	69	69	1.0	1/4	1/4	2/4	2	1	V2		g	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
36	36	36	36a	70	70	1.0	0	0	2/4	2	1	i6		g	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
36	36	36	36a	71	71	1.0	1/4	1/4	2/4	2	1	V65/iv		g	i		V65/iv	V		65		iv			Mm7	1	1	4, 1, -2, 0		0	4
37	37	37	37a	72	72	0.5	0	0	2/4	2	1	iv(4)		g	i		iv(4)	iv			4				m	1	1	-1, -2, 0		-1	-1
37	37	37	37a	145/2	145/2	0.5	1/8	1/8	2/4	2	1	iv		g	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
37	37	37	37a	73	73	0.5	1/4	1/4	2/4	2	1	iv64(94)	iv(94)	g	i		iv64(94)	iv		64	94				m	1	1	0, -1, -2	1	-1	0
37	37	37	37a	147/2	147/2	0.25	3/8	3/8	2/4	2	1	iv64(4)	iv(4)	g	i		iv64(4)	iv		64	4				m	1	1	0, -1, -2		-1	0
37	37	37	37a	295/4	295/4	0.25	7/16	7/16	2/4	2	1	iv64	iv	g	i		iv64	iv		64					m	1	1	0, -1, -4		-1	0
38	38	38	38a	74	74	1.0	0	0	2/4	2	1	V7(64)		g	i		V7(64)	V		7	64				Mm7	1	1	1, 0, -3, -1		1	1
38	38	38	38a	75	75	0.75	1/4	1/4	2/4	2	1	V7(6)		g	i		V7(6)	V		7	6				Mm7	1	1	1, 5, -3, -1		1	1
38	38	38	38a	303/4	303/4	0.25	7/16	7/16	2/4	2	1	V7		g	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
39	39	39	39a	76	76	1.0	0	0	2/4	2	1	i[i|PAC}		g	i	i	i	i					PAC	}	m	1	1	0, -3, 1		0	0
39	39	39	39a	153/2	153/2	0.0	1/8	1/8	2/4	2	1	{		g	i	i								{		1	1				
39	39	39	39a	77	77	1.0	1/4	1/4	2/4	2	1	#viio43		g	i	i	#viio43	#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
40	40	40	40a	78	78	1.0	0	0	2/4	2	1	i		g	i	i	i	i							m	1	1	0, -3, 1		0	0
40	40	40	40a	79	79	0.75	1/4	1/4	2/4	2	1	#viio43(2)		g	i	i	#viio43(2)	#vii	o	43	2				o7	1	1	-1, -4, 0, 2		5	-1
40	40	40	40a	319/4	319/4	0.25	7/16	7/16	2/4	2	1	#viio43		g	i	i	#viio43	#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
41	41	41	41a	80	80	1.0	0	0	2/4	2	1	i]}		g	i	i	i	i						}	m	1	1	0, -3, 1		0	0
41	41	41	41a	161/2	161/2	0.0	1/8	1/8	2/4	2	1	{		g	i									{		1	1				
41	41	41	41a	81	81	1.0	1/4	1/4	2/4	2	1	V65		g	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
42	42	42	42a	82	82	1.0	0	0	2/4	2	1	i		g	i		i	i							m	1	1	0, -3, 1		0	0
42	42	42	42a	83	83	0.75	1/4	1/4	2/4	2	1	V65(4)		g	i		V65(4)	V		65	4				Mm7	1	1	0, 2, -1, 1		1	0
42	42	42	42a	335/4	335/4	0.25	7/16	7/16	2/4	2	1	V65		g	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
43	43	43	43a	84	84	1.5	0	0	2/4	2	1	i		g	i		i	i							m	1	1	0, -3, 1		0	0
43	43	43	43a	171/2	171/2	0.25	3/8	3/8	2/4	2	1	V65(4)		g	i		V65(4)	V		65	4				Mm7	1	1	0, 2, -1, 1		1	0
43	43	43	43a	343/4	343/4	0.25	7/16	7/16	2/4	2	1	V65		g	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
44	44	44	44a	86	86	1.5	0	0	2/4	2	1	i		g	i		i	i							m	1	1	0, -3, 1		0	0
44	44	44	44a	175/2	175/2	0.25	3/8	3/8	2/4	2	1	V65(4)		g	i		V65(4)	V		65	4				Mm7	1	1	0, 2, -1, 1		1	0
44	44	44	44a	351/4	351/4	0.25	7/16	7/16	2/4	2	1	V65		g	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
45	45	45	45a	88	88	4.0	0	0	2/4	2	1	i|IAC}		g	i		i	i					IAC	}	m	1	1	0, -3, 1		0	0
