mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	1	0a	1/2	1/2	1.0	1/8	1/2	6/8	2	1	b.i6{		b	i		i6		i		6				{	m	1	1	-3, 1, 0		0	-3
2	1	2	1a	3/2	3/2	1.0	0	0	6/8	2	1	i[i		b	i	i	i		i							m	1	1	0, -3, 1		0	0
2	1	2	1a	5/2	5/2	1.0	1/4	1/4	6/8	2	1	#viio6		b	i	i	#viio6		#vii	o	6					o	1	1	2, -1, 5		5	2
2	1	2	1a	7/2	7/2	2.0	1/2	1/2	6/8	2	1	VI6		b	i	i	VI6		VI		6					M	1	1	0, -3, -4		-4	0
3	2	3	2a	11/2	11/2	1.0	1/4	1/4	6/8	2	1	V6		b	i	i	V6		V		6					M	1	1	5, 2, 1		1	5
3	2	3	2a	13/2	13/2	2.0	1/2	1/2	6/8	2	1	vo6	V7(b9)/IV	b	i	i	vo6		v	o	6					o	1	1	-2, -5, 1		1	-2
4	3	4	3a	17/2	17/2	1.0	1/4	1/4	6/8	2	1	IV6		b	i	i	IV6		IV		6					M	1	1	3, 0, -1		-1	3
4	3	4	3a	19/2	19/2	1.0	1/2	1/2	6/8	2	1	#viio2		b	i	i	#viio2		#vii	o	2					o7	1	1	-4, 5, 2, -1		5	-4
5	4	5	4a	21/2	21/2	1.0	0	0	6/8	2	1	V(6)		b	i	i	V(6)		V			6				M	1	1	1, 5, -3		1	1
5	4	5	4a	23/2	23/2	0.5	1/4	1/4	6/8	2	1	#viio64		b	i	i	#viio64		#vii	o	64					o	1	1	-1, 5, 2		5	-1
5	4	5	4a	12	12	1.5	3/8	3/8	6/8	2	1	i]|PAC}		b	i	i	i		i					PAC	}	m	1	1	0, -3, 1		0	0
5	4	5	4a	25/2	25/2	0.0	1/2	1/2	6/8	2	1	{		b	i										{		1	1				
6	5	6	5a	27/2	27/2	1.0	0	0	6/8	2	1	VI		b	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
6	5	6	5a	29/2	29/2	0.5	1/4	1/4	6/8	2	1	iv65		b	i		iv65		iv		65					mm7	1	1	-4, 0, -3, -1		-1	-4
