mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1	1a	0	0	9.0	0	0	4/4	2	1	E.I{		E	I		I	I						{	M	0	0	0, 4, 1		0	0
3	3	3	3a	9	9	4.0	1/4	1/4	4/4	2	1	ii2(11)	I(1394)	E	I		ii2(11)	ii		2	11				mm7	0	0	0, 2, -1, 3	1	2	0
4	4	4	4a	13	13	11.0	1/4	1/4	4/4	2	1	I}		E	I		I	I						}	M	0	0	0, 4, 1		0	0
4	4	4	4a	15	15	0.0	3/4	3/4	4/4	2	1	{		E	I									{		0	0				
7	7	7	7a	24	24	5.0	0	0	4/4	2	1	iii.V(64)		E	iii		V(64)	V			64				M	0	1	1, 0, -3		1	1
8	8	8	8a	29	29	1.0	1/4	1/4	4/4	2	1	V7		E	iii		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
8	8	8	8a	30	30	0.5	1/2	1/2	4/4	2	1	i(4)}		E	iii		i(4)	i			4			}	m	0	1	0, -1, 1		0	0
8	8	8	8a	61/2	61/2	0.5	5/8	5/8	4/4	2	1	i		E	iii		i	i							m	0	1	0, -3, 1		0	0
8	8	8	8a	31	31	0.5	3/4	3/4	4/4	2	1	i(9)		E	iii		i(9)	i			9				m	0	1	0, -3, 1	2	0	0
8	8	8	8a	63/2	63/2	0.5	7/8	7/8	4/4	2	1	i|PAC		E	iii		i	i					PAC		m	0	1	0, -3, 1		0	0
9	9	9	9a	32	32	3.0	0	0	4/4	2	1	I.ii{		E	I		ii	ii						{	m	0	0	2, -1, 3		2	2
9	9	9	9a	35	35	1.0	3/4	3/4	4/4	2	1	ii7		E	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
10	10	10	10a	36	36	1.0	0	0	4/4	2	1	V7(4)		E	I		V7(4)	V		7	4				Mm7	0	0	1, 0, 2, -1		1	1
10	10	10	10a	37	37	3.0	1/4	1/4	4/4	2	1	V7		E	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
11	11	11	11a	40	40	4.5	0	0	4/4	2	1	ii		E	I		ii	ii							m	0	0	2, -1, 3		2	2
12	12	12	12a	89/2	89/2	1.0	1/8	1/8	4/4	2	1	V7		E	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
12	12	12	12a	91/2	91/2	1.0	3/8	3/8	4/4	2	1	IV6(+4)		E	I		IV6(+4)	IV		6	+4				M	0	0	3, 0, -1	5	-1	3
12	12	12	12a	93/2	93/2	1.0	5/8	5/8	4/4	2	1	#viio2/ii	V65(6#4#2)	E	I		#viio2/ii	#vii	o	2		ii			o7	0	0	-2, 7, 4, 1		7	-2
