mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1	1a	0	0	2.0	0	0	4/4	2	1	d.i[i{		d	i	i	i	i						{	m	1	1	0, -3, 1		0	0
1	1	1	1a	2	2	1.0	1/2	1/2	4/4	2	1	V7(6)		d	i	i	V7(6)	V		7	6				Mm7	1	1	1, 5, -3, -1		1	1
1	1	1	1a	3	3	1.0	3/4	3/4	4/4	2	1	V7		d	i	i	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
2	2	2	2a	4	4	0.5	0	0	4/4	2	1	i(9)		d	i	i	i(9)	i			9				m	1	1	0, -3, 1	2	0	0
2	2	2	2a	9/2	9/2	1.5	1/8	1/8	4/4	2	1	i]		d	i	i	i	i							m	1	1	0, -3, 1		0	0
2	2	2	2a	6	6	1.0	1/2	1/2	4/4	2	1	i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
2	2	2	2a	7	7	1.0	3/4	3/4	4/4	2	1	V65/iv		d	i		V65/iv	V		65		iv			Mm7	1	1	4, 1, -2, 0		0	4
3	3	3	3a	8	8	2.0	0	0	4/4	2	1	iv		d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
3	3	3	3a	10	10	1.0	1/2	1/2	4/4	2	1	V43(+6)/iv		d	i		V43(+6)/iv	V		43	+6	iv			Mm7	1	1	1, -2, 0, 4	-4	0	1
3	3	3	3a	11	11	1.0	3/4	3/4	4/4	2	1	V43/iv		d	i		V43/iv	V		43		iv			Mm7	1	1	1, -2, 0, 4		0	1
4	4	4	4a	12	12	0.5	0	0	4/4	2	1	iv6(#7)		d	i		iv6(#7)	iv		6	#7				m	1	1	-4, 0, 4		-1	-4
4	4	4	4a	25/2	25/2	0.5	1/8	1/8	4/4	2	1	iv6		d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
4	4	4	4a	13	13	1.0	1/4	1/4	4/4	2	1	ii%43		d	i		ii%43	ii	%	43					%7	1	1	-4, 0, 2, -1		2	-4
4	4	4	4a	14	14	1.0	1/2	1/2	4/4	2	1	V7(4)}		d	i		V7(4)	V		7	4			}	Mm7	1	1	1, 0, 2, -1		1	1
4	4	4	4a	15	15	1.0	3/4	3/4	4/4	2	1	V7|HC		d	i		V7	V		7			HC		Mm7	1	1	1, 5, 2, -1		1	1
5	5	5	5a	16	16	2.0	0	0	4/4	2	1	V2{		d	i		V2	V		2				{	Mm7	1	1	-1, 1, 5, 2		1	-1
5	5	5	5a	18	18	2.0	1/2	1/2	4/4	2	1	i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
6	6	6	6a	20	20	2.0	0	0	4/4	2	1	V43		d	i		V43	V		43					Mm7	1	1	2, -1, 1, 5		1	2
6	6	6	6a	22	22	1.0	1/2	1/2	4/4	2	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
6	6	6	6a	23	23	1.0	3/4	3/4	4/4	2	1	V7/iv		d	i		V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
7	7	7	7a	24	24	2.0	0	0	4/4	2	1	iv		d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
7	7	7	7a	26	26	2.0	1/2	1/2	4/4	2	1	viio7/V		d	i		viio7/V	vii	o	7		V			o7	1	1	6, 3, 0, -3		6	6
8	8	8	8a	28	28	2.0	0	0	4/4	2	1	V(64)		d	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
8	8	8	8a	30	30	1.6666666666666679	1/2	1/2	4/4	2	1	V7(6)		d	i		V7(6)	V		7	6				Mm7	1	1	1, 5, -3, -1		1	1
8	8	8	8a	95/3	95/3	0.33333333333333215	11/12	11/12	4/4	2	1	V7		d	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
9	9	9	9a	32	32	2.0	0	0	4/4	2	1	i|PAC}		d	i		i	i					PAC	}	m	1	1	0, -3, 1		0	0
9	9	9	9a	33	33	0.0	1/4	1/4	4/4	2	1	{		d	i									{		1	1				
9	9	9	9a	34	34	1.0	1/2	1/2	4/4	2	1	V2(6)		d	i		V2(6)	V		2	6				Mm7	1	1	-1, 1, 5, -3		1	-1
9	9	9	9a	35	35	1.0	3/4	3/4	4/4	2	1	V2		d	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
10	10	10	10a	36	36	0.5	0	0	4/4	2	1	i6(#72)		d	i		i6(#72)	i		6	#72				m	1	1	-3, 1, 2, 5		0	-3
10	10	10	10a	73/2	73/2	0.5	1/8	1/8	4/4	2	1	i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
10	10	10	10a	37	37	0.5	1/4	1/4	4/4	2	1	viio/V		d	i		viio/V	vii	o			V			o	1	1	6, 3, 0		6	6
10	10	10	10a	75/2	75/2	0.5	3/8	3/8	4/4	2	1	V		d	i		V	V							M	1	1	1, 5, 2		1	1
10	10	10	10a	38	38	2.0	1/2	1/2	4/4	2	1	V65/iv		d	i		V65/iv	V		65		iv			Mm7	1	1	4, 1, -2, 0		0	4
11	11	11	11a	40	40	2.0	0	0	4/4	2	1	iv		d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
11	11	11	11a	42	42	1.5	1/2	1/2	4/4	2	1	V2(6)/iv		d	i		V2(6)/iv	V		2	6	iv			Mm7	1	1	-2, 0, 4, -4		0	-2
11	11	11	11a	87/2	87/2	0.5	7/8	7/8	4/4	2	1	V2/iv		d	i		V2/iv	V		2		iv			Mm7	1	1	-2, 0, 4, 1		0	-2
12	12	12	12a	44	44	0.5	0	0	4/4	2	1	iv6(#72)		d	i		iv6(#72)	iv		6	#72				m	1	1	-4, 0, 1, 4		-1	-4
12	12	12	12a	89/2	89/2	0.5	1/8	1/8	4/4	2	1	iv6		d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
12	12	12	12a	45	45	1.0	1/4	1/4	4/4	2	1	V2/V		d	i		V2/V	V		2		V			Mm7	1	1	0, 2, 6, 3		2	0
12	12	12	12a	46	46	1.0	1/2	1/2	4/4	2	1	V(#74)}		d	i		V(#74)	V			#74			}	M	1	1	1, 0, 2	6	1	1
12	12	12	12a	47	47	1.0	3/4	3/4	4/4	2	1	V|HC		d	i		V	V					HC		M	1	1	1, 5, 2		1	1
13	13	13	13a	48	48	2.0	0	0	4/4	2	1	III.V2{		d	III		V2	V		2				{	Mm7	1	0	-1, 1, 5, 2		1	-1
13	13	13	13a	50	50	1.6666666666666643	1/2	1/2	4/4	2	1	I6(2)}		d	III		I6(2)	I		6	2			}	M	1	0	4, 1, 2		0	4
13	13	13	13a	155/3	155/3	0.3333333333333357	11/12	11/12	4/4	2	1	I6		d	III		I6	I		6					M	1	0	4, 1, 0		0	4
14	14	14	14a	52	52	1.0	0	0	4/4	2	1	i.V2(6){		d	i		V2(6)	V		2	6			{	Mm7	1	1	-1, 1, 5, -3		1	-1
14	14	14	14a	53	53	1.0	1/4	1/4	4/4	2	1	V2		d	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
14	14	14	14a	54	54	1.6666666666666643	1/2	1/2	4/4	2	1	i6(2)}		d	i		i6(2)	i		6	2			}	m	1	1	-3, 1, 2		0	-3
14	14	14	14a	167/3	167/3	0.3333333333333357	11/12	11/12	4/4	2	1	i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
15	15	15	15a	56	56	1.0	0	0	4/4	2	1	iv(4){		d	i		iv(4)	iv			4			{	m	1	1	-1, -2, 0		-1	-1
15	15	15	15a	57	57	1.0	1/4	1/4	4/4	2	1	iv		d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
15	15	15	15a	58	58	1.0	1/2	1/2	4/4	2	1	V(b964)		d	i		V(b964)	V			b964				M	1	1	1, 0, -3	-11	1	1
15	15	15	15a	59	59	1.0	3/4	3/4	4/4	2	1	V(64)		d	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
16	16	16	16a	60	60	2.0	0	0	4/4	2	1	V7		d	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
16	16	16	16a	62	62	0.6666666666666643	1/2	1/2	4/4	2	1	i(9)}		d	i		i(9)	i			9			}	m	1	1	0, -3, 1	2	0	0
16	16	16	16a	188/3	188/3	1.0	2/3	2/3	4/4	2	1	i(#7)		d	i		i(#7)	i			#7				m	1	1	0, -3, 1	5	0	0
16	16	16	16a	191/3	191/3	0.3333333333333357	11/12	11/12	4/4	2	1	i|PAC		d	i		i	i					PAC		m	1	1	0, -3, 1		0	0
17	17	17	17a	64	64	2.0	0	0	4/4	2	1	III.V2{		d	III		V2	V		2				{	Mm7	1	0	-1, 1, 5, 2		1	-1
17	17	17	17a	66	66	2.0	1/2	1/2	4/4	2	1	I6		d	III		I6	I		6					M	1	0	4, 1, 0		0	4
18	18	18	18a	68	68	1.0	0	0	4/4	2	1	vii%65		d	III		vii%65	vii	%	65					%7	1	0	2, -1, 3, 5		5	2
18	18	18	18a	69	69	1.0	1/4	1/4	4/4	2	1	V43		d	III		V43	V		43					Mm7	1	0	2, -1, 1, 5		1	2
18	18	18	18a	70	70	1.0	1/2	1/2	4/4	2	1	I(4)}		d	III		I(4)	I			4			}	M	1	0	0, -1, 1		0	0
18	18	18	18a	71	71	0.6666666666666714	3/4	3/4	4/4	2	1	I(6)		d	III		I(6)	I			6				M	1	0	0, 4, 3		0	0
18	18	18	18a	215/3	215/3	0.3333333333333286	11/12	11/12	4/4	2	1	I		d	III		I	I							M	1	0	0, 4, 1		0	0
19	19	19	19a	72	72	2.0	0	0	4/4	2	1	V2{		d	III		V2	V		2				{	Mm7	1	0	-1, 1, 5, 2		1	-1
19	19	19	19a	74	74	2.0	1/2	1/2	4/4	2	1	I6		d	III		I6	I		6					M	1	0	4, 1, 0		0	4
20	20	20	20a	76	76	1.0	0	0	4/4	2	1	i.ii%65		d	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
20	20	20	20a	77	77	1.0	1/4	1/4	4/4	2	1	V2		d	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
20	20	20	20a	78	78	1.0	1/2	1/2	4/4	2	1	i6(#76)}		d	i		i6(#76)	i		6	#76			}	m	1	1	-3, -4, 5		0	-3
20	20	20	20a	79	79	0.6666666666666714	3/4	3/4	4/4	2	1	i6(9)		d	i		i6(9)	i		6	9				m	1	1	-3, 1, 0	2	0	-3
20	20	20	20a	239/3	239/3	0.3333333333333286	11/12	11/12	4/4	2	1	i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
21	21	21	21a	80	80	1.0	0	0	4/4	2	1	V65(6){		d	i		V65(6)	V		65	6			{	Mm7	1	1	5, -3, -1, 1		1	5
21	21	21	21a	81	81	1.0	1/4	1/4	4/4	2	1	V65		d	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
21	21	21	21a	82	82	1.0	1/2	1/2	4/4	2	1	ii%43		d	i		ii%43	ii	%	43					%7	1	1	-4, 0, 2, -1		2	-4
21	21	21	21a	83	83	0.6666666666666714	3/4	3/4	4/4	2	1	V7(9)|HC}		d	i		V7(9)	V		7	9		HC	}	Mm7	1	1	1, 5, 2, -1	-4	1	1
21	21	21	21a	251/3	251/3	0.3333333333333286	11/12	11/12	4/4	2	1	V7		d	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
22	22	22	22a	84	84	1.0	0	0	4/4	2	1	iv.V6{		d	iv		V6	V		6				{	M	1	1	5, 2, 1		1	5
22	22	22	22a	85	85	0.6666666666666714	1/4	1/4	4/4	2	1	V65(6)		d	iv		V65(6)	V		65	6				Mm7	1	1	5, -3, -1, 1		1	5
22	22	22	22a	257/3	257/3	0.3333333333333286	5/12	5/12	4/4	2	1	V65		d	iv		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
22	22	22	22a	86	86	1.0	1/2	1/2	4/4	2	1	i(9)}		d	iv		i(9)	i			9			}	m	1	1	0, -3, 1	2	0	0
22	22	22	22a	87	87	0.6666666666666714	3/4	3/4	4/4	2	1	i(97)		d	iv		i(97)	i			97				m	1	1	0, -3, 1	2, -2	0	0
22	22	22	22a	263/3	263/3	0.3333333333333286	11/12	11/12	4/4	2	1	i		d	iv		i	i							m	1	1	0, -3, 1		0	0
23	23	23	23a	88	88	1.0	0	0	4/4	2	1	III.V(4){		d	III		V(4)	V			4			{	M	1	0	1, 0, 2		1	1
23	23	23	23a	89	89	0.6666666666666714	1/4	1/4	4/4	2	1	V(6)		d	III		V(6)	V			6				M	1	0	1, 5, 4		1	1
23	23	23	23a	269/3	269/3	0.3333333333333286	5/12	5/12	4/4	2	1	V		d	III		V	V							M	1	0	1, 5, 2		1	1
23	23	23	23a	90	90	1.0	1/2	1/2	4/4	2	1	I(9)}		d	III		I(9)	I			9			}	M	1	0	0, 4, 1	2	0	0
23	23	23	23a	91	91	0.6666666666666714	3/4	3/4	4/4	2	1	I(97)		d	III		I(97)	I			97				M	1	0	0, 4, 1	2, 5	0	0
23	23	23	23a	275/3	275/3	0.3333333333333286	11/12	11/12	4/4	2	1	I+		d	III		I+	I	+						+	1	0	0, 4, 8		0	0
24	24	24	24a	92	92	1.0	0	0	4/4	2	1	i.VI(4){	IV(4)/III{	d	i		VI(4)	VI			4			{	M	1	1	-4, 2, -3		-4	-4
24	24	24	24a	93	93	0.6666666666666714	1/4	1/4	4/4	2	1	VI(6)	IV(6)/III	d	i		VI(6)	VI			6				M	1	1	-4, 0, -1		-4	-4
24	24	24	24a	281/3	281/3	0.3333333333333286	5/12	5/12	4/4	2	1	VI	IV/III	d	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
24	24	24	24a	94	94	2.0	1/2	1/2	4/4	2	1	iv7	ii7/III	d	i		iv7	iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
25	25	25	25a	96	96	2.0	0	0	4/4	2	1	ii%7		d	i		ii%7	ii	%	7					%7	1	1	2, -1, -4, 0		2	2
25	25	25	25a	98	98	1.0	1/2	1/2	4/4	2	1	V(4)}		d	i		V(4)	V			4			}	M	1	1	1, 0, 2		1	1
25	25	25	25a	99	99	1.0	3/4	3/4	4/4	2	1	V|HC		d	i		V	V					HC		M	1	1	1, 5, 2		1	1
26	26	26	26a	100	100	1.0	0	0	4/4	2	1	iv.V6{		d	iv		V6	V		6				{	M	1	1	5, 2, 1		1	5
26	26	26	26a	101	101	0.6666666666666714	1/4	1/4	4/4	2	1	V65(6)		d	iv		V65(6)	V		65	6				Mm7	1	1	5, -3, -1, 1		1	5
26	26	26	26a	305/3	305/3	0.3333333333333286	5/12	5/12	4/4	2	1	V65		d	iv		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
26	26	26	26a	102	102	1.0	1/2	1/2	4/4	2	1	i(9)}		d	iv		i(9)	i			9			}	m	1	1	0, -3, 1	2	0	0
26	26	26	26a	103	103	0.6666666666666714	3/4	3/4	4/4	2	1	i(97)		d	iv		i(97)	i			97				m	1	1	0, -3, 1	2, -2	0	0
26	26	26	26a	311/3	311/3	0.3333333333333286	11/12	11/12	4/4	2	1	i		d	iv		i	i							m	1	1	0, -3, 1		0	0
27	27	27	27a	104	104	1.0	0	0	4/4	2	1	III.V(4){		d	III		V(4)	V			4			{	M	1	0	1, 0, 2		1	1
27	27	27	27a	105	105	0.6666666666666714	1/4	1/4	4/4	2	1	V(6)		d	III		V(6)	V			6				M	1	0	1, 5, 4		1	1
27	27	27	27a	317/3	317/3	0.3333333333333286	5/12	5/12	4/4	2	1	V		d	III		V	V							M	1	0	1, 5, 2		1	1
27	27	27	27a	106	106	1.0	1/2	1/2	4/4	2	1	I(9)}		d	III		I(9)	I			9			}	M	1	0	0, 4, 1	2	0	0
27	27	27	27a	107	107	0.6666666666666714	3/4	3/4	4/4	2	1	I(97)		d	III		I(97)	I			97				M	1	0	0, 4, 1	2, 5	0	0
27	27	27	27a	323/3	323/3	0.3333333333333286	11/12	11/12	4/4	2	1	I+		d	III		I+	I	+						+	1	0	0, 4, 8		0	0
28	28	28	28a	108	108	1.0	0	0	4/4	2	1	i.VI(4){	IV(4)/III{	d	i		VI(4)	VI			4			{	M	1	1	-4, 2, -3		-4	-4
28	28	28	28a	109	109	0.6666666666666714	1/4	1/4	4/4	2	1	VI(6)	IV(6)/III	d	i		VI(6)	VI			6				M	1	1	-4, 0, -1		-4	-4
28	28	28	28a	329/3	329/3	0.3333333333333286	5/12	5/12	4/4	2	1	VI	IV/III	d	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
28	28	28	28a	110	110	2.0	1/2	1/2	4/4	2	1	iv7	ii7/III	d	i		iv7	iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
29	29	29	29a	112	112	2.0	0	0	4/4	2	1	ii%7		d	i		ii%7	ii	%	7					%7	1	1	2, -1, -4, 0		2	2
29	29	29	29a	114	114	1.0	1/2	1/2	4/4	2	1	V(4)}		d	i		V(4)	V			4			}	M	1	1	1, 0, 2		1	1
29	29	29	29a	115	115	1.0	3/4	3/4	4/4	2	1	V|HC		d	i		V	V					HC		M	1	1	1, 5, 2		1	1
30	30	30	30a	116	116	1.0	0	0	4/4	2	1	ii%65{		d	i		ii%65	ii	%	65				{	%7	1	1	-1, -4, 0, 2		2	-1
