mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0								Andantedolorosoemoltocantabile	80.0	1.0			
1	1	0	0	0.0	0	0	Dynamic	4/4	1	1	0					p								
1	1	1	1	2.0	1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	0							0		
1	1	3	3	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	1							0		
1	1	0	0	2.0	0	0	Chord	4/4	1	2	1/2		1/2	1	2									
1	1	2	2	2.0	1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	3									
1	1	0	0	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	4									
1	1	2	2	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	5									
2	2	4	4	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	6							0, 1		
2	2	9/2	9/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	7							0, 1		
2	2	5	5	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	8							0, 1		
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	9									
2	2	6	6	1.5	1/2	1/2	Chord	4/4	1	1	3/8		1/4	3/2	10							2		
2	2	15/2	15/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	11							2		
2	2	4	4	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	12									
2	2	6	6	2.0	1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	13									
2	2	4	4	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	14									
2	2	6	6	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	15							3		
2	2	6	6	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	16							4		
2	2	7	7	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	17							4		
3	3	8	8	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	18									
3	3	9	9	2.0	1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	19		articAccentAbove					5		
3	3	11	11	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	20							5		
3	3	8	8	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	21									
3	3	10	10	2.0	1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	22									
3	3	8	8	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	23									
3	3	10	10	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	24									
3	3	8	8	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	25									
3	3	10	10	2.0	1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	26									
4	4	12	12	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	27							6		
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	28							6		
4	4	13	13	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	29							6		
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	30									
4	4	14	14	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	31							7		
4	4	15	15	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	32									
4	4	12	12	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	33									
4	4	13	13	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	34									
4	4	14	14	2.0	1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	35									
4	4	13	13	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	36									
4	4	14	14	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	37									
4	4	12	12	2.0	0	0	Chord	4/4	2	2	1/2		1/2	1	38									
4	4	14	14	2.0	1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	39									
5	5	49/3	49/3	0.0	1/12	1/12	StaffText	4/4	1	1	0							poco cresc.						
5	5	49/3	49/3	0.3333333333333333	1/12	1/12	Chord	4/4	1	1	1/12		1/8	2/3	40		articTenutoBelow							
5	5	50/3	50/3	0.3333333333333333	1/6	1/6	Chord	4/4	1	1	1/12		1/8	2/3	41		articTenutoBelow							
5	5	17	17	0.3333333333333333	1/4	1/4	Chord	4/4	1	1	1/12		1/8	2/3	42		articTenutoAbove							
5	5	52/3	52/3	0.3333333333333333	1/3	1/3	Chord	4/4	1	1	1/12		1/8	2/3	43		articTenutoAbove							
5	5	53/3	53/3	0.3333333333333333	5/12	5/12	Chord	4/4	1	1	1/12		1/8	2/3	44		articTenutoAbove							
5	5	18	18	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	45		articAccentAbove							
5	5	17	17	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	46									
5	5	19	19	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	47									
5	5	16	16	2.0	0	0	Chord	4/4	2	2	1/2		1/2	1	48									
5	5	18	18	2.0	1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	49									
6	6	20	20	0.3333333333333333	0	0	Chord	4/4	1	1	1/12		1/8	2/3	50									
6	6	61/3	61/3	0.3333333333333333	1/12	1/12	Chord	4/4	1	1	1/12		1/8	2/3	51		articTenutoAbove							
6	6	62/3	62/3	0.3333333333333333	1/6	1/6	Chord	4/4	1	1	1/12		1/8	2/3	52		articTenutoAbove							
6	6	21	21	0.3333333333333333	1/4	1/4	Chord	4/4	1	1	1/12		1/8	2/3	53		articTenutoAbove							
6	6	64/3	64/3	0.3333333333333333	1/3	1/3	Chord	4/4	1	1	1/12		1/8	2/3	54		articTenutoAbove							
6	6	65/3	65/3	0.3333333333333333	5/12	5/12	Chord	4/4	1	1	1/12		1/8	2/3	55		articTenutoAbove							
6	6	22	22	1.5	1/2	1/2	Chord	4/4	1	1	3/8		1/4	3/2	56		articAccentAbove					8		
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	57									
