mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin
1	1	0	0	0.0	0	0	StaffText	2/4	1	1	0							"<font size=""12""/><b>Andantino espressivo</b>"								
1	1	0	0	0.0	0	0	Dynamic	2/4	1	1	0					p										
1	1	0	0	0.0	0	0	Tempo	2/4	1	1	0								𝅘𝅥=40	40.0	𝅘𝅥	40.0	0.0			
1	1	0	0	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	0											
1	1	1	1	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	1											
1	1	1/2	1/2	1.0	1/8	1/8	Chord	2/4	2	2	1/4		1/4	1	2											
1	1	3/2	3/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	3											
2	2	2	2	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	4											
2	2	3	3	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	5											
2	2	2	2	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	6											
2	2	5/2	5/2	1.0	1/8	1/8	Chord	2/4	2	2	1/4		1/4	1	7											
2	2	7/2	7/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	8											
3	3	9/2	9/2	0.0	1/8	1/8	Dynamic	2/4	1	1	0					p										
3	3	9/2	9/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	9		articStaccatoBelow									
3	3	19/4	19/4	0.08333333333333333	3/16	3/16	Chord	2/4	1	1	1/48		1/32	2/3	10									0		
3	3	29/6	29/6	0.08333333333333333	5/24	5/24	Chord	2/4	1	1	1/48		1/32	2/3	11									0		
3	3	59/12	59/12	0.08333333333333333	11/48	11/48	Chord	2/4	1	1	1/48		1/32	2/3	12											
3	3	5	5	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	13									1		
3	3	23/4	23/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	14											
3	3	4	4	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	15											
3	3	5	5	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	16											
3	3	9/2	9/2	1.0	1/8	1/8	Chord	2/4	2	2	1/4		1/4	1	17											
3	3	11/2	11/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	18											
4	4	6	6	0.0	0	0	Spanner	2/4	1	1	0															0
4	4	6	6	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	19									2		0
4	4	25/4	25/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	20									2		0
4	4	13/2	13/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	21									2		0
4	4	27/4	27/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	22											0
4	4	7	7	0.0	1/4	1/4	Spanner	2/4	1	1	0															
4	4	7	7	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	23		articAccentAbove							3		
4	4	31/4	31/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	24									4		
4	4	6	6	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	25											
4	4	7	7	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	26											
4	4	6	6	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	27											
4	4	13/2	13/2	1.0	1/8	1/8	Chord	2/4	2	2	1/4		1/4	1	28											
4	4	15/2	15/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	29											
5	5	8	8	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	30											
5	5	17/2	17/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	31											
5	5	19/2	19/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	32											
5	5	8	8	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	33											
5	5	9	9	0.75	1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	34									5		
5	5	39/4	39/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	35											
5	5	8	8	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	36											
5	5	17/2	17/2	0.25	1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	37		articStaccatoBelow									
5	5	35/4	35/4	0.08333333333333333	3/16	3/16	Chord	2/4	2	2	1/48		1/32	2/3	38									6		
5	5	53/6	53/6	0.08333333333333333	5/24	5/24	Chord	2/4	2	2	1/48		1/32	2/3	39									6		
5	5	107/12	107/12	0.08333333333333333	11/48	11/48	Chord	2/4	2	2	1/48		1/32	2/3	40											
6	6	21/2	21/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	41											
6	6	23/2	23/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	42											
6	6	10	10	0.0	0	0	Spanner	2/4	2	1	0															1
6	6	10	10	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	43									7		1
6	6	41/4	41/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	44									7		1
6	6	21/2	21/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	45									7		1
6	6	43/4	43/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	46											1
6	6	11	11	0.0	1/4	1/4	Spanner	2/4	2	1	0															
6	6	11	11	0.75	1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	47		articAccentAbove							8		
6	6	47/4	47/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	48											
7	7	25/2	25/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	49		articStaccatoBelow									
7	7	51/4	51/4	0.08333333333333333	3/16	3/16	Chord	2/4	1	1	1/48		1/32	2/3	50									9		
7	7	77/6	77/6	0.08333333333333333	5/24	5/24	Chord	2/4	1	1	1/48		1/32	2/3	51									9		
7	7	155/12	155/12	0.08333333333333333	11/48	11/48	Chord	2/4	1	1	1/48		1/32	2/3	52											
7	7	13	13	0.0	1/4	1/4	Spanner	2/4	1	1	0															2
7	7	13	13	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	53									10		2
7	7	55/4	55/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	54											2
7	7	25/2	25/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	55											
7	7	27/2	27/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	56											
