mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	decrescendo_hairpin	crescendo_hairpin	Ottava:8va
2	2	9/2	9/2	1.5	0	0	Chord	9/8	2	1	3/8	1/4	3/2	18							
2	2	6	6	1.5	3/8	3/8	Chord	9/8	2	1	3/8	1/4	3/2	19							
2	2	15/2	15/2	1.5	3/4	3/4	Chord	9/8	2	1	3/8	1/4	3/2	20							
3	3	9	9	0.0	0	0	Spanner	9/8	1	1	0								0		
3	3	9	9	0.5	0	0	Chord	9/8	1	1	1/8	1/8	1	21				3	0		
3	3	19/2	19/2	0.5	1/8	1/8	Chord	9/8	1	1	1/8	1/8	1	22				3	0		
3	3	10	10	0.5	1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	23				3	0		
3	3	21/2	21/2	0.0	3/8	3/8	Spanner	9/8	1	1	0										
3	3	21/2	21/2	1.5	3/8	3/8	Chord	9/8	1	1	3/8	1/4	3/2	24							
3	3	12	12	0.5	3/4	3/4	Chord	9/8	1	1	1/8	1/8	1	25				4			
3	3	25/2	25/2	0.5	7/8	7/8	Chord	9/8	1	1	1/8	1/8	1	26				4			
3	3	13	13	0.5	1	1	Chord	9/8	1	1	1/8	1/8	1	27							
3	3	9	9	1.5	0	0	Chord	9/8	1	2	3/8	1/4	3/2	28							
3	3	12	12	1.5	3/4	3/4	Chord	9/8	1	2	3/8	1/4	3/2	29							
3	3	9	9	1.5	0	0	Chord	9/8	2	1	3/8	1/4	3/2	30							
3	3	21/2	21/2	0.5	3/8	3/8	Chord	9/8	2	1	1/8	1/8	1	31				5			
3	3	11	11	0.5	1/2	1/2	Chord	9/8	2	1	1/8	1/8	1	32				5			
3	3	23/2	23/2	0.5	5/8	5/8	Chord	9/8	2	1	1/8	1/8	1	33				5			
3	3	12	12	1.5	3/4	3/4	Chord	9/8	2	1	3/8	1/4	3/2	34							
3	3	9	9	1.5	0	0	Chord	9/8	2	2	3/8	1/4	3/2	35							
3	3	21/2	21/2	1.5	3/8	3/8	Chord	9/8	2	2	3/8	1/4	3/2	36							
3	3	12	12	1.5	3/4	3/4	Chord	9/8	2	2	3/8	1/4	3/2	37							
4	4	27/2	27/2	1.0	0	0	Chord	9/8	1	1	1/4	1/4	1	38				6			
4	4	29/2	29/2	0.5	1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	39							
4	4	15	15	1.5	3/8	3/8	Chord	9/8	1	1	3/8	1/4	3/2	40							
4	4	33/2	33/2	1.5	3/4	3/4	Chord	9/8	1	1	3/8	1/4	3/2	41							
4	4	27/2	27/2	1.0	0	0	Chord	9/8	1	2	1/4	1/4	1	42				7			
4	4	29/2	29/2	0.5	1/4	1/4	Chord	9/8	1	2	1/8	1/8	1	43							
4	4	15	15	0.5	3/8	3/8	Chord	9/8	1	2	1/8	1/8	1	44				8			
4	4	31/2	31/2	0.5	1/2	1/2	Chord	9/8	1	2	1/8	1/8	1	45				8			
4	4	16	16	0.5	5/8	5/8	Chord	9/8	1	2	1/8	1/8	1	46							
4	4	33/2	33/2	1.0	3/4	3/4	Chord	9/8	1	2	1/4	1/4	1	47				9			
4	4	35/2	35/2	0.5	1	1	Chord	9/8	1	2	1/8	1/8	1	48							
4	4	27/2	27/2	1.0	0	0	Chord	9/8	2	1	1/4	1/4	1	49				10			
4	4	29/2	29/2	0.5	1/4	1/4	Chord	9/8	2	1	1/8	1/8	1	50							
4	4	16	16	0.5	5/8	5/8	Chord	9/8	2	1	1/8	1/8	1	51							
4	4	33/2	33/2	1.0	3/4	3/4	Chord	9/8	2	1	1/4	1/4	1	52				11			
4	4	35/2	35/2	0.5	1	1	Chord	9/8	2	1	1/8	1/8	1	53							
4	4	27/2	27/2	1.0	0	0	Chord	9/8	2	2	1/4	1/4	1	54				12			
4	4	29/2	29/2	0.5	1/4	1/4	Chord	9/8	2	2	1/8	1/8	1	55							
4	4	15	15	1.5	3/8	3/8	Chord	9/8	2	2	3/8	1/4	3/2	56							
4	4	33/2	33/2	1.5	3/4	3/4	Chord	9/8	2	2	3/8	1/4	3/2	57							
5	5	18	18	0.0	0	0	Spanner	9/8	1	1	0									1	
5	5	18	18	1.0	0	0	Chord	9/8	1	1	1/4	1/4	1	58				13		1	
5	5	19	19	0.5	1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	59						1	
5	5	39/2	39/2	1.5	3/8	3/8	Chord	9/8	1	1	3/8	1/4	3/2	60						1	
5	5	21	21	1.0	3/4	3/4	Chord	9/8	1	1	1/4	1/4	1	61				14		1	
5	5	22	22	0.5	1	1	Chord	9/8	1	1	1/8	1/8	1	62						1	
5	5	18	18	1.5	0	0	Chord	9/8	1	2	3/8	1/4	3/2	63						1	
5	5	39/2	39/2	1.5	3/8	3/8	Chord	9/8	1	2	3/8	1/4	3/2	64						1	
5	5	21	21	1.5	3/4	3/4	Chord	9/8	1	2	3/8	1/4	3/2	65						1	
5	5	18	18	1.5	0	0	Chord	9/8	2	1	3/8	1/4	3/2	66							
5	5	39/2	39/2	1.5	3/8	3/8	Chord	9/8	2	1	3/8	1/4	3/2	67							
5	5	21	21	1.5	3/4	3/4	Chord	9/8	2	1	3/8	1/4	3/2	68							
6	6	45/2	45/2	1.5	0	0	Chord	9/8	1	1	3/8	1/4	3/2	69						1	
6	6	24	24	0.0	3/8	3/8	Spanner	9/8	1	1	0										
6	6	24	24	1.0	3/8	3/8	Chord	9/8	1	1	1/4	1/4	1	70				15			
6	6	25	25	0.5	5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	71							
6	6	51/2	51/2	1.5	3/4	3/4	Chord	9/8	1	1	3/8	1/4	3/2	72							
6	6	45/2	45/2	1.5	0	0	Chord	9/8	1	2	3/8	1/4	3/2	73							
6	6	24	24	1.5	3/8	3/8	Chord	9/8	1	2	3/8	1/4	3/2	74							
6	6	51/2	51/2	1.5	3/4	3/4	Chord	9/8	1	2	3/8	1/4	3/2	75							
6	6	45/2	45/2	1.5	0	0	Chord	9/8	2	1	3/8	1/4	3/2	76							
6	6	24	24	1.5	3/8	3/8	Chord	9/8	2	1	3/8	1/4	3/2	77							
6	6	51/2	51/2	0.0	3/4	3/4	StaffText	9/8	2	1	0						"<font size=""11.2544""/><font face=""Plantin MT Std""/>poco cresc."				
6	6	51/2	51/2	1.5	3/4	3/4	Chord	9/8	2	1	3/8	1/4	3/2	78							
7	7	27	27	0.5	0	0	Chord	9/8	1	1	1/8	1/8	1	79				16			
7	7	55/2	55/2	0.5	1/8	1/8	Chord	9/8	1	1	1/8	1/8	1	80				16			
7	7	28	28	0.5	1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	81							
7	7	57/2	57/2	1.0	3/8	3/8	Chord	9/8	1	1	1/4	1/4	1	82							
7	7	59/2	59/2	0.5	5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	83							
7	7	30	30	0.5	3/4	3/4	Chord	9/8	1	1	1/8	1/8	1	84				17			
7	7	61/2	61/2	0.5	7/8	7/8	Chord	9/8	1	1	1/8	1/8	1	85				17			
7	7	31	31	0.5	1	1	Chord	9/8	1	1	1/8	1/8	1	86							
7	7	27	27	1.5	0	0	Chord	9/8	1	2	3/8	1/4	3/2	87							
7	7	57/2	57/2	1.5	3/8	3/8	Chord	9/8	1	2	3/8	1/4	3/2	88							
7	7	30	30	1.5	3/4	3/4	Chord	9/8	1	2	3/8	1/4	3/2	89							
7	7	27	27	1.5	0	0	Chord	9/8	2	1	3/8	1/4	3/2	90							
7	7	57/2	57/2	1.5	3/8	3/8	Chord	9/8	2	1	3/8	1/4	3/2	91							
7	7	30	30	1.5	3/4	3/4	Chord	9/8	2	1	3/8	1/4	3/2	92							
8	8	63/2	63/2	1.0	0	0	Chord	9/8	1	1	1/4	1/4	1	93							
8	8	65/2	65/2	0.0	1/4	1/4	Dynamic	9/8	1	1	0				pp						
8	8	65/2	65/2	0.5	1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	94							
8	8	33	33	0.5	3/8	3/8	Chord	9/8	1	1	1/8	1/8	1	95				18			
8	8	67/2	67/2	0.5	1/2	1/2	Chord	9/8	1	1	1/8	1/8	1	96				18			
8	8	34	34	0.5	5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	97							
8	8	69/2	69/2	0.0	3/4	3/4	StaffText	9/8	1	1	0						"<font size=""12.2776""/><font face=""Plantin MT Std""/><b>poco riten.</b>"				
8	8	69/2	69/2	1.5	3/4	3/4	Chord	9/8	1	1	3/8	1/4	3/2	98							
8	8	63/2	63/2	1.5	0	0	Chord	9/8	1	2	3/8	1/4	3/2	99							
8	8	33	33	1.5	3/8	3/8	Chord	9/8	1	2	3/8	1/4	3/2	100							
8	8	69/2	69/2	1.5	3/4	3/4	Chord	9/8	1	2	3/8	1/4	3/2	101							
8	8	63/2	63/2	1.5	0	0	Chord	9/8	2	1	3/8	1/4	3/2	102							
8	8	33	33	1.5	3/8	3/8	Chord	9/8	2	1	3/8	1/4	3/2	103							
8	8	69/2	69/2	0.5	3/4	3/4	Chord	9/8	2	1	1/8	1/8	1	104				19			
8	8	35	35	0.5	7/8	7/8	Chord	9/8	2	1	1/8	1/8	1	105				19			
8	8	71/2	71/2	0.5	1	1	Chord	9/8	2	1	1/8	1/8	1	106							
8	8	63/2	63/2	1.5	0	0	Chord	9/8	2	2	3/8	1/4	3/2	107							
8	8	33	33	1.5	3/8	3/8	Chord	9/8	2	2	3/8	1/4	3/2	108							
8	8	69/2	69/2	1.5	3/4	3/4	Chord	9/8	2	2	3/8	1/4	3/2	109							
9	9	73/2	73/2	0.0	1/8	1/8	Spanner	9/8	1	1	0										0
9	9	73/2	73/2	0.5	1/8	1/8	Chord	9/8	1	1	1/8	1/8	1	110				20			0
9	9	37	37	0.5	1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	111				20			0
9	9	75/2	75/2	0.5	3/8	3/8	Chord	9/8	1	1	1/8	1/8	1	112							0
9	9	38	38	0.5	1/2	1/2	Chord	9/8	1	1	1/8	1/8	1	113				21			0
9	9	77/2	77/2	0.5	5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	114				21			0
9	9	39	39	1.0	3/4	3/4	Chord	9/8	1	1	1/4	1/4	1	115							0
9	9	40	40	0.0	1	1	Spanner	9/8	1	1	0										
9	9	39	39	1.0	3/4	3/4	Chord	9/8	1	2	1/4	1/4	1	116							
9	9	36	36	3.0	0	0	Chord	9/8	2	1	3/4	1/2	3/2	117							
9	9	39	39	1.0	3/4	3/4	Chord	9/8	2	1	1/4	1/4	1	118							
9	9	36	36	3.0	0	0	Chord	9/8	2	2	3/4	1/2	3/2	119							
9	9	39	39	1.0	3/4	3/4	Chord	9/8	2	2	1/4	1/4	1	120							
10	10	81/2	81/2	0.0	0	0	Dynamic	9/8	1	1	0				p						
10	10	81/2	81/2	0.0	0	0	StaffText	9/8	1	1	0						"<font size=""12.2776""/><font face=""Plantin MT Std""/><b>a tempo</b>"				
10	10	81/2	81/2	0.5	0	0	Chord	9/8	1	1	1/8	1/8	1	121				22			
10	10	41	41	0.5	1/8	1/8	Chord	9/8	1	1	1/8	1/8	1	122				22			
10	10	83/2	83/2	0.5	1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	123				22			
10	10	42	42	0.5	3/8	3/8	Chord	9/8	1	1	1/8	1/8	1	124				22			
10	10	85/2	85/2	0.5	1/2	1/2	Chord	9/8	1	1	1/8	1/8	1	125				22			
10	10	43	43	0.5	5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	126				22			
10	10	87/2	87/2	1.5	3/4	3/4	Chord	9/8	1	1	3/8	1/4	3/2	127							
10	10	81/2	81/2	3.0	0	0	Chord	9/8	1	2	3/4	1/2	3/2	128							
10	10	87/2	87/2	1.5	3/4	3/4	Chord	9/8	1	2	3/8	1/4	3/2	129							
10	10	81/2	81/2	3.0	0	0	Chord	9/8	2	1	3/4	1/2	3/2	130							
10	10	87/2	87/2	1.5	3/4	3/4	Chord	9/8	2	1	3/8	1/4	3/2	131							
10	10	81/2	81/2	3.0	0	0	Chord	9/8	2	2	3/4	1/2	3/2	132							
10	10	87/2	87/2	1.5	3/4	3/4	Chord	9/8	2	2	3/8	1/4	3/2	133							
11	11	91/2	91/2	0.5	1/8	1/8	Chord	9/8	2	1	1/8	1/8	1	134		articStaccatoAbove		23			
11	11	46	46	0.5	1/4	1/4	Chord	9/8	2	1	1/8	1/8	1	135		articStaccatoAbove		23			
11	11	93/2	93/2	0.5	3/8	3/8	Chord	9/8	2	1	1/8	1/8	1	136		articStaccatoBelow		23			
11	11	47	47	0.5	1/2	1/2	Chord	9/8	2	1	1/8	1/8	1	137		articStaccatoBelow		23			
11	11	95/2	95/2	0.5	5/8	5/8	Chord	9/8	2	1	1/8	1/8	1	138		articStaccatoBelow		23			
11	11	48	48	0.5	3/4	3/4	Chord	9/8	2	1	1/8	1/8	1	139		articStaccatoBelow		23			
11	11	97/2	97/2	0.5	7/8	7/8	Chord	9/8	2	1	1/8	1/8	1	140		articStaccatoBelow		23			
11	11	49	49	0.5	1	1	Chord	9/8	2	1	1/8	1/8	1	141		articStaccatoBelow					
12	12	99/2	99/2	0.5	0	0	Chord	9/8	1	1	1/8	1/8	1	142				24			
12	12	50	50	0.5	1/8	1/8	Chord	9/8	1	1	1/8	1/8	1	143				24			
12	12	101/2	101/2	0.5	1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	144				24			
12	12	51	51	0.5	3/8	3/8	Chord	9/8	1	1	1/8	1/8	1	145				24			
12	12	103/2	103/2	0.5	1/2	1/2	Chord	9/8	1	1	1/8	1/8	1	146				24			
12	12	52	52	0.5	5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	147				24			
12	12	105/2	105/2	1.5	3/4	3/4	Chord	9/8	1	1	3/8	1/4	3/2	148							
12	12	99/2	99/2	3.0	0	0	Chord	9/8	1	2	3/4	1/2	3/2	149							
12	12	105/2	105/2	1.5	3/4	3/4	Chord	9/8	1	2	3/8	1/4	3/2	150							
12	12	99/2	99/2	3.0	0	0	Chord	9/8	2	1	3/4	1/2	3/2	151							
12	12	105/2	105/2	1.5	3/4	3/4	Chord	9/8	2	1	3/8	1/4	3/2	152							
12	12	99/2	99/2	3.0	0	0	Chord	9/8	2	2	3/4	1/2	3/2	153							
12	12	105/2	105/2	1.5	3/4	3/4	Chord	9/8	2	2	3/8	1/4	3/2	154							
13	13	109/2	109/2	0.5	1/8	1/8	Chord	9/8	2	1	1/8	1/8	1	155		articStaccatoAbove		25			
13	13	55	55	0.5	1/4	1/4	Chord	9/8	2	1	1/8	1/8	1	156		articStaccatoAbove		25			
13	13	111/2	111/2	0.5	3/8	3/8	Chord	9/8	2	1	1/8	1/8	1	157		articStaccatoAbove		25			
13	13	56	56	0.5	1/2	1/2	Chord	9/8	2	1	1/8	1/8	1	158		articStaccatoAbove		25			
13	13	113/2	113/2	0.5	5/8	5/8	Chord	9/8	2	1	1/8	1/8	1	159		articStaccatoAbove		25			
13	13	57	57	0.5	3/4	3/4	Chord	9/8	2	1	1/8	1/8	1	160		articStaccatoBelow		25			
13	13	115/2	115/2	0.5	7/8	7/8	Chord	9/8	2	1	1/8	1/8	1	161		articStaccatoBelow		25			
13	13	58	58	0.5	1	1	Chord	9/8	2	1	1/8	1/8	1	162		articStaccatoBelow					
14	14	117/2	117/2	1.0	0	0	Chord	9/8	1	1	1/4	1/4	1	163				26			
14	14	119/2	119/2	0.5	1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	164							
14	14	60	60	1.5	3/8	3/8	Chord	9/8	1	1	3/8	1/4	3/2	165							
14	14	123/2	123/2	1.0	3/4	3/4	Chord	9/8	1	1	1/4	1/4	1	166				27			
14	14	125/2	125/2	0.5	1	1	Chord	9/8	1	1	1/8	1/8	1	167							
14	14	117/2	117/2	1.5	0	0	Chord	9/8	1	2	3/8	1/4	3/2	168							
14	14	60	60	1.5	3/8	3/8	Chord	9/8	1	2	3/8	1/4	3/2	169							
14	14	123/2	123/2	1.5	3/4	3/4	Chord	9/8	1	2	3/8	1/4	3/2	170							
14	14	117/2	117/2	0.0	0	0	Dynamic	9/8	2	1	0				p						
14	14	117/2	117/2	3.0	0	0	Chord	9/8	2	1	3/4	1/2	3/2	171							
14	14	123/2	123/2	1.5	3/4	3/4	Chord	9/8	2	1	3/8	1/4	3/2	172							
14	14	117/2	117/2	1.5	0	0	Chord	9/8	2	2	3/8	1/4	3/2	173							
14	14	60	60	1.5	3/8	3/8	Chord	9/8	2	2	3/8	1/4	3/2	174							
14	14	123/2	123/2	1.5	3/4	3/4	Chord	9/8	2	2	3/8	1/4	3/2	175							
15	15	63	63	0.0	0	0	Spanner	9/8	1	1	0									2	
15	15	63	63	1.5	0	0	Chord	9/8	1	1	3/8	1/4	3/2	176						2	
15	15	129/2	129/2	1.0	3/8	3/8	Chord	9/8	1	1	1/4	1/4	1	177				28		2	
15	15	131/2	131/2	0.5	5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	178						2	
15	15	66	66	0.0	3/4	3/4	Spanner	9/8	1	1	0										
15	15	66	66	1.5	3/4	3/4	Chord	9/8	1	1	3/8	1/4	3/2	179							
15	15	63	63	1.5	0	0	Chord	9/8	1	2	3/8	1/4	3/2	180							
15	15	129/2	129/2	1.5	3/8	3/8	Chord	9/8	1	2	3/8	1/4	3/2	181							
15	15	66	66	1.5	3/4	3/4	Chord	9/8	1	2	3/8	1/4	3/2	182							
15	15	63	63	1.5	0	0	Chord	9/8	2	1	3/8	1/4	3/2	183							
15	15	129/2	129/2	1.5	3/8	3/8	Chord	9/8	2	1	3/8	1/4	3/2	184							
15	15	66	66	1.5	3/4	3/4	Chord	9/8	2	1	3/8	1/4	3/2	185							
15	15	63	63	1.5	0	0	Chord	9/8	2	2	3/8	1/4	3/2	186							
15	15	129/2	129/2	1.5	3/8	3/8	Chord	9/8	2	2	3/8	1/4	3/2	187							
15	15	66	66	1.5	3/4	3/4	Chord	9/8	2	2	3/8	1/4	3/2	188							
16	16	135/2	135/2	0.5	0	0	Chord	9/8	1	1	1/8	1/8	1	189				29			
16	16	68	68	0.5	1/8	1/8	Chord	9/8	1	1	1/8	1/8	1	190				29			
16	16	137/2	137/2	0.5	1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	191							
16	16	69	69	1.5	3/8	3/8	Chord	9/8	1	1	3/8	1/4	3/2	192							
16	16	141/2	141/2	0.5	3/4	3/4	Chord	9/8	1	1	1/8	1/8	1	193				30			
16	16	71	71	0.5	7/8	7/8	Chord	9/8	1	1	1/8	1/8	1	194				30			
16	16	143/2	143/2	0.5	1	1	Chord	9/8	1	1	1/8	1/8	1	195							
16	16	135/2	135/2	1.5	0	0	Chord	9/8	1	2	3/8	1/4	3/2	196							
16	16	69	69	1.5	3/8	3/8	Chord	9/8	1	2	3/8	1/4	3/2	197							
16	16	141/2	141/2	0.5	3/4	3/4	Chord	9/8	1	2	1/8	1/8	1	198							
16	16	135/2	135/2	0.0	0	0	StaffText	9/8	2	1	0						"<font size=""11.2544""/><font face=""Plantin MT Std""/>espress."				
16	16	135/2	135/2	1.5	0	0	Chord	9/8	2	1	3/8	1/4	3/2	199							
16	16	69	69	0.5	3/8	3/8	Chord	9/8	2	1	1/8	1/8	1	200				31			
16	16	139/2	139/2	0.5	1/2	1/2	Chord	9/8	2	1	1/8	1/8	1	201				31			
16	16	70	70	0.5	5/8	5/8	Chord	9/8	2	1	1/8	1/8	1	202							
16	16	141/2	141/2	0.5	3/4	3/4	Chord	9/8	2	1	1/8	1/8	1	203							
16	16	135/2	135/2	1.5	0	0	Chord	9/8	2	2	3/8	1/4	3/2	204							
16	16	69	69	1.5	3/8	3/8	Chord	9/8	2	2	3/8	1/4	3/2	205							
16	16	141/2	141/2	0.5	3/4	3/4	Chord	9/8	2	2	1/8	1/8	1	206							
17	17	72	72	1.0	0	0	Chord	9/8	1	1	1/4	1/4	1	207				32			
17	17	73	73	0.5	1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	208							
17	17	147/2	147/2	3.0	3/8	3/8	Chord	9/8	1	1	3/4	1/2	3/2	209							
17	17	147/2	147/2	1.5	3/8	3/8	Chord	9/8	2	1	3/8	1/4	3/2	210				33			
17	17	75	75	0.5	3/4	3/4	Chord	9/8	2	1	1/8	1/8	1	211							
18	18	153/2	153/2	1.0	0	0	Chord	9/8	1	1	1/4	1/4	1	212				34			
18	18	155/2	155/2	0.5	1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	213							
18	18	78	78	3.0	3/8	3/8	Chord	9/8	1	1	3/4	1/2	3/2	214							
18	18	78	78	1.5	3/8	3/8	Chord	9/8	2	1	3/8	1/4	3/2	215				35			
18	18	159/2	159/2	0.5	3/4	3/4	Chord	9/8	2	1	1/8	1/8	1	216							
19	19	81	81	0.5	0	0	Chord	9/8	1	1	1/8	1/8	1	217							
19	19	163/2	163/2	0.5	1/8	1/8	Chord	9/8	1	1	1/8	1/8	1	218							
19	19	82	82	0.5	1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	219							
19	19	165/2	165/2	1.0	3/8	3/8	Chord	9/8	1	1	1/4	1/4	1	220				36			
19	19	167/2	167/2	0.5	5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	221				36			
19	19	84	84	1.5	3/4	3/4	Chord	9/8	1	1	3/8	1/4	3/2	222							
19	19	165/2	165/2	1.5	3/8	3/8	Chord	9/8	1	2	3/8	1/4	3/2	223				37			
19	19	84	84	1.5	3/4	3/4	Chord	9/8	1	2	3/8	1/4	3/2	224							
19	19	165/2	165/2	1.5	3/8	3/8	Chord	9/8	2	1	3/8	1/4	3/2	225				38			
19	19	84	84	1.5	3/4	3/4	Chord	9/8	2	1	3/8	1/4	3/2	226							
19	19	165/2	165/2	3.0	3/8	3/8	Chord	9/8	2	2	3/4	1/2	3/2	227							
20	20	171/2	171/2	0.0	0	0	Dynamic	2/4	1	1	0				mf						
20	20	171/2	171/2	0.0	0	0	StaffText	2/4	1	1	0						"<font size=""12.2776""/><font face=""Plantin MT Std""/><b>Allegretto giocoso</b>"				
20	20	171/2	171/2	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	228							
20	20	173/2	173/2	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	229							
20	20	171/2	171/2	0.75	0	0	Chord	2/4	1	2	3/16	1/8	3/2	230				39			
20	20	345/4	345/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16	1/16	1	231							
20	20	173/2	173/2	0.75	1/4	1/4	Chord	2/4	1	2	3/16	1/8	3/2	232				40			
20	20	349/4	349/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16	1/16	1	233							
20	20	343/4	343/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	234				41			
20	20	86	86	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	235							
20	20	347/4	347/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	236				42			
20	20	87	87	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	237							
20	20	343/4	343/4	0.75	1/16	1/16	Chord	2/4	2	2	3/16	1/8	3/2	238							
20	20	347/4	347/4	0.75	5/16	5/16	Chord	2/4	2	2	3/16	1/8	3/2	239							
21	21	175/2	175/2	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	240				43			
21	21	88	88	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	241				43			
21	21	177/2	177/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	242							
21	21	88	88	0.5	1/8	1/8	Chord	2/4	1	2	1/8	1/8	1	243							
21	21	177/2	177/2	0.5	1/4	1/4	Chord	2/4	1	2	1/8	1/8	1	244							
21	21	175/2	175/2	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	245				44			
21	21	351/4	351/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	246				44			
21	21	88	88	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	247				44			
21	21	353/4	353/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	248				44			
21	21	177/2	177/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	249				44			
21	21	355/4	355/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	250				44			
21	21	89	89	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	251				44			
21	21	357/4	357/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	252							
21	21	175/2	175/2	0.5	0	0	Chord	2/4	2	2	1/8	1/8	1	253							
22	22	179/2	179/2	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	254							
22	22	181/2	181/2	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	255							
22	22	179/2	179/2	0.75	0	0	Chord	2/4	1	2	3/16	1/8	3/2	256				45			
22	22	361/4	361/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16	1/16	1	257							
22	22	181/2	181/2	0.75	1/4	1/4	Chord	2/4	1	2	3/16	1/8	3/2	258				46			
22	22	365/4	365/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16	1/16	1	259							
22	22	359/4	359/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	260				47			
22	22	90	90	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	261							
