mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	decrescendo_hairpin	crescendo_hairpin
1	1	0	0	0.0	0	0	Dynamic	4/4	1	1	0					mf					
1	1	0	0	0.0	0	0	StaffText	4/4	1	1	0							"<font size=""12.2776""/><font face=""Plantin MT Std""/><b>Allegro moderato</b>"			
1	1	0	0	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	0		articStaccatoAbove				
1	1	1/2	1/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	1		articStaccatoAbove				
1	1	1	1	2.0	1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	2		articAccentAbove				
1	1	3	3	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	3				0		
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	4				0		
1	1	2	2	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	5						
1	1	0	0	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	6		articStaccatoAbove				
1	1	1/2	1/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	7		articStaccatoAbove				
1	1	1	1	2.0	1/4	1/4	Chord	4/4	2	1	1/2		1/2	1	8		articAccentAbove				
1	1	3	3	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	9				1		
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	10				1		
1	1	2	2	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	11						
2	2	4	4	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	12						
2	2	9/2	9/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	13		articStaccatoAbove				
2	2	5	5	2.0	1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	14		articAccentAbove				
2	2	7	7	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	15				2		
2	2	15/2	15/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	16				2		
2	2	6	6	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	17						
2	2	4	4	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	18						
2	2	9/2	9/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	19		articStaccatoAbove				
2	2	5	5	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	20		articAccentAbove				
2	2	7	7	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	21				3		
2	2	15/2	15/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	22				3		
2	2	6	6	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	23						
3	3	8	8	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	24						
3	3	17/2	17/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	25		articStaccatoAbove				
3	3	9	9	2.0	1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	26		articAccentAbove				
3	3	11	11	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	27				4		
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	28				4		
3	3	10	10	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	29						
3	3	8	8	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	30						
3	3	17/2	17/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	31		articStaccatoAbove				
