mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin	Ottava:8va
2	2	4	4	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	19												
2	2	3	3	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	20		articStaccatoBelow							6			
2	2	7/2	7/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	21		articStaccatoBelow										
2	2	4	4	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	22									7			
2	2	5	5	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	23												
3	3	6	6	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	24											0	
3	3	13/2	13/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	25									8		0	
3	3	27/4	27/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	26											0	
3	3	7	7	0.0	1/4	1/4	Spanner	3/4	1	1	0																
3	3	7	7	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	27									9			
3	3	15/2	15/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	28												
3	3	8	8	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	29												
3	3	7	7	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	30												
3	3	8	8	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	31												
3	3	7	7	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	32												
3	3	8	8	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	33												
4	4	9	9	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	34												
4	4	19/2	19/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	35												
4	4	39/4	39/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	36												
4	4	10	10	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	37									10			
4	4	21/2	21/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	38									10, 11			
4	4	11	11	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	39									10			
4	4	23/2	23/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	40												
4	4	10	10	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	41									12			
4	4	11	11	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	42												
4	4	9	9	0.0	0	0	Spanner	3/4	2	1	0														0		
4	4	10	10	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	43									13	0		
4	4	11	11	0.0	1/2	1/2	Spanner	3/4	2	1	0																
4	4	11	11	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	44												
5	5	12	12	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	45												
5	5	25/2	25/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	46									14			
5	5	51/4	51/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	47												
5	5	13	13	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	48									15			
5	5	27/2	27/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	49												
5	5	14	14	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	50									16			
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	51												
5	5	13	13	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	52												
5	5	14	14	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	53												
5	5	12	12	0.0	0	0	Dynamic	3/4	2	1	0					p											
5	5	13	13	0.0	1/4	1/4	Spanner	3/4	2	1	0															1	
5	5	13	13	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	54											1	
5	5	13	13	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	55									17		1	
5	5	14	14	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	56											1	
6	6	15	15	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	57		articStaccatoAbove							18			
6	6	31/2	31/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	58		articStaccatoAbove										
6	6	16	16	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	59									19			
6	6	17	17	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	60												
6	6	15	15	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	61												
6	6	16	16	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	62												
6	6	15	15	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	63											1	
6	6	16	16	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	64											1	
6	6	17	17	0.0	1/2	1/2	Spanner	3/4	2	1	0																
6	6	15	15	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	65		articStaccatoBelow							20			
6	6	31/2	31/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	66		articStaccatoBelow										
6	6	16	16	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	67									21			
6	6	17	17	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	68												
7	7	18	18	0.0	0	0	Dynamic	3/4	1	1	0					f											
7	7	18	18	0.0	0	0	StaffText	3/4	1	1	0							"<i><font size=""12""/>poco rit.</i>"									
7	7	18	18	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	69												
7	7	37/2	37/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	70									22			
7	7	75/4	75/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	71												
7	7	19	19	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	72									23			
7	7	39/2	39/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	73									23			
7	7	20	20	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	74												
7	7	19	19	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	75									24			
7	7	20	20	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	76												
7	7	20	20	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	77									25			
7	7	41/2	41/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	78												
7	7	19	19	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	79												
8	8	21	21	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	80												
8	8	43/2	43/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	81									26			
8	8	87/4	87/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	82												
8	8	22	22	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	83									27			
8	8	45/2	45/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	84									27			
8	8	23	23	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	85												
8	8	21	21	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	86												
8	8	22	22	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	87									28			
8	8	23	23	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	88												
8	8	21	21	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	89												
8	8	23	23	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	90									29			
8	8	47/2	47/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	91												
8	8	21	21	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	92												
8	8	22	22	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	93												
9	9	24	24	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	94												
9	9	49/2	49/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	95									30			
9	9	99/4	99/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	96												
9	9	25	25	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	97		articAccentAbove							31			
9	9	51/2	51/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	98									31			
9	9	26	26	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	99									31			
9	9	53/2	53/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	100												
9	9	24	24	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	101												
9	9	24	24	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	102												
9	9	24	24	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	103												
10	10	27	27	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	104												
10	10	28	28	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	105												
10	10	29	29	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	106												
10	10	28	28	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	107									32			
10	10	57/2	57/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	108												
10	10	27	27	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	109												
10	10	55/2	55/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	110									33			
10	10	111/4	111/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	111												
10	10	29	29	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	112									34			
10	10	59/2	59/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	113												
10	10	28	28	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	114												
10	10	29	29	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	115												
11	11	30	30	0.0	0	0	Dynamic	3/4	1	1	0					p											
11	11	30	30	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	116												
11	11	61/2	61/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	117									35			
11	11	123/4	123/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	118												
11	11	31	31	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	119									36			
11	11	63/2	63/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	120												
11	11	32	32	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	121												
11	11	31	31	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	122									37			
11	11	32	32	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	123												
11	11	30	30	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	124												
11	11	121/4	121/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	125		articStaccatoAbove										
11	11	61/2	61/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	126		articStaccatoAbove										
11	11	123/4	123/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	127		articStaccatoAbove										
11	11	31	31	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	128									38			
11	11	125/4	125/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	129									38			
11	11	63/2	63/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	130		articAccentAbove							38			
11	11	32	32	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	131									38			
11	11	65/2	65/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	132												
11	11	30	30	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	133												
11	11	31	31	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	134												
12	12	33	33	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	135									39			
12	12	67/2	67/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	136												
12	12	34	34	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	137									40			
12	12	69/2	69/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	138												
12	12	35	35	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	139												
12	12	33	33	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	140												
12	12	35	35	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	141									41			
12	12	71/2	71/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	142												
12	12	33	33	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	143									42			
12	12	67/2	67/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	144												
12	12	34	34	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	145									43			
12	12	69/2	69/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	146												
12	12	35	35	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	147												
13	13	36	36	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	148												
13	13	73/2	73/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	149									44			
13	13	147/4	147/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	150												
13	13	37	37	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	151									45			
13	13	75/2	75/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	152												
13	13	38	38	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	153												
13	13	37	37	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	154									46			
13	13	38	38	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	155												
13	13	36	36	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	156												
13	13	145/4	145/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	157		articStaccatoAbove										
13	13	73/2	73/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	158		articStaccatoAbove										
13	13	147/4	147/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	159		articStaccatoAbove										
13	13	37	37	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	160									47			
13	13	149/4	149/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	161									47			
13	13	75/2	75/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	162		articAccentAbove							47			
13	13	38	38	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	163									47			
13	13	77/2	77/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	164												
13	13	36	36	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	165												
13	13	37	37	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	166												
14	14	39	39	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	167									48			
14	14	79/2	79/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	168												
14	14	40	40	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	169									49			
14	14	81/2	81/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	170												
14	14	41	41	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	171												
14	14	39	39	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	172												
14	14	41	41	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	173									50			
14	14	83/2	83/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	174												
14	14	39	39	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	175									51			
14	14	79/2	79/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	176												
14	14	40	40	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	177									52			
14	14	81/2	81/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	178												
14	14	41	41	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	179												
15	15	42	42	0.0	0	0	StaffText	3/4	1	1	0							"<i><font size=""12""/>poco cresc.</i>"									
15	15	42	42	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	180									53			
15	15	85/2	85/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	181												
15	15	43	43	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	182									54			
15	15	87/2	87/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	183												
15	15	44	44	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	184												
15	15	42	42	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	185												
15	15	44	44	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	186									55			
15	15	89/2	89/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	187												
15	15	42	42	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	188									56			
15	15	85/2	85/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	189												
15	15	43	43	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	190									57			
15	15	87/2	87/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	191												
15	15	44	44	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	192												
16	16	45	45	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	193									58			
16	16	91/2	91/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	194												
16	16	46	46	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	195									59			
16	16	93/2	93/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	196												
16	16	47	47	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	197												
16	16	47	47	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	198									60			
16	16	95/2	95/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	199												
16	16	45	45	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	200												
16	16	47	47	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	201									61			
16	16	95/2	95/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	202												
16	16	45	45	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	203									62			
16	16	91/2	91/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	204												
16	16	46	46	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	205									63			
16	16	93/2	93/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	206												
17	17	48	48	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	207									64			
17	17	193/4	193/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	208									64			
17	17	97/2	97/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	209												
17	17	49	49	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	210									65			
17	17	197/4	197/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	211									65			
17	17	99/2	99/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	212												
17	17	50	50	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	213												
17	17	48	48	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	214												
17	17	97/2	97/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	215												
17	17	49	49	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	216												
17	17	99/2	99/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	217												
17	17	50	50	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	218									66			
17	17	101/2	101/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	219												
17	17	48	48	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	220												
17	17	50	50	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	221									67			
17	17	101/2	101/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	222												
17	17	48	48	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	223									68			
17	17	97/2	97/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	224												
17	17	49	49	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	225									69			
17	17	99/2	99/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	226												
18	18	51	51	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	227									70			
18	18	103/2	103/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	228												
18	18	52	52	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	229		articAccentAbove							71			
18	18	105/2	105/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	230												
18	18	53	53	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	231		articAccentAbove							72			
18	18	107/2	107/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	232												
18	18	51	51	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	233												
18	18	103/2	103/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	234												
18	18	51	51	0.0	0	0	Dynamic	3/4	2	1	0					mf											
18	18	51	51	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	235												
18	18	52	52	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	236		articAccentAbove							73			
18	18	105/2	105/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	237												
18	18	53	53	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	238		articAccentAbove							74			
18	18	107/2	107/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	239												
18	18	51	51	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	240									75			
18	18	103/2	103/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	241												
19	19	54	54	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	242		articAccentBelow							76			
19	19	109/2	109/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	243												
19	19	55	55	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	244									77			
19	19	221/4	221/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	245									77			
19	19	111/2	111/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	246												
19	19	56	56	0.0	1/2	1/2	Spanner	3/4	1	1	0														1		
19	19	56	56	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	247		articAccentBelow							78	1		
19	19	113/2	113/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	248										1		
19	19	55	55	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	249									79	1		
19	19	111/2	111/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	250										1		
19	19	54	54	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	251		articAccentAbove							80			
19	19	109/2	109/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	252												
19	19	55	55	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	253									81			
19	19	111/2	111/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	254												
19	19	56	56	0.0	1/2	1/2	StaffText	3/4	2	1	0							dim.									
19	19	56	56	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	255		articAccentAbove							82			
19	19	113/2	113/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	256												
19	19	111/2	111/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	257												
20	20	57	57	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	258									83	1		
20	20	229/4	229/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	259									83	1		
20	20	115/2	115/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	260										1		
20	20	58	58	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	261									84	1		
20	20	233/4	233/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	262									84	1		
20	20	117/2	117/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	263										1		
20	20	59	59	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	264										1		
20	20	57	57	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	265									85	1		
20	20	115/2	115/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	266										1		
20	20	58	58	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	267									86	1		
20	20	117/2	117/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	268										1		
20	20	59	59	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	269									87	1		
20	20	119/2	119/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	270										1		
20	20	57	57	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	271									88			
