mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	1	9/8	9/8	0.0						firstMeasure	2
2	2	1	9/8	9/8	0.0							3
3	3	1	9/8	9/8	0.0							4
4	4	1	9/8	9/8	0.0					line		5
5	5	1	9/8	9/8	0.0							6
6	6	1	9/8	9/8	0.0							7
7	7	1	9/8	9/8	0.0							8
8	8	1	9/8	9/8	0.0							9
9	9	1	9/8	9/8	0.0					line		10
10	10	1	9/8	9/8	0.0							11
11	11	1	9/8	9/8	0.0							12
12	12	1	9/8	9/8	0.0							13
13	13	1	9/8	9/8	0.0							14
14	14	1	9/8	9/8	0.0					line		15
15	15	1	9/8	9/8	0.0							16
16	16	1	9/8	9/8	0.0							17
17	17	1	9/8	9/8	0.0							18
18	18	1	9/8	9/8	0.0							19
19	19	1	9/8	9/8	0.0				double	page		20
20	20	2	2/4	1/2	0.0							21
21	21	2	2/4	1/2	0.0							22
22	22	2	2/4	1/2	0.0							23
23	23	2	2/4	1/2	0.0							24
24	24	2	2/4	1/2	0.0					line		25
25	25	2	2/4	1/2	0.0							26
26	26	2	2/4	1/2	0.0							27
27	27	2	2/4	1/2	0.0							28
28	28	2	2/4	1/2	0.0							29
29	29	2	2/4	1/2	0.0					line		30
30	30	2	2/4	1/2	0.0							31
31	31	2	2/4	1/2	0.0							32
32	32	2	2/4	1/2	0.0							33
33	33	2	2/4	1/2	0.0							34
34	34	2	2/4	1/2	0.0					line		35
35	35	2	2/4	1/2	0.0							36
36	36	2	2/4	1/2	0.0							37
37	37	2	2/4	1/2	0.0							38
38	38	2	2/4	1/2	0.0							39
39	39	2	2/4	1/2	0.0					line		40
40	40	2	2/4	1/2	0.0							41
41	41	2	2/4	1/2	0.0							42
42	42	2	2/4	1/2	0.0							43
43	43	2	2/4	1/2	0.0							44
44	44	2	2/4	1/2	0.0					page		45
45	45	2	2/4	1/2	0.0							46
46	46	2	2/4	1/2	0.0							47
47	47	2	2/4	1/2	0.0							48
48	48	2	2/4	1/2	0.0							49
49	49	2	2/4	1/2	0.0					line		50
50	50	2	2/4	1/2	0.0							51
51	51	2	2/4	1/2	0.0							52
52	52	2	2/4	1/2	0.0							53
53	53	2	2/4	1/2	0.0							54
54	54	2	2/4	1/2	0.0					line		55
55	55	2	2/4	1/2	0.0							56
56	56	2	2/4	1/2	0.0							57
57	57	2	2/4	1/2	0.0							58
58	58	2	2/4	1/2	0.0					line		59
59	59	2	2/4	1/2	0.0							60
60	60	2	2/4	1/2	0.0							61
61	61	2	2/4	1/2	0.0							62
62	62	2	2/4	1/2	0.0							63
63	63	2	2/4	1/2	0.0					line		64
64	64	2	2/4	1/2	0.0							65
65	65	2	2/4	1/2	0.0							66
66	66	2	2/4	1/2	0.0							67
67	67	2	2/4	1/2	0.0				double	page		68
68	68	1	9/8	9/8	0.0							69
69	69	1	9/8	9/8	0.0							70
70	70	1	9/8	9/8	0.0							71
71	71	1	9/8	9/8	0.0					line		72
72	72	1	9/8	9/8	0.0							73
73	73	1	9/8	9/8	0.0							74
74	74	1	9/8	9/8	0.0							75
75	75	1	9/8	9/8	0.0					line		76
76	76	1	9/8	9/8	0.0							77
77	77	1	9/8	9/8	0.0							78
78	78	1	9/8	9/8	0.0							79
79	79	1	9/8	9/8	0.0					line		80
80	80	1	9/8	9/8	0.0							81
81	81	1	9/8	9/8	0.0							82
82	82	1	9/8	9/8	0.0							83
83	83	1	9/8	9/8	0.0					line		84
84	84	1	9/8	9/8	0.0							85
85	85	1	9/8	9/8	0.0							86
86	86	1	9/8	9/8	0.0							87
87	87	1	9/8	9/8	0.0							88
88	88	1	9/8	3/4	0.0				end		lastMeasure	-1
