mc	mn	keysig	timesig	act_dur	offset	voices	repeats	volta	barline	numbering_offset	dont_count	next
1	1	2	2/4	1/2	0	4	firstMeasure					2
2	2	2	2/4	1/2	0	4						3
3	3	2	2/4	1/2	0	2						4
4	4	2	2/4	1/2	0	3						5
5	5	2	2/4	1/2	0	4						6
6	6	2	2/4	1/2	0	4						7
7	7	2	2/4	1/2	0	2						8
8	8	2	2/4	1/2	0	2						9
9	9	2	2/4	1/2	0	4						10
10	10	2	2/4	1/2	0	4						11
11	11	2	2/4	1/2	0	4						12
12	12	2	2/4	1/2	0	4						13
13	13	2	2/4	1/2	0	4						14
14	14	2	2/4	1/2	0	4						15
15	15	2	2/4	1/2	0	4						16
16	16	2	2/4	1/2	0	4						17
17	17	2	2/4	1/2	0	4						18
18	18	2	2/4	1/2	0	4						19
19	19	2	2/4	1/2	0	4						20
20	20	2	2/4	1/2	0	4						21
21	21	2	2/4	1/2	0	4						22
22	22	2	2/4	1/2	0	4						23
23	23	2	2/4	1/2	0	2						24
24	24	2	2/4	1/2	0	2						25
25	25	2	2/4	1/2	0	2						26
26	26	2	2/4	1/2	0	2			double			27
27	27	2	2/4	1/2	0	2						28
28	28	2	2/4	1/2	0	3						29
29	29	2	2/4	1/2	0	4						30
30	30	2	2/4	1/2	0	4						31
31	31	2	2/4	1/2	0	2						32
32	32	2	2/4	1/2	0	3						33
33	33	2	2/4	1/2	0	4						34
34	34	2	2/4	1/2	0	4						35
35	35	2	2/4	1/2	0	2						36
36	36	2	2/4	1/2	0	2						37
37	37	2	2/4	1/2	0	3						38
38	38	2	2/4	1/2	0	3						39
39	39	2	2/4	1/2	0	2						40
40	40	2	2/4	1/2	0	2						41
41	41	2	2/4	1/2	0	3						42
42	42	2	2/4	1/2	0	3						43
43	43	2	2/4	1/2	0	2						44
44	44	2	2/4	1/2	0	4						45
45	45	2	2/4	1/2	0	2						46
46	46	2	2/4	1/2	0	4						47
47	47	2	2/4	1/2	0	2						48
48	48	2	2/4	1/2	0	4						49
49	49	2	2/4	1/2	0	2						50
50	50	2	2/4	1/2	0	4						51
51	51	2	2/4	1/2	0	4						52
52	52	2	2/4	1/2	0	4						53
53	53	2	2/4	1/2	0	4						54
54	54	2	2/4	1/2	0	4						55
55	55	2	2/4	1/2	0	2						56
56	56	2	2/4	1/2	0	2						57
57	57	2	2/4	1/2	0	2						58
58	58	2	2/4	1/2	0	2						59
59	59	2	2/4	1/2	0	4						60
60	60	2	2/4	1/2	0	4						61
61	61	2	2/4	1/2	0	2						62
62	62	2	2/4	1/2	0	3						63
63	63	2	2/4	1/2	0	4						64
64	64	2	2/4	1/2	0	4						65
65	65	2	2/4	1/2	0	2						66
66	66	2	2/4	1/2	0	2						67
67	67	2	2/4	1/2	0	4						68
68	68	2	2/4	1/2	0	4						69
69	69	2	2/4	1/2	0	4						70
70	70	2	2/4	1/2	0	4						71
71	71	2	2/4	1/2	0	4						72
72	72	2	2/4	1/2	0	4						73
73	73	2	2/4	1/2	0	4						74
74	74	2	2/4	1/2	0	4						75
75	75	2	2/4	1/2	0	4						76
76	76	2	2/4	1/2	0	4						77
77	77	2	2/4	1/2	0	4						78
78	78	2	2/4	1/2	0	4						79
79	79	2	2/4	1/2	0	4						80
80	80	2	2/4	1/2	0	4						81
81	81	2	2/4	1/2	0	2						82
82	82	2	2/4	1/2	0	2						83
83	83	2	2/4	1/2	0	2						84
84	84	2	2/4	1/2	0	2						85
85	85	2	2/4	1/2	0	4	startRepeat					86
86	86	2	2/4	1/2	0	4						87
87	87	2	2/4	1/2	0	3						88
88	88	2	2/4	1/2	0	2						89
89	89	2	2/4	1/2	0	3						90
90	90	2	2/4	1/2	0	3						91
91	91	2	2/4	1/2	0	2						92
92	92	2	2/4	1/2	0	2						93
93	93	2	2/4	1/2	0	2						94
94	94	2	2/4	1/2	0	2						95
95	95	2	2/4	1/2	0	2						96
96	96	2	2/4	1/2	0	2	endRepeat					85, 97
97	97	2	2/4	1/2	0	4						98
98	98	2	2/4	1/2	0	4						99
99	99	2	2/4	1/2	0	4						100
100	100	2	2/4	1/2	0	3						101
101	101	2	2/4	1/2	0	3						102
102	102	2	2/4	1/2	0	4						103
103	103	2	2/4	1/2	0	3						104
104	104	2	2/4	1/2	0	4						105
105	105	2	2/4	1/2	0	4						106
106	106	2	2/4	1/2	0	4						107
107	107	2	2/4	1/2	0	4						108
108	108	2	2/4	1/2	0	3						109
109	109	2	2/4	1/2	0	3						110
110	110	2	2/4	1/2	0	4						111
111	111	2	2/4	1/2	0	3						112
112	112	2	2/4	1/2	0	4						113
113	113	2	2/4	1/2	0	3						114
114	114	2	2/4	1/2	0	3						115
115	115	2	2/4	1/2	0	3						116
116	116	2	2/4	1/2	0	3						117
117	117	2	2/4	1/2	0	3						118
118	118	2	2/4	1/2	0	3						119
119	119	2	2/4	1/2	0	3						120
120	120	2	2/4	1/2	0	3						121
121	121	2	2/4	1/2	0	2						122
122	122	2	2/4	1/2	0	2						123
123	123	2	2/4	1/2	0	3						124
124	124	2	2/4	1/2	0	3						125
125	125	2	2/4	1/2	0	3						126
126	126	2	2/4	1/2	0	3						127
127	127	2	2/4	1/2	0	3						128
128	128	2	2/4	1/2	0	2						129
129	129	2	2/4	1/2	0	2						130
130	130	2	2/4	1/2	0	2						131
131	131	2	2/4	1/2	0	4						132
132	132	2	2/4	1/2	0	4						133
133	133	2	2/4	1/2	0	2						134
134	134	2	2/4	1/2	0	3						135
135	135	2	2/4	1/2	0	4						136
136	136	2	2/4	1/2	0	4						137
137	137	2	2/4	1/2	0	2						138
138	138	2	2/4	1/2	0	2						139
139	139	2	2/4	1/2	0	4						140
140	140	2	2/4	1/2	0	4						141
141	141	2	2/4	1/2	0	4						142
142	142	2	2/4	1/2	0	4						143
143	143	2	2/4	1/2	0	4						144
144	144	2	2/4	1/2	0	4						145
145	145	2	2/4	1/2	0	4						146
146	146	2	2/4	1/2	0	4						147
147	147	2	2/4	1/2	0	4						148
148	148	2	2/4	1/2	0	4						149
149	149	2	2/4	1/2	0	4						150
150	150	2	2/4	1/2	0	4						151
151	151	2	2/4	1/2	0	4						152
152	152	2	2/4	1/2	0	4						153
153	153	2	2/4	1/2	0	2						154
154	154	2	2/4	1/2	0	2						155
155	155	2	2/4	1/2	0	3						156
156	156	2	2/4	1/2	0	3						157
157	157	2	2/4	1/2	0	2						158
158	158	2	2/4	1/2	0	2						159
159	159	2	2/4	1/2	0	2						160
160	160	2	2/4	1/2	0	2						161
161	161	2	2/4	1/2	0	2						162
162	162	2	2/4	1/2	0	2						163
163	163	2	2/4	1/2	0	2						164
164	164	2	2/4	1/2	0	2						165
165	165	2	2/4	1/2	0	2						166
166	166	2	2/4	1/2	0	2						167
167	167	2	2/4	1/2	0	2						168
168	168	2	2/4	1/2	0	2						169
169	169	2	2/4	1/2	0	2	lastMeasure		end			-1
